Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.02683667577163997,1
Platelets_last10%_min,0.013441077135695218,2
White blood cell count_last10%_min,0.012263996439870996,3
Fraction inspired oxygen_full_mean,0.010879982045639785,4
Fraction inspired oxygen_last10%_max,0.009652519123007304,5
White blood cell count_full_min,0.00881755813449693,6
Creatinine_last10%_min,0.00867899107669025,7
Fraction inspired oxygen_full_max,0.0078224578847888,8
Hemoglobin_full_max,0.007691316416563835,9
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.006667352541176008,10
Glascow coma scale motor response_last25%_max,0.005704055652848516,11
Respiratory rate_last25%_mean,0.00449924917935873,12
Diastolic blood pressure_last10%_min,0.004209635201263286,13
Potassium_last10%_min,0.004099731621125087,14
Glascow coma scale motor response_last25%_min,0.003400610416770383,15
Sodium_full_min,0.003362125028933406,16
Glascow coma scale motor response_last10%_max,0.003101213914262083,17
Hemoglobin_full_std,0.002806062337152852,18
Fraction inspired oxygen_last25%_min,0.0027385868264480618,19
Glascow coma scale eye opening_last10%_min,0.002693120388833762,20
Glascow coma scale motor response_full_max,0.0025662333434617775,21
Glascow coma scale verbal response_full_min,0.002425661255142901,22
Hematocrit_last10%_std,0.002001663726400096,23
Hemoglobin_full_mean,0.001994597803481667,24
Fraction inspired oxygen_last25%_max,0.001925538503702947,25
Prothrombin time_last10%_min,0.001903403511194113,26
Glascow coma scale verbal response_full_std,0.0018877374262542919,27
Lactate_last25%_min,0.0018095984685765876,28
Systolic blood pressure_full_mean,0.0018024786773331066,29
Oxygen saturation_last10%_min,0.0017495615144169164,30
Glascow coma scale motor response_last25%_std,0.00160408569268576,31
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0015343247344383785,32
Hematocrit_full_min,0.001518844611734693,33
Platelets_last25%_std,0.0014036521689221376,34
Platelets_full_mean,0.001389779767146267,35
Lactate_last10%_min,0.0013873345760311146,36
Glascow coma scale motor response_last10%_min,0.0013657146431113368,37
Sodium_full_max,0.001312969627334073,38
Hemoglobin_full_min,0.0013065293635176878,39
Fraction inspired oxygen_full_min,0.0013062311773402672,40
Hematocrit_last10%_min,0.0012829088140054227,41
Temperature_last10%_min,0.0012785730283519994,42
Lactate_full_mean,0.0012776254026757832,43
Heart Rate_full_min,0.001261469571277731,44
Weight_full_min,0.0012126782637439958,45
White blood cell count_full_max,0.001170188539948978,46
Oxygen saturation_last25%_min,0.0011547324341497072,47
Glascow coma scale eye opening_last25%_min,0.0011529812670505657,48
Glascow coma scale eye opening_full_mean,0.001132718180761801,49
Platelets_full_std,0.0011136862240583517,50
Heart Rate_full_mean,0.0010982429724931957,51
Glascow coma scale verbal response_last10%_std,0.0010797663201905369,52
Glucose_full_min,0.0010597037103516206,53
