Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Glascow coma scale verbal response_last10%_min,0.013308474863542724,2,0.02683667577163997,1,0.013528200908097247,0.013528200908097247,-1
Platelets_last10%_min,0.0,139,0.013441077135695218,2,0.013441077135695218,0.013441077135695218,-137
Fraction inspired oxygen_full_mean,0.0,51,0.010879982045639785,4,0.010879982045639785,0.010879982045639785,-47
Fraction inspired oxygen_last10%_max,0.0,54,0.009652519123007304,5,0.009652519123007304,0.009652519123007304,-49
Creatinine_last10%_min,0.0005590752152477337,33,0.00867899107669025,7,0.008119915861442516,0.008119915861442516,-26
Fraction inspired oxygen_full_max,0.000366585762578079,43,0.0078224578847888,8,0.00745587212221072,0.00745587212221072,-35
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0,177,0.006667352541176008,10,0.006667352541176008,0.006667352541176008,-167
Glucose_full_min,0.007500465246438148,4,0.0010597037103516206,53,-0.006440761536086527,0.006440761536086527,49
Glascow coma scale motor response_last25%_max,0.0,75,0.005704055652848516,11,0.005704055652848516,0.005704055652848516,-64
Platelets_full_std,0.0063286868256082094,5,0.0011136862240583517,50,-0.005215000601549858,0.005215000601549858,45
White blood cell count_full_min,0.0042700951498235735,7,0.00881755813449693,6,0.004547462984673357,0.004547462984673357,-1
Potassium_last10%_min,0.0,136,0.004099731621125087,14,0.004099731621125087,0.004099731621125087,-122
Glascow coma scale eye opening_last10%_min,0.006099308560017437,6,0.002693120388833762,20,-0.0034061881711836754,0.0034061881711836754,14
Glascow coma scale motor response_last10%_max,0.0,82,0.003101213914262083,17,0.003101213914262083,0.003101213914262083,-65
Respiratory rate_last25%_mean,0.0014166985431172785,23,0.00449924917935873,12,0.0030825506362414518,0.0030825506362414518,-11
Fraction inspired oxygen_last25%_min,0.0,88,0.0027385868264480618,19,0.0027385868264480618,0.0027385868264480618,-69
Glascow coma scale motor response_full_max,0.0,83,0.0025662333434617775,21,0.0025662333434617775,0.0025662333434617775,-62
Oxygen saturation_last25%_min,0.003413803627762695,8,0.0011547324341497072,47,-0.002259071193612988,0.002259071193612988,39
White blood cell count_last10%_min,0.014430975957272565,1,0.012263996439870996,3,-0.002166979517401569,0.002166979517401569,2
Glascow coma scale verbal response_full_min,0.00031204483868447694,44,0.002425661255142901,22,0.002113616416458424,0.002113616416458424,-22
Diastolic blood pressure_last10%_min,0.0021341552060219785,13,0.004209635201263286,13,0.0020754799952413076,0.0020754799952413076,0
Hematocrit_last10%_std,0.0,117,0.002001663726400096,23,0.002001663726400096,0.002001663726400096,-94
Hemoglobin_full_std,0.0008376165715252721,27,0.002806062337152852,18,0.0019684457656275797,0.0019684457656275797,-9
Glascow coma scale eye opening_last10%_max,0.0021154187729775517,14,0.00015248564411141918,100,-0.0019629331288661326,0.0019629331288661326,86
Fraction inspired oxygen_last25%_max,0.0,89,0.001925538503702947,25,0.001925538503702947,0.001925538503702947,-64
Prothrombin time_last10%_min,0.0,130,0.001903403511194113,26,0.001903403511194113,0.001903403511194113,-104
Glascow coma scale verbal response_full_std,0.0,74,0.0018877374262542919,27,0.0018877374262542919,0.0018877374262542919,-47
Oxygen saturation_last10%_min,0.0,108,0.0017495615144169164,30,0.0017495615144169164,0.0017495615144169164,-78
Lactate_last10%_min,0.003029128036587566,10,0.0013873345760311146,36,-0.0016417934605564516,0.0016417934605564516,26
Glascow coma scale motor response_last25%_std,0.0,76,0.00160408569268576,31,0.00160408569268576,0.00160408569268576,-45
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0,179,0.0015343247344383785,32,0.0015343247344383785,0.0015343247344383785,-147
Platelets_last25%_std,0.0,110,0.0014036521689221376,34,0.0014036521689221376,0.0014036521689221376,-76
Platelets_full_mean,0.0,138,0.001389779767146267,35,0.001389779767146267,0.001389779767146267,-103
Hemoglobin_full_min,0.0,116,0.0013065293635176878,39,0.0013065293635176878,0.0013065293635176878,-77
Fraction inspired oxygen_full_min,0.0,50,0.0013062311773402672,40,0.0013062311773402672,0.0013062311773402672,-10
Lactate_full_mean,0.0,96,0.0012776254026757832,43,0.0012776254026757832,0.0012776254026757832,-53
Bilirubin_full_min,0.0017575153738235959,17,0.0005144085541983444,76,-0.0012431068196252515,0.0012431068196252515,59
Sodium_full_min,0.002154458077489951,12,0.003362125028933406,16,0.0012076669514434553,0.0012076669514434553,4
Systolic blood pressure_full_mean,0.0006064372752308951,32,0.0018024786773331066,29,0.0011960414021022115,0.0011960414021022115,-3
Potassium_full_min,0.0014922008519310734,22,0.00031199379795055426,89,-0.0011802070539805192,0.0011802070539805192,67
White blood cell count_full_max,0.0,161,0.001170188539948978,46,0.001170188539948978,0.001170188539948978,-115
Glascow coma scale eye opening_full_mean,0.0,93,0.001132718180761801,49,0.001132718180761801,0.001132718180761801,-44
Glascow coma scale verbal response_last10%_std,0.0,73,0.0010797663201905369,52,0.0010797663201905369,0.0010797663201905369,-21
Creatinine_full_mean,0.0,57,0.0010053753323950021,54,0.0010053753323950021,0.0010053753323950021,-3
Hemoglobin_full_mean,0.002985486291436278,11,0.001994597803481667,24,-0.0009908884879546113,0.0009908884879546113,13
Mean blood pressure_last10%_min,0.0017284166212916268,18,0.0007672691798240541,67,-0.0009611474414675728,0.0009611474414675728,49
White blood cell count_full_std,0.0,162,0.000958792915790113,55,0.000958792915790113,0.000958792915790113,-107
Glascow coma scale motor response_last10%_min,0.00043844135285502707,39,0.0013657146431113368,37,0.0009272732902563098,0.0009272732902563098,-2
Glascow coma scale motor response_full_min,0.0,86,0.0009116821929460561,56,0.0009116821929460561,0.0009116821929460561,-30
Hematocrit_last10%_min,0.00037277603039891533,42,0.0012829088140054227,41,0.0009101327836065073,0.0009101327836065073,-1
Heart Rate_last10%_std,0.0,115,0.0008635616139760289,57,0.0008635616139760289,0.0008635616139760289,-58
Glascow coma scale verbal response_last25%_std,0.0,72,0.0008597822432796494,58,0.0008597822432796494,0.0008597822432796494,-14
White blood cell count_last25%_std,0.0,164,0.0008514164118871059,59,0.0008514164118871059,0.0008514164118871059,-105
Glascow coma scale motor response_full_std,0.0,85,0.0008483157437940665,60,0.0008483157437940665,0.0008483157437940665,-25
Diastolic blood pressure_last25%_min,0.0,49,0.0008342845519256931,61,0.0008342845519256931,0.0008342845519256931,12
Systolic blood pressure_last25%_min,0.0,153,0.0008239193480817058,62,0.0008239193480817058,0.0008239193480817058,-91
Temperature_last25%_min,0.0015795493460448655,19,0.0007867608321685368,64,-0.0007927885138763286,0.0007927885138763286,45
Weight_full_mean,0.001579105584644002,20,0.0007892397184161515,63,-0.0007898658662278505,0.0007898658662278505,43
Heart Rate_full_min,0.0004727183697903572,36,0.001261469571277731,44,0.0007887512014873737,0.0007887512014873737,8
Glascow coma scale motor response_full_mean,0.0,84,0.0007811027983473017,65,0.0007811027983473017,0.0007811027983473017,-19
Hemoglobin_last25%_std,0.0,100,0.0007757222338811423,66,0.0007757222338811423,0.0007757222338811423,-34
