Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Glascow coma scale motor response_last10%_max,0.0034215382079141503,13,0.00944413967362289,4,0.0060226014657087405,0.0060226014657087405,-9
Glascow coma scale motor response_last25%_max,0.00335420621070174,14,0.008843656303410852,5,0.005489450092709112,0.005489450092709112,-9
Glascow coma scale motor response_full_max,0.0,172,0.0039481941487916885,15,0.0039481941487916885,0.0039481941487916885,-157
Creatinine_last10%_min,0.0037791792238087395,10,0.006716330508493456,6,0.0029371512846847166,0.0029371512846847166,-4
Glascow coma scale verbal response_last10%_min,0.009797706374282773,2,0.012312387358355652,1,0.0025146809840728788,0.0025146809840728788,-1
Glascow coma scale eye opening_full_max,0.0,169,0.0024861910910591715,27,0.0024861910910591715,0.0024861910910591715,-142
Fraction inspired oxygen_last10%_max,0.0001355131620874772,161,0.0025626555715974717,26,0.0024271424095099947,0.0024271424095099947,-135
Glascow coma scale eye opening_last25%_max,0.002894949083266738,20,0.005130185603060252,10,0.0022352365197935136,0.0022352365197935136,-10
Fraction inspired oxygen_last25%_min,0.00019852540888076747,157,0.0024301532534082336,28,0.002231627844527466,0.002231627844527466,-129
Fraction inspired oxygen_full_mean,0.0008460861198238944,96,0.0028291229019520216,25,0.001983036782128127,0.001983036782128127,-71
Fraction inspired oxygen_last25%_max,0.000213067848695232,153,0.0021900543534250044,40,0.0019769865047297723,0.0019769865047297723,-113
Creatinine_full_min,0.0021569290750737833,30,0.004094480247381124,13,0.0019375511723073403,0.0019375511723073403,-17
Fraction inspired oxygen_last10%_min,0.00033496684155153393,143,0.002235228383394411,37,0.001900261541842877,0.001900261541842877,-106
Temperature_full_max,0.00399897160415037,9,0.0021529245440204243,41,-0.0018460470601299457,0.0018460470601299457,32
Glascow coma scale eye opening_full_mean,0.00019992211941570305,155,0.0019611681547325632,47,0.0017612460353168603,0.0017612460353168603,-108
Glascow coma scale motor response_last25%_min,0.007835134097769635,3,0.009547752831931157,3,0.0017126187341615223,0.0017126187341615223,0
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0,181,0.0016408489642310905,62,0.0016408489642310905,0.0016408489642310905,-119
Diastolic blood pressure_last10%_max,0.0008588396217177774,93,0.0022645425304671073,34,0.00140570290874933,0.00140570290874933,-59
Creatinine_full_max,0.0024706591080322225,24,0.0036620552975859346,19,0.001191396189553712,0.001191396189553712,-5
Respiratory rate_last10%_mean,0.0008972263953475947,89,0.002055930892781272,44,0.0011587044974336776,0.0011587044974336776,-45
Fraction inspired oxygen_full_min,0.0003376853708914495,142,0.0014943794265786967,74,0.0011566940556872471,0.0011566940556872471,-68
Weight_full_max,0.0011908773947750717,66,0.002330692235801595,31,0.0011398148410265232,0.0011398148410265232,-35
Glascow coma scale verbal response_full_std,0.000569367286214657,115,0.0016535414623561283,61,0.0010841741761414714,0.0010841741761414714,-54
Creatinine_full_mean,0.004762294206941302,6,0.005845086461035373,7,0.0010827922540940713,0.0010827922540940713,1
