Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.06182019,24,0.24844828,2,0.18662809,0.18662809,-22
Bilirubin_full_min,0.101072036,7,0.0416396,45,-0.059432436,0.059432436,38
Glascow coma scale motor response_last10%_max,0.16344269,3,0.2022731,3,0.038830414,0.038830414,0
Glascow coma scale verbal response_full_std,0.03323882,54,0.06663276,18,0.03339394,0.03339394,-36
Hemoglobin_full_max,0.09420959,10,0.065592185,21,-0.028617404,0.028617404,11
White blood cell count_last10%_min,0.13705835,5,0.11146933,6,-0.025589019,0.025589019,1
Hemoglobin_full_mean,0.049199987,36,0.024576163,74,-0.024623824,0.024623824,38
Glascow coma scale motor response_last25%_max,0.08694483,13,0.11129125,7,0.024346419,0.024346419,-6
Temperature_last25%_min,0.0971774,8,0.078303605,13,-0.018873796,0.018873796,5
Creatinine_last10%_min,0.20243302,2,0.18479265,4,-0.017640367,0.017640367,2
Sodium_full_max,0.06076482,27,0.044248313,39,-0.016516507,0.016516507,12
Glucose_last25%_std,0.05053265,34,0.065660745,20,0.015128095,0.015128095,-14
Respiratory rate_last25%_mean,0.119044684,6,0.10452893,9,-0.014515758,0.014515758,3
Oxygen saturation_last10%_max,0.023877079,78,0.038305886,48,0.014428807,0.014428807,-30
Glascow coma scale verbal response_last10%_min,0.412445,1,0.42658985,1,0.014144838,0.014144838,0
Potassium_last10%_min,0.0626891,23,0.04904079,35,-0.013648313,0.013648313,12
Fraction inspired oxygen_full_mean,0.03174658,57,0.018599818,93,-0.013146764,0.013146764,36
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.043088052,45,0.030008554,61,-0.013079498,0.013079498,16
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.029523496,68,0.042170856,43,0.012647361,0.012647361,-25
Glucose_last10%_min,0.058514107,29,0.046125825,37,-0.0123882815,0.0123882815,8
Fraction inspired oxygen_full_min,0.013417599,103,0.025762213,73,0.012344615,0.012344615,-30
Glascow coma scale motor response_full_std,0.09527986,9,0.10752882,8,0.012248963,0.012248963,-1
Systolic blood pressure_last25%_min,0.05070297,32,0.03896098,47,-0.011741992,0.011741992,15
Glascow coma scale verbal response_full_mean,0.04030765,47,0.028790794,64,-0.011516854,0.011516854,17
Hemoglobin_full_std,0.03163165,58,0.043055534,40,0.011423886,0.011423886,-18
Respiratory rate_full_max,0.048851166,37,0.0378554,50,-0.010995764,0.010995764,13
Fraction inspired oxygen_last25%_min,0.06797633,17,0.05703923,30,-0.010937102,0.010937102,13
Fraction inspired oxygen_full_max,0.026300186,73,0.015432847,106,-0.01086734,0.01086734,33
Temperature_full_min,0.060957648,26,0.071418226,14,0.010460578,0.010460578,-12
Systolic blood pressure_full_mean,0.034097135,51,0.044354126,38,0.010256991,0.010256991,-13
Glascow coma scale motor response_last10%_min,0.050034266,35,0.06024041,27,0.010206144,0.010206144,-8
Fraction inspired oxygen_last10%_max,0.044278692,44,0.0543481,31,0.0100694075,0.0100694075,-13
Lactate_last25%_max,0.03370603,53,0.02374972,77,-0.009956311,0.009956311,24
Diastolic blood pressure_last25%_mean,0.075695045,15,0.06649187,19,-0.009203173,0.009203173,4
White blood cell count_full_std,0.013675039,102,0.022861913,82,0.009186874,0.009186874,-20
Glucose_last10%_std,0.011329481,117,0.020498557,88,0.009169076,0.009169076,-29
Respiratory rate_full_min,0.036906306,49,0.027978467,66,-0.008927839,0.008927839,17
Heart Rate_last10%_max,0.0136752,101,0.022543982,83,0.008868782,0.008868782,-18
Weight_full_min,0.030362193,62,0.039134145,46,0.008771952,0.008771952,-16
Temperature_last10%_max,0.03311641,55,0.024349133,75,-0.008767279,0.008767279,20
pH_last10%_std,0.019236386,89,0.010539312,126,-0.008697074,0.008697074,37
Temperature_full_max,0.08737616,12,0.078707114,12,-0.008669049,0.008669049,0
Hematocrit_last10%_min,0.027193118,69,0.035721514,54,0.0085283965,0.0085283965,-15
Systolic blood pressure_last10%_mean,0.046105586,42,0.037583183,51,-0.0085224025,0.0085224025,9
Diastolic blood pressure_last10%_min,0.03412219,50,0.025963102,72,-0.00815909,0.00815909,22
Prothrombin time_full_max,0.020934846,84,0.029015047,62,0.008080201,0.008080201,-22
Fraction inspired oxygen_last25%_max,0.0119692,111,0.02004431,91,0.00807511,0.00807511,-20
Bilirubin_full_std,0.058797903,28,0.066774756,17,0.007976852,0.007976852,-11
Creatinine_full_max,0.009560613,130,0.017234558,98,0.0076739453,0.0076739453,-32
Potassium_last25%_max,0.010093391,123,0.017537443,97,0.007444052,0.007444052,-26
Hematocrit_full_std,0.029693779,67,0.037020404,53,0.0073266253,0.0073266253,-14
Heart Rate_full_max,0.023965403,77,0.03125761,60,0.0072922073,0.0072922073,-17
Diastolic blood pressure_last10%_mean,0.066802815,19,0.05999326,28,-0.006809555,0.006809555,9
White blood cell count_last25%_std,0.009688588,127,0.016433418,100,0.00674483,0.00674483,-27
pH_last10%_max,0.026802164,72,0.020096038,90,-0.006706126,0.006706126,18
Lactate_last10%_min,0.052944638,31,0.059427682,29,0.0064830445,0.0064830445,-2
Heart Rate_last10%_mean,0.056446027,30,0.062788785,23,0.0063427575,0.0063427575,-7
Temperature_last10%_min,0.030093482,66,0.023866953,76,-0.0062265284,0.0062265284,10
Glascow coma scale eye opening_last10%_std,0.021940814,82,0.02806348,65,0.0061226655,0.0061226655,-17
pH_last10%_mean,0.017522763,92,0.023541542,80,0.0060187783,0.0060187783,-12
Temperature_last25%_max,0.027134439,71,0.021186816,87,-0.0059476234,0.0059476234,16
Glascow coma scale motor response_full_max,0.0205812,86,0.026452066,69,0.0058708657,0.0058708657,-17
Systolic blood pressure_full_min,0.03177225,56,0.037536245,52,0.0057639964,0.0057639964,-4
Glucose_full_mean,0.007172259,148,0.012913602,116,0.0057413434,0.0057413434,-32
Respiratory rate_last25%_min,0.011101404,118,0.016522922,99,0.0054215174,0.0054215174,-19
Glascow coma scale motor response_full_mean,0.016562792,95,0.021936776,85,0.0053739846,0.0053739846,-10
pH_full_std,0.012639443,108,0.0073003666,148,-0.0053390767,0.0053390767,40
Prothrombin time_full_mean,0.015451314,99,0.0101123275,130,-0.0053389864,0.0053389864,31
Platelets_full_mean,0.027173126,70,0.032133542,58,0.004960416,0.004960416,-12
Lactate_last25%_min,0.04654902,41,0.041808512,44,-0.0047405064,0.0047405064,3
Glascow coma scale verbal response_last10%_std,0.0038091592,162,0.008530108,142,0.004720949,0.004720949,-20
Weight_full_max,0.091606274,11,0.096291654,10,0.0046853796,0.0046853796,-1
Heart Rate_full_min,0.021394813,83,0.026048085,71,0.0046532713,0.0046532713,-12
Diastolic blood pressure_last25%_max,0.03061032,61,0.035244267,55,0.004633948,0.004633948,-6
Prothrombin time_full_min,0.047254838,39,0.051847704,32,0.0045928657,0.0045928657,-7
Hematocrit_full_mean,0.019588688,88,0.015096694,107,-0.004491994,0.004491994,19
