Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.4559032810527676
Glascow coma scale motor response_last10%_min,0.24274320714376618
Fraction inspired oxygen_last10%_min,0.20004586495533874
Fraction inspired oxygen_full_max,0.171398146471474
Glascow coma scale verbal response_full_mean,0.1602131414783574
Glascow coma scale motor response_full_std,0.1483055962823282
Fraction inspired oxygen_last10%_max,0.13600373275459238
Respiratory rate_last25%_mean,0.13555470558588187
Lactate_last10%_min,0.12304888424274461
Glascow coma scale eye opening_last10%_min,0.1094434671734142
Glascow coma scale verbal response_full_std,0.10626757709378042
Diastolic blood pressure_last10%_min,0.10107352774075903
Glascow coma scale eye opening_last10%_max,0.09591245484463007
White blood cell count_last10%_min,0.09174711496862424
Bilirubin_full_min,0.08847855150997468
Temperature_last10%_min,0.08738417634958047
Glascow coma scale motor response_last10%_std,0.08597103543506951
Heart Rate_last10%_min,0.0857505012123158
Heart Rate_last10%_max,0.08483391575464787
Glascow coma scale verbal response_full_max,0.08468258668616431
Weight_full_min,0.08363446649530361
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.08081469945376546
Platelets_full_min,0.07982973698300763
Hemoglobin_full_std,0.07909117076959138
Creatinine_last10%_min,0.07729534998711556
Fraction inspired oxygen_full_mean,0.07486440029778552
Potassium_last10%_min,0.07451565235634429
Glucose_full_min,0.07291014838183277
Fraction inspired oxygen_last25%_max,0.07121050230687577
Temperature_last25%_min,0.06831892686313164
Hematocrit_full_max,0.06139633127007941
Glascow coma scale motor response_full_min,0.06123835673782129
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.06084060738555405
Prothrombin time_last10%_min,0.05665792248327576
Oxygen saturation_full_min,0.05488503275562707
Glascow coma scale motor response_full_max,0.05454178929473166
Diastolic blood pressure_last25%_min,0.05401926307579594
Respiratory rate_full_min,0.05140328623431592
Lactate_full_min,0.051372881212143326
Weight_full_mean,0.051316799955056364
White blood cell count_full_std,0.050927369291159735
Glascow coma scale motor response_full_mean,0.04882087280839889
White blood cell count_full_min,0.04844133889785342
Sodium_full_min,0.04530818875870128
Fraction inspired oxygen_full_min,0.04167860240303091
Oxygen saturation_last10%_min,0.040909453156602264
Respiratory rate_last10%_mean,0.04055667115920984
Systolic blood pressure_full_mean,0.03996393852135969
Sodium_full_mean,0.03969492739099182
Systolic blood pressure_last10%_std,0.03870333550192032
Diastolic blood pressure_full_min,0.038231104706159376
Prothrombin time_full_mean,0.03701855054041207
Sodium_full_max,0.03686582233677922
Systolic blood pressure_last25%_min,0.03532435867107211
Oxygen saturation_last25%_min,0.035138455372586475
Systolic blood pressure_last10%_max,0.03327102592254919
Potassium_full_min,0.03261701667645895
ICU_Medical Intensive Care Unit (MICU),0.03256441287232557
Sodium_last10%_min,0.03183960877176869
Prothrombin time_full_min,0.03133630464796857
Creatinine_full_min,0.03127939954411053
Prothrombin time_full_max,0.029953061692979743
Glascow coma scale verbal response_full_min,0.029803437264925996
Lactate_full_mean,0.027553688800731602
Glascow coma scale eye opening_last25%_std,0.025346945622100846
Potassium_full_mean,0.023547215080232452
Systolic blood pressure_full_min,0.022447045285715533
Glascow coma scale eye opening_full_min,0.02140698074451053
Prothrombin time_full_std,0.019030866169134315
White blood cell count_full_max,0.017747840535853054
Hematocrit_last25%_std,0.017604756428397983
Potassium_full_max,0.017206108017720066
Glascow coma scale eye opening_full_max,0.017196325464970744
Glascow coma scale eye opening_full_mean,0.01685472885522827
Lactate_full_max,0.01637984641663676
Heart Rate_full_mean,0.016275461468878552
Lactate_full_std,0.016035910821217286
Glascow coma scale eye opening_full_std,0.01571103290906804
Glascow coma scale verbal response_last10%_std,0.01564285912322781
Systolic blood pressure_last25%_max,0.015440719307784888
Sodium_full_std,0.013957544037776456
Respiratory rate_last25%_min,0.013917723318117517
Platelets_last25%_std,0.013719478210017084
Creatinine_full_std,0.013607840737183081
Glascow coma scale eye opening_last10%_std,0.011572553890400482
Weight_full_max,0.011212990692892997
Glascow coma scale motor response_last25%_std,0.01087801185797178
Lactate_last25%_std,0.010815164614335062
Hemoglobin_last25%_std,0.009927096599082964
ICU_Surgical Intensive Care Unit (SICU),0.009450713096628
Respiratory rate_last10%_min,0.009294100066139946
Hematocrit_full_std,0.009204847555776394
Platelets_full_std,0.009023014020524378
Heart Rate_last10%_std,0.008088880792989602
Hematocrit_full_min,0.007850741560022809
Systolic blood pressure_last25%_std,0.0073403683004130945
Respiratory rate_last10%_max,0.0063363046482475625
Glascow coma scale verbal response_last25%_std,0.006309486574157148
White blood cell count_last25%_std,0.006263408994909261
Systolic blood pressure_last10%_min,0.004697275483738445
Bilirubin_full_std,0.004657457418496029
Temperature_full_min,0.004454679766952326
Mean blood pressure_last25%_min,0.004278343107141208
ICU_Neuro Stepdown,0.0041957756469653005
Heart Rate_full_min,0.003984143668626731
Sodium_last25%_std,0.0035780176562337776
Systolic blood pressure_full_max,0.003365084919690012
