Feature,Reference,HighFiO2,ReferenceRank,HighRank,SHAP_change
Fraction inspired oxygen_full_max,0.026126357970931147,0.171398146471474,54.0,4.0,0.14527178850054284
Fraction inspired oxygen_last10%_min,0.05862680232350589,0.20004586495533874,25.0,3.0,0.14141906263183285
Fraction inspired oxygen_last10%_max,0.03488499014932696,0.13600373275459238,44.0,7.0,0.10111874260526542
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0,0.08081469945376546,149.0,22.0,0.08081469945376546
Glascow coma scale verbal response_last10%_min,0.38204334515340105,0.4559032810527676,1.0,1.0,0.07385993589936657
Glascow coma scale verbal response_full_std,0.04773709312546064,0.10626757709378042,35.0,11.0,0.05853048396831977
Fraction inspired oxygen_full_mean,0.017378867143877395,0.07486440029778552,63.0,26.0,0.05748553315390812
Glascow coma scale motor response_full_max,0.0,0.05454178929473166,149.0,36.0,0.05454178929473166
Fraction inspired oxygen_last25%_max,0.0240826534188741,0.07121050230687577,57.0,29.0,0.04712784888800167
Glascow coma scale verbal response_full_mean,0.11594835206795188,0.1602131414783574,7.0,5.0,0.04426478941040553
Creatinine_last10%_min,0.03445307004392399,0.07729534998711556,47.0,25.0,0.042842279943191564
Fraction inspired oxygen_full_min,0.006335025709401629,0.04167860240303091,88.0,45.0,0.03534357669362928
Heart Rate_last10%_max,0.060129122101936085,0.08483391575464787,23.0,19.0,0.024704793652711783
Platelets_full_min,0.05532564454393729,0.07982973698300763,27.0,23.0,0.02450409243907034
Hemoglobin_full_std,0.054680869668453015,0.07909117076959138,29.0,24.0,0.024410301101138364
Respiratory rate_last25%_mean,0.1149129367421495,0.13555470558588187,8.0,8.0,0.020641768843732367
Hematocrit_last25%_std,2.1764926181718402e-18,0.017604756428397983,137.0,71.0,0.01760475642839798
Glascow coma scale eye opening_full_max,2.071197323450497e-18,0.017196325464970744,138.0,73.0,0.01719632546497074
Glascow coma scale verbal response_last10%_std,0.0,0.01564285912322781,149.0,79.0,0.01564285912322781
Creatinine_full_min,0.015848167510803195,0.03127939954411053,65.0,61.0,0.015431232033307332
Systolic blood pressure_last10%_std,0.0239490112869565,0.03870333550192032,58.0,50.0,0.014754324214963824
White blood cell count_full_min,0.033832261268546715,0.04844133889785342,49.0,43.0,0.014609077629306702
Oxygen saturation_last10%_min,0.027180068147517045,0.040909453156602264,53.0,46.0,0.013729385009085219
Glascow coma scale eye opening_full_mean,0.0042149080814161514,0.01685472885522827,92.0,74.0,0.012639820773812118
Sodium_last10%_min,0.019263678030229776,0.03183960877176869,61.0,59.0,0.012575930741538913
Platelets_last25%_std,0.0021761344139095257,0.013719478210017084,99.0,83.0,0.011543343796107558
Glascow coma scale motor response_full_mean,0.03751757963657219,0.04882087280839889,41.0,42.0,0.011303293171826698
Glascow coma scale verbal response_full_max,0.07381517214980746,0.08468258668616431,20.0,20.0,0.010867414536356854
Glascow coma scale verbal response_full_min,0.019469549257553224,0.029803437264925996,59.0,63.0,0.010333888007372772
Hemoglobin_last25%_std,1.5607548030930953e-18,0.009927096599082964,139.0,89.0,0.009927096599082962
Sodium_full_mean,0.02978383379451201,0.03969492739099182,52.0,49.0,0.00991109359647981
Glascow coma scale eye opening_full_min,0.012308238201165098,0.02140698074451053,73.0,68.0,0.009098742543345431
Potassium_full_mean,0.014768411204310652,0.023547215080232452,69.0,66.0,0.0087788038759218
Systolic blood pressure_last10%_max,0.02549831998701777,0.03327102592254919,55.0,56.0,0.007772705935531421
Respiratory rate_full_min,0.0438182945583072,0.05140328623431592,37.0,38.0,0.0075849916760087205
Glascow coma scale eye opening_last10%_max,0.08858987907203705,0.09591245484463007,15.0,13.0,0.007322575772593015
Glascow coma scale eye opening_last10%_min,0.10271257250561079,0.1094434671734142,10.0,10.0,0.006730894667803411
Respiratory rate_last10%_mean,0.03383556616562661,0.04055667115920984,48.0,47.0,0.006721104993583235
Glascow coma scale verbal response_last25%_std,0.0,0.006309486574157148,149.0,98.0,0.006309486574157148
White blood cell count_last25%_std,0.0,0.006263408994909261,149.0,99.0,0.006263408994909261
Lactate_last10%_min,0.11687116265665125,0.12304888424274461,6.0,9.0,0.006177721586093365
Systolic blood pressure_last25%_max,0.009307282075447437,0.015440719307784888,81.0,80.0,0.006133437232337452
Systolic blood pressure_full_min,0.016331782627783283,0.022447045285715533,64.0,67.0,0.00611526265793225
Systolic blood pressure_full_mean,0.034852436199129574,0.03996393852135969,45.0,48.0,0.0051115023222301145
Glascow coma scale eye opening_full_std,0.011091879181081923,0.01571103290906804,79.0,78.0,0.004619153727986117
Systolic blood pressure_last25%_std,0.0031359246278235414,0.0073403683004130945,96.0,96.0,0.004204443672589553
White blood cell count_full_std,0.04677460823872328,0.050927369291159735,36.0,41.0,0.004152761052436456
Lactate_full_std,0.012155343857794546,0.016035910821217286,75.0,77.0,0.0038805669634227394
White blood cell count_full_max,0.014123026009042272,0.017747840535853054,71.0,70.0,0.0036248145268107813
Oxygen saturation_full_min,0.05168012790633687,0.05488503275562707,33.0,35.0,0.003204904849290195
Hematocrit_last10%_std,0.0,0.0026416158189166736,149.0,110.0,0.0026416158189166736
Weight_last10%_std,0.0006713164345039458,0.00314501043678156,108.0,109.0,0.002473694002277614
Lactate_full_mean,0.025170041958905397,0.027553688800731602,56.0,64.0,0.0023836468418262056
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0,0.0023409974122725434,149.0,112.0,0.0023409974122725434
Sodium_full_std,0.011761213711810546,0.013957544037776456,76.0,81.0,0.0021963303259659103
Respiratory rate_last10%_max,0.0041912826579281895,0.0063363046482475625,93.0,97.0,0.002145021990319373
Temperature_full_min,0.002470978633793711,0.004454679766952326,97.0,102.0,0.001983701133158615
Diastolic blood pressure_last10%_max,0.001447414962548157,0.0033196237641951146,103.0,108.0,0.0018722088016469576
ICU_Trauma SICU (TSICU),0.0,0.0015547605453789027,149.0,116.0,0.0015547605453789027
ICU_Surgical Intensive Care Unit (SICU),0.007900371397630647,0.009450713096628,83.0,90.0,0.0015503416989973533
Systolic blood pressure_full_max,0.0019468657581811742,0.003365084919690012,101.0,107.0,0.0014182191615088378
Potassium_full_max,0.01583398821255642,0.017206108017720066,66.0,72.0,0.0013721198051636456
ICU_Coronary Care Unit (CCU),0.0,0.0013648774150754473,149.0,118.0,0.0013648774150754473
Hematocrit_full_std,0.007865422249613847,0.009204847555776394,84.0,92.0,0.0013394253061625467
Respiratory rate_last10%_min,0.00811970059462606,0.009294100066139946,82.0,91.0,0.0011743994715138848
Oxygen saturation_full_max,1.9473620423438233e-07,0.0010922735809790038,136.0,121.0,0.0010920788447747695
Weight_last25%_std,0.0003314207773459911,0.0013082644108682578,110.0,119.0,0.0009768436335222666
Respiratory rate_last25%_max,0.001586942735194766,0.0025038440931271907,102.0,111.0,0.0009169013579324247
Hematocrit_full_min,0.006953723002863158,0.007850741560022809,87.0,95.0,0.0008970185571596512
White blood cell count_last10%_std,1.1773855300153382e-19,0.0008909924016050528,140.0,124.0,0.0008909924016050527
Heart Rate_full_mean,0.01542706304831506,0.016275461468878552,67.0,76.0,0.0008483984205634922
Platelets_last10%_std,0.00014193462261482688,0.0009700690217974672,113.0,122.0,0.0008281343991826403
Glucose_last10%_std,1.8749720032304206e-05,0.0007788455115803037,126.0,125.0,0.0007600957915479996
Oxygen saturation_last25%_min,0.03449475325711828,0.035138455372586475,46.0,55.0,0.0006437021154681935
Diastolic blood pressure_full_max,5.6123174157205074e-05,0.0006755662505085147,119.0,126.0,0.0006194430763513096
Glucose_last25%_max,4.954921180172787e-05,0.000646615375804397,122.0,127.0,0.0005970661640026691
pH_last25%_min,4.2976496431553854e-05,0.0005601560090229774,123.0,128.0,0.0005171795125914235
Respiratory rate_last25%_min,0.013421015952169244,0.013917723318117517,72.0,82.0,0.0004967073659482724
Heart Rate_last25%_max,0.001236596456292703,0.0016947632387947803,106.0,114.0,0.0004581667825020773
pH_last10%_min,5.031910894852294e-05,0.0005008537560497933,121.0,130.0,0.00045053464710127035
pH_full_max,5.952724331237411e-05,0.0005058261024176446,118.0,129.0,0.00044629885910527046
Height_full_min,0.0,0.00041369875029614227,149.0,132.0,0.00041369875029614227
ICU_Neuro Intermediate,0.0,0.0004075818736383514,149.0,133.0,0.0004075818736383514
Sodium_last25%_std,0.003266377006014908,0.0035780176562337776,95.0,106.0,0.0003116406502188694
Heart Rate_last10%_std,0.007851792341845337,0.008088880792989602,85.0,94.0,0.00023708845114426592
pH_last10%_max,5.144874704554505e-05,0.0002744456405064672,120.0,137.0,0.00022299689346092215
pH_full_mean,7.315288439339757e-05,0.0002857211751936487,116.0,136.0,0.00021256829080025115
Glucose_last10%_max,1.8275057130433807e-05,0.00022409049011190788,127.0,138.0,0.00020581543298147406
Glucose_full_max,1.2759432302400953e-05,0.00020924442888507094,131.0,139.0,0.00019648499658266998
Diastolic blood pressure_last10%_mean,0.0013597609029129627,0.0015455838691770596,104.0,117.0,0.00018582296626409693
Mean blood pressure_last10%_max,0.00023042425049041103,0.0003896539114895803,112.0,134.0,0.0001592296609991693
Oxygen saturation_last25%_max,3.0929529134341576e-07,0.0001448202104373986,135.0,141.0,0.0001445109151460552
Diastolic blood pressure_last25%_max,7.842047829894789e-05,0.00019620586446771632,115.0,140.0,0.00011778538616876843
Heart Rate_full_max,0.0003546938315783032,0.0004565504953126817,109.0,131.0,0.00010185666373437854
Temperature_full_max,0.0002397525604283472,0.00033541549383506354,111.0,135.0,9.566293340671633e-05
Sodium_last10%_std,1.4855382212567174e-05,9.80727168330498e-05,130.0,143.0,8.321733462048264e-05
Glucose_last25%_mean,2.718143278905068e-05,9.945413353546448e-05,125.0,142.0,7.227270074641379e-05
Heart Rate_full_min,0.003950762594623283,0.003984143668626731,94.0,105.0,3.33810740034482e-05
Glucose_full_mean,3.579782744283838e-05,6.691659850706903e-05,124.0,146.0,3.111877106423065e-05
Mean blood pressure_full_min,6.853841234505342e-05,8.679785291755593e-05,117.0,145.0,1.8259440572502514e-05
Oxygen saturation_last10%_max,1.7960045804341562e-05,2.7321917187689138e-05,128.0,147.0,9.361871383347576e-06
ICU_Intensive Care Unit (ICU),0.0,3.094687659684224e-06,149.0,150.0,3.094687659684224e-06
ICU_Surgery/Vascular/Intermediate,0.0,1.0907619921712762e-06,149.0,153.0,1.0907619921712762e-06
ICU_Surgery/Trauma,0.0,0.0,149.0,155.5,0.0
ICU_Medicine,0.0,0.0,149.0,155.5,0.0
ICU_PACU,0.0,0.0,149.0,155.5,0.0
ICU_Neurology,0.0,0.0,149.0,155.5,0.0
ICU_Medical Intensive Care Unit (MICU),0.032564412872325824,0.03256441287232557,50.0,58.0,-2.5673907444456745e-16
Respiratory rate_full_max,1.7643954582251295e-06,1.6583616818965533e-06,134.0,152.0,-1.0603377632857619e-07
pH_full_min,4.109071290477521e-06,2.8953285288974545e-06,133.0,151.0,-1.2137427615800663e-06
pH_last10%_std,4.373794830673926e-06,3.1256609745012462e-06,132.0,149.0,-1.24813385617268e-06
pH_last25%_std,1.5463183153289492e-05,1.104180455494424e-05,129.0,148.0,-4.4213785983452525e-06
Glucose_last10%_min,0.00012661743738604224,9.609509684563009e-05,114.0,144.0,-3.052234054041216e-05
Systolic blood pressure_last10%_min,0.004729332625772139,0.004697275483738445,91.0,100.0,-3.20571420336941e-05
Mean blood pressure_last10%_min,0.0013435230908598994,0.0012556908613265364,105.0,120.0,-8.783222953336295e-05
Temperature_last25%_max,0.002060902097162649,0.0019592783217506713,100.0,113.0,-0.00010162377541197759
Temperature_last10%_max,0.0011019344137555066,0.0009380297383058178,107.0,123.0,-0.00016390467544968878
Weight_full_max,0.011468079650295095,0.011212990692892997,77.0,86.0,-0.0002550889574020974
Lactate_last25%_std,0.011170847579301575,0.010815164614335062,78.0,88.0,-0.00035568296496651247
Prothrombin time_full_std,0.01943001392489253,0.019030866169134315,60.0,69.0,-0.00039914775575821543
Potassium_full_std,0.0022371437893025153,0.0016373022764859626,98.0,115.0,-0.0005998415128165527
Glascow coma scale eye opening_last10%_std,0.012225066524000966,0.011572553890400482,74.0,85.0,-0.0006525126336004838
Mean blood pressure_last25%_min,0.005256759372269391,0.004278343107141208,90.0,103.0,-0.0009784162651281835
