Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.42658985
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.24844828
Glascow coma scale motor response_last10%_max,0.2022731
Creatinine_last10%_min,0.18479265
Glascow coma scale motor response_last25%_min,0.13960506
White blood cell count_last10%_min,0.11146933
Glascow coma scale motor response_last25%_max,0.11129125
Glascow coma scale motor response_full_std,0.10752882
Respiratory rate_last25%_mean,0.10452893
Weight_full_max,0.096291654
Prothrombin time_last10%_min,0.08387517
Temperature_full_max,0.078707114
Temperature_last25%_min,0.078303605
Temperature_full_min,0.071418226
Weight_full_mean,0.06934365
Glascow coma scale eye opening_last10%_min,0.06828839
Bilirubin_full_std,0.066774756
Glascow coma scale verbal response_full_std,0.06663276
Diastolic blood pressure_last25%_mean,0.06649187
Glucose_last25%_std,0.065660745
Hemoglobin_full_max,0.065592185
Oxygen saturation_last25%_min,0.06304024
Heart Rate_last10%_mean,0.062788785
Glascow coma scale eye opening_last10%_max,0.061851613
Oxygen saturation_last10%_min,0.061633505
White blood cell count_full_min,0.06161368
Glascow coma scale motor response_last10%_min,0.06024041
Diastolic blood pressure_last10%_mean,0.05999326
Lactate_last10%_min,0.059427682
Fraction inspired oxygen_last25%_min,0.05703923
Fraction inspired oxygen_last10%_max,0.0543481
Prothrombin time_full_min,0.051847704
Heart Rate_last25%_mean,0.049854845
Oxygen saturation_full_min,0.049273238
Potassium_last10%_min,0.04904079
Glascow coma scale eye opening_last25%_max,0.048067536
Glucose_last10%_min,0.046125825
Systolic blood pressure_full_mean,0.044354126
Sodium_full_max,0.044248313
Hemoglobin_full_std,0.043055534
Creatinine_full_min,0.043011677
Fraction inspired oxygen_last10%_min,0.042944998
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.042170856
Lactate_last25%_min,0.041808512
Bilirubin_full_min,0.0416396
Weight_full_min,0.039134145
Systolic blood pressure_last25%_min,0.03896098
Oxygen saturation_last10%_max,0.038305886
Platelets_full_max,0.03827947
Respiratory rate_full_max,0.0378554
Systolic blood pressure_last10%_mean,0.037583183
Systolic blood pressure_full_min,0.037536245
Hematocrit_full_std,0.037020404
Hematocrit_last10%_min,0.035721514
Diastolic blood pressure_last25%_max,0.035244267
Heart Rate_full_mean,0.033692118
Glascow coma scale eye opening_full_mean,0.033484485
Platelets_full_mean,0.032133542
Glucose_full_min,0.031511955
Heart Rate_full_max,0.03125761
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.030008554
Prothrombin time_full_max,0.029015047
Heart Rate_last25%_max,0.0290058
Glascow coma scale verbal response_full_mean,0.028790794
Glascow coma scale eye opening_last10%_std,0.02806348
Respiratory rate_full_min,0.027978467
Diastolic blood pressure_full_min,0.027476856
Creatinine_full_std,0.026741354
Glascow coma scale motor response_full_max,0.026452066
Platelets_last10%_min,0.026070295
Heart Rate_full_min,0.026048085
Diastolic blood pressure_last10%_min,0.025963102
Fraction inspired oxygen_full_min,0.025762213
Hemoglobin_full_mean,0.024576163
Temperature_last10%_max,0.024349133
Temperature_last10%_min,0.023866953
Lactate_last25%_max,0.02374972
Respiratory rate_last10%_mean,0.023652576
Glascow coma scale verbal response_full_max,0.023644706
pH_last10%_mean,0.023541542
ICU_Neuro Intermediate,0.023199458
White blood cell count_full_std,0.022861913
Heart Rate_last10%_max,0.022543982
Systolic blood pressure_last25%_mean,0.022536233
Glascow coma scale motor response_full_mean,0.021936776
Heart Rate_last25%_min,0.02124779
Temperature_last25%_max,0.021186816
Glucose_last10%_std,0.020498557
Creatinine_full_mean,0.020109333
pH_last10%_max,0.020096038
Fraction inspired oxygen_last25%_max,0.02004431
Heart Rate_last10%_min,0.019145783
Fraction inspired oxygen_full_mean,0.018599818
Glascow coma scale eye opening_full_std,0.018563738
Diastolic blood pressure_last10%_max,0.017950626
Heart Rate_last25%_std,0.017704358
Potassium_last25%_max,0.017537443
