Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.412445
Creatinine_last10%_min,0.20243302
Glascow coma scale motor response_last10%_max,0.16344269
Glascow coma scale motor response_last25%_min,0.14032723
White blood cell count_last10%_min,0.13705835
Respiratory rate_last25%_mean,0.119044684
Bilirubin_full_min,0.101072036
Temperature_last25%_min,0.0971774
Glascow coma scale motor response_full_std,0.09527986
Hemoglobin_full_max,0.09420959
Weight_full_max,0.091606274
Temperature_full_max,0.08737616
Glascow coma scale motor response_last25%_max,0.08694483
Prothrombin time_last10%_min,0.07943855
Diastolic blood pressure_last25%_mean,0.075695045
Weight_full_mean,0.06983738
Fraction inspired oxygen_last25%_min,0.06797633
Oxygen saturation_last25%_min,0.067347094
Diastolic blood pressure_last10%_mean,0.066802815
Glascow coma scale eye opening_last10%_min,0.06573777
Oxygen saturation_last10%_min,0.064839646
Glascow coma scale eye opening_last10%_max,0.06408782
Potassium_last10%_min,0.0626891
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.06182019
White blood cell count_full_min,0.06163896
Temperature_full_min,0.060957648
Sodium_full_max,0.06076482
Bilirubin_full_std,0.058797903
Glucose_last10%_min,0.058514107
Heart Rate_last10%_mean,0.056446027
Lactate_last10%_min,0.052944638
Systolic blood pressure_last25%_min,0.05070297
Heart Rate_last25%_mean,0.05068801
Glucose_last25%_std,0.05053265
Glascow coma scale motor response_last10%_min,0.050034266
Hemoglobin_full_mean,0.049199987
Respiratory rate_full_max,0.048851166
Oxygen saturation_full_min,0.048786767
Prothrombin time_full_min,0.047254838
Glascow coma scale eye opening_last25%_max,0.047037184
Lactate_last25%_min,0.04654902
Systolic blood pressure_last10%_mean,0.046105586
Fraction inspired oxygen_last10%_min,0.044313733
Fraction inspired oxygen_last10%_max,0.044278692
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.043088052
Creatinine_full_min,0.042673927
Glascow coma scale verbal response_full_mean,0.04030765
Platelets_full_max,0.03791467
Respiratory rate_full_min,0.036906306
Diastolic blood pressure_last10%_min,0.03412219
Systolic blood pressure_full_mean,0.034097135
Glucose_full_min,0.03401371
Lactate_last25%_max,0.03370603
Glascow coma scale verbal response_full_std,0.03323882
Temperature_last10%_max,0.03311641
Systolic blood pressure_full_min,0.03177225
Fraction inspired oxygen_full_mean,0.03174658
Hemoglobin_full_std,0.03163165
Diastolic blood pressure_full_min,0.031628698
Glascow coma scale eye opening_full_mean,0.030789662
Diastolic blood pressure_last25%_max,0.03061032
Weight_full_min,0.030362193
Heart Rate_full_mean,0.0301545
Heart Rate_last25%_max,0.03014968
Creatinine_full_std,0.030123997
Temperature_last10%_min,0.030093482
Hematocrit_full_std,0.029693779
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.029523496
Hematocrit_last10%_min,0.027193118
Platelets_full_mean,0.027173126
Temperature_last25%_max,0.027134439
pH_last10%_max,0.026802164
Fraction inspired oxygen_full_max,0.026300186
Heart Rate_last25%_min,0.025705898
Platelets_last10%_min,0.025625449
Glascow coma scale verbal response_full_max,0.024845187
Heart Rate_full_max,0.023965403
Oxygen saturation_last10%_max,0.023877079
Respiratory rate_last10%_mean,0.023876173
Systolic blood pressure_last25%_mean,0.02372257
ICU_Neuro Intermediate,0.023405965
Glascow coma scale eye opening_last10%_std,0.021940814
Heart Rate_full_min,0.021394813
Prothrombin time_full_max,0.020934846
Diastolic blood pressure_last10%_max,0.02060047
Glascow coma scale motor response_full_max,0.0205812
pH_full_min,0.019788476
Hematocrit_full_mean,0.019588688
pH_last10%_std,0.019236386
pH_last10%_min,0.0190873
Creatinine_full_mean,0.018208686
pH_last10%_mean,0.017522763
Heart Rate_last25%_std,0.017209781
