Feature,Reference,HighFiO2,ReferenceRank,HighRank,SHAP_change
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.06182019,0.24844828,24.0,2.0,0.18662809
Glascow coma scale motor response_last10%_max,0.16344269,0.2022731,3.0,3.0,0.038830414
Glascow coma scale verbal response_full_std,0.03323882,0.06663276,54.0,18.0,0.03339394
Glascow coma scale motor response_last25%_max,0.08694483,0.11129125,13.0,7.0,0.024346419
Glucose_last25%_std,0.05053265,0.065660745,34.0,20.0,0.015128095
Oxygen saturation_last10%_max,0.023877079,0.038305886,78.0,48.0,0.014428807
Glascow coma scale verbal response_last10%_min,0.412445,0.42658985,1.0,1.0,0.014144838
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.029523496,0.042170856,68.0,43.0,0.012647361
Fraction inspired oxygen_full_min,0.013417599,0.025762213,103.0,73.0,0.012344615
Glascow coma scale motor response_full_std,0.09527986,0.10752882,9.0,8.0,0.012248963
Hemoglobin_full_std,0.03163165,0.043055534,58.0,40.0,0.011423886
Temperature_full_min,0.060957648,0.071418226,26.0,14.0,0.010460578
Systolic blood pressure_full_mean,0.034097135,0.044354126,51.0,38.0,0.010256991
Glascow coma scale motor response_last10%_min,0.050034266,0.06024041,35.0,27.0,0.010206144
Fraction inspired oxygen_last10%_max,0.044278692,0.0543481,44.0,31.0,0.0100694075
White blood cell count_full_std,0.013675039,0.022861913,102.0,82.0,0.009186874
Glucose_last10%_std,0.011329481,0.020498557,117.0,88.0,0.009169076
Heart Rate_last10%_max,0.0136752,0.022543982,101.0,83.0,0.008868782
Weight_full_min,0.030362193,0.039134145,62.0,46.0,0.008771952
Hematocrit_last10%_min,0.027193118,0.035721514,69.0,54.0,0.0085283965
Prothrombin time_full_max,0.020934846,0.029015047,84.0,62.0,0.008080201
Fraction inspired oxygen_last25%_max,0.0119692,0.02004431,111.0,91.0,0.00807511
Bilirubin_full_std,0.058797903,0.066774756,28.0,17.0,0.007976852
Creatinine_full_max,0.009560613,0.017234558,130.0,98.0,0.0076739453
Potassium_last25%_max,0.010093391,0.017537443,123.0,97.0,0.007444052
