Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Glascow coma scale motor response->Obeys Commands,0.00040472585877502563,2,0.000683092717212623,1,0.00027836685843759737,0.00027836685843759737,-1
Creatinine,0.00043425388998013517,1,0.000590218774271891,2,0.0001559648842917558,0.0001559648842917558,1
Glascow coma scale eye opening->4 Spontaneously,3.65895294108298e-05,37,0.00018397517828780646,17,0.00014738564887697666,0.00014738564887697666,-20
Glascow coma scale motor response->No response,0.00011872591092415165,21,0.00021740588480807658,14,9.867997388392493e-05,9.867997388392493e-05,-7
mask->Glucose,7.122270890339964e-05,31,0.00016906563095390485,20,9.784292205050522e-05,9.784292205050522e-05,-11
Glascow coma scale verbal response->No Response-ETT,0.000263108227082632,10,0.00035639980026388687,6,9.329157318125486e-05,9.329157318125486e-05,-4
Lactate,0.00028481985364487203,7,0.00037129711368514613,5,8.64772600402741e-05,8.64772600402741e-05,-2
Weight,0.0002585256397907404,11,0.0003348093341846403,8,7.628369439389987e-05,7.628369439389987e-05,-3
Diastolic blood pressure,0.00019039684283977945,13,0.0002655339862602318,12,7.513714342045232e-05,7.513714342045232e-05,-1
Glascow coma scale verbal response->Oriented,0.000348641828096424,4,0.00042073738228213696,3,7.209555418571294e-05,7.209555418571294e-05,-1
mask->Fraction inspired oxygen,0.0003497282618785866,3,0.00042025136919559685,4,7.052310731701027e-05,7.052310731701027e-05,1
Prothrombin time,9.590485622106304e-05,24,0.00016110725228258397,21,6.520239606152093e-05,6.520239606152093e-05,-3
White blood cell count,0.00027010535928102835,8,0.00033177016487350315,9,6.166480559247479e-05,6.166480559247479e-05,1
mask->Hematocrit,0.00016963650735651205,16,0.00021886747376340189,13,4.923096640688983e-05,4.923096640688983e-05,-3
Heart Rate,0.000320073055591733,5,0.0002795286666309911,11,-4.054438896074192e-05,4.054438896074192e-05,6
Temperature,0.00030033650359255877,6,0.0003408428143536978,7,4.050631076113904e-05,4.050631076113904e-05,1
mask->Glascow coma scale eye opening,8.113056303475905e-05,27,0.00011938364658439157,27,3.825308354963252e-05,3.825308354963252e-05,0
Hematocrit,8.964475496970418e-05,25,0.0001256267240940347,25,3.5981969124330515e-05,3.5981969124330515e-05,0
Glascow coma scale eye opening->To Speech,0.00017382256278896635,15,0.00020910421973464942,15,3.5281656945683064e-05,3.5281656945683064e-05,0
Glascow coma scale eye opening->Spontaneously,0.00011898748161771617,20,0.00015366723773236173,22,3.4679756114645556e-05,3.4679756114645556e-05,2
mask->Oxygen saturation,7.585339062280464e-05,30,0.00010199240999846058,28,2.6139019375655934e-05,2.6139019375655934e-05,-2
Potassium,0.00017789095283005243,14,0.00020107545765897156,16,2.3184504828919133e-05,2.3184504828919133e-05,2
mask->pH,0.00019903351445943896,12,0.00017921172033005141,18,-1.9821794129387546e-05,1.9821794129387546e-05,6
Glascow coma scale verbal response->Confused,4.7956779665618206e-05,35,2.919046263783018e-05,42,-1.8766317027788027e-05,1.8766317027788027e-05,7
Fraction inspired oxygen,0.0002636940031022279,9,0.0002808737426003294,10,1.717973949810146e-05,1.717973949810146e-05,1
Glascow coma scale motor response->Localizes Pain,2.692324353714986e-05,41,4.365614954937693e-05,36,1.6732906012227066e-05,1.6732906012227066e-05,-5
mask->Diastolic blood pressure,2.7314245149175583e-05,40,4.181477024361401e-05,37,1.4500525094438427e-05,1.4500525094438427e-05,-3
Glascow coma scale verbal response->No Response,2.444359411752201e-05,42,3.854185020313687e-05,40,1.4098256085614861e-05,1.4098256085614861e-05,-2
Platelets,0.0001097120002223665,22,0.00012340749938279138,26,1.3695499160424878e-05,1.3695499160424878e-05,4
