Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Glascow coma scale motor response->Obeys Commands,0.0005397717630999573,1,0.0009556793795172325,1,0.00041590761641727516,0.00041590761641727516,0
Creatinine,0.00040312993082649803,5,0.0005497952039287486,2,0.0001466652731022506,0.0001466652731022506,-3
Glascow coma scale eye opening->4 Spontaneously,5.561271605941548e-05,35,0.00018188268290696827,24,0.0001262699668475528,0.0001262699668475528,-11
Glascow coma scale motor response->No response,7.352937638041119e-05,32,0.00018262975647757005,21,0.00010910038009715886,0.00010910038009715886,-11
Glascow coma scale verbal response->No Response-ETT,0.0003384205215755513,8,0.00044451816455181556,7,0.00010609764297626428,0.00010609764297626428,-1
Prothrombin time,0.0003090401452542905,12,0.0004100531896876247,10,0.00010101304443333424,0.00010101304443333424,-2
White blood cell count,0.00035247641415753103,7,0.0004532003760302095,6,0.00010072396187267845,0.00010072396187267845,-1
Weight,0.00031997582854476894,10,0.0004137716301976561,9,9.379580165288717e-05,9.379580165288717e-05,-1
Diastolic blood pressure,0.00024413350522322852,17,0.0003319032668531198,16,8.776976162989131e-05,8.776976162989131e-05,-1
Fraction inspired oxygen,0.00046530786866528156,3,0.0005453700456644822,3,8.006217699920061e-05,8.006217699920061e-05,0
mask->Fraction inspired oxygen,0.0003075099019100173,13,0.00037169321466877086,12,6.418331275875357e-05,6.418331275875357e-05,-1
Glascow coma scale eye opening->Spontaneously,0.00015206648509831944,25,0.0002138722825559558,19,6.180579745763637e-05,6.180579745763637e-05,-6
Height,2.599755024008564e-05,46,8.762176401113086e-05,34,6.162421377104522e-05,6.162421377104522e-05,-12
Glascow coma scale verbal response->Oriented,0.0004063012761482132,4,0.00046221419718584883,5,5.591292103763562e-05,5.591292103763562e-05,1
Lactate,0.0003658534610311818,6,0.0004215625464696234,8,5.570908543844162e-05,5.570908543844162e-05,2
Systolic blood pressure,0.0002848532989172886,15,0.0003365979939563024,15,5.174469503901381e-05,5.174469503901381e-05,0
mask->Glascow coma scale eye opening,0.00010223391348811186,30,0.00015257344315125037,26,5.033952966313851e-05,5.033952966313851e-05,-4
Temperature,0.0003070835703458711,14,0.0003519369470191833,14,4.4853376673312196e-05,4.4853376673312196e-05,0
mask->Oxygen saturation,0.0001884663026388209,18,0.00023325423046898237,17,4.478792783016146e-05,4.478792783016146e-05,-1
