Feature,Mean_Abs_SHAP,Rank
mask->Fraction inspired oxygen,0.00038331497425454997,1
Glascow coma scale verbal response->Oriented,0.00037876408900725076,2
Creatinine,0.0003717039042715753,3
White blood cell count,0.0003582969812915489,4
Fraction inspired oxygen,0.00035319602501741485,5
Glascow coma scale verbal response->No Response-ETT,0.00033775439411923183,6
Temperature,0.0003305525257388845,7
Lactate,0.0003140292743520619,8
Heart Rate,0.0002614571698205027,9
Glascow coma scale motor response->Obeys Commands,0.00025188966761137264,10
Systolic blood pressure,0.0002374595247001743,11
Diastolic blood pressure,0.00023713620217119655,12
Glascow coma scale motor response->No response,0.0002306766451437296,13
Potassium,0.00020837261224826347,14
mask->Hematocrit,0.00020402299620555194,15
Weight,0.00019759988821047014,16
Bilirubin,0.00018121386186794417,17
Glascow coma scale eye opening->Spontaneously,0.00018046919993847942,18
Platelets,0.0001681539802925987,19
Sodium,0.00016608046504087927,20
Hemoglobin,0.0001601544990401201,21
mask->Glascow coma scale eye opening,0.00015643934917183947,22
mask->Glucose,0.00014907081938567195,23
mask->pH,0.0001443968989749219,24
Glascow coma scale eye opening->To Pain,0.00013905782151571762,25
Prothrombin time,0.00013180972961496505,26
mask->Temperature,0.00012900996346779583,27
Glascow coma scale eye opening->To Speech,0.00012712069054996656,28
Glascow coma scale verbal response->Confused,0.00012544246551855052,29
mask->Glascow coma scale verbal response,9.900506395726886e-05,30
Glascow coma scale motor response->Localizes Pain,9.365029609422061e-05,31
mask->Lactate,9.361510897885635e-05,32
mask->Glascow coma scale motor response,9.21666337495015e-05,33
Hematocrit,9.107508536137927e-05,34
mask->Prothrombin time,8.544215874933171e-05,35
mask->Bilirubin,8.029470092072835e-05,36
mask->White blood cell count,7.436702095378111e-05,37
mask->Hemoglobin,7.175014125589685e-05,38
Glascow coma scale motor response->Flex-withdraws,6.989288436453e-05,39
Glascow coma scale eye opening->4 Spontaneously,6.732342690196929e-05,40
mask->Platelets,6.464590090243749e-05,41
Height,6.294937827686821e-05,42
mask->Potassium,6.120046105141837e-05,43
Mean blood pressure,5.8193364943913004e-05,44
mask->Creatinine,5.641041035987823e-05,45
mask->Sodium,5.366244697441746e-05,46
Oxygen saturation,4.931212838382252e-05,47
mask->Mean blood pressure,4.767702500252334e-05,48
mask->Weight,4.7148970135225086e-05,49
mask->Diastolic blood pressure,4.4364861899441226e-05,50
mask->Oxygen saturation,3.7037954123831386e-05,51
Glascow coma scale verbal response->Incomprehensible sounds,3.190135734616771e-05,52
Respiratory rate,3.149348986934583e-05,53
mask->Systolic blood pressure,3.1462498815579944e-05,54
Glascow coma scale verbal response->No Response,3.1193869902778864e-05,55
mask->Respiratory rate,2.3737043329198082e-05,56
mask->Heart Rate,2.1405656256749744e-05,57
Glascow coma scale motor response->6 Obeys Commands,1.1646195772458586e-05,58
Glascow coma scale verbal response->Inappropriate Words,1.1314603128548342e-05,59
Glascow coma scale verbal response->5 Oriented,1.1244452447866093e-05,60
Glucose,1.054811864687572e-05,61
Glascow coma scale motor response->Abnormal Flexion,2.091903312096595e-06,62
mask->Height,1.7904436815049015e-06,63
Glascow coma scale motor response->Abnormal extension,8.474402905752262e-07,64
pH,1.3943937818650354e-08,65
Glascow coma scale total->14,0.0,66
Glascow coma scale total->12,0.0,67
Glascow coma scale total->13,0.0,68
Glascow coma scale total->10,0.0,69
Glascow coma scale total->11,0.0,70
Glascow coma scale motor response->2 Abnorm extensn,0.0,71
Glascow coma scale motor response->5 Localizes Pain,0.0,72
Glascow coma scale motor response->4 Flex-withdraws,0.0,73
Capillary refill rate->1.0,0.0,74
Capillary refill rate->0.0,0.0,75
Glascow coma scale eye opening->1 No Response,0.0,76
Glascow coma scale eye opening->None,0.0,77
Glascow coma scale eye opening->2 To pain,0.0,78
Glascow coma scale motor response->1 No Response,0.0,79
Glascow coma scale motor response->3 Abnorm flexion,0.0,80
Glascow coma scale eye opening->3 To speech,0.0,81
Glascow coma scale total->15,0.0,82
Glascow coma scale verbal response->2 Incomp sounds,0.0,83
Glascow coma scale total->6,0.0,84
Glascow coma scale verbal response->4 Confused,0.0,85
Glascow coma scale verbal response->3 Inapprop words,0.0,86
Glascow coma scale total->5,0.0,87
Glascow coma scale total->3,0.0,88
Glascow coma scale verbal response->1 No Response,0.0,89
Glascow coma scale total->8,0.0,90
Glascow coma scale total->9,0.0,91
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92
Glascow coma scale total->7,0.0,93
Glascow coma scale total->4,0.0,94
mask->Glascow coma scale total,0.0,95
mask->Capillary refill rate,0.0,96
