Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Glascow coma scale motor response->No response,0.0002306766451437296,13,0.00045252954841377367,6,0.00022185290327004408,0.00022185290327004408,-7
Glascow coma scale eye opening->4 Spontaneously,6.732342690196929e-05,40,0.00027879133686084664,15,0.00021146790995887736,0.00021146790995887736,-25
Glascow coma scale motor response->Obeys Commands,0.00025188966761137264,10,0.0004473106934725898,7,0.00019542102586121718,0.00019542102586121718,-3
Creatinine,0.0003717039042715753,3,0.0005352839842471898,2,0.00016358007997561454,0.00016358007997561454,-1
Glascow coma scale verbal response->Oriented,0.00037876408900725076,2,0.0005372844036647395,1,0.00015852031465748875,0.00015852031465748875,-1
Temperature,0.0003305525257388845,7,0.0004693673333037381,4,0.0001388148075648536,0.0001388148075648536,-3
White blood cell count,0.0003582969812915489,4,0.0004905601993359018,3,0.00013226321804435284,0.00013226321804435284,-1
Glascow coma scale verbal response->No Response-ETT,0.00033775439411923183,6,0.00045797536397314877,5,0.00012022096985391694,0.00012022096985391694,-1
mask->Glucose,0.00014907081938567195,23,0.0002494979868159408,19,0.00010042716743026886,0.00010042716743026886,-4
Diastolic blood pressure,0.00023713620217119655,12,0.00033447160476829423,11,9.733540259709768e-05,9.733540259709768e-05,-1
Potassium,0.00020837261224826347,14,0.00030558031889482305,12,9.720770664655958e-05,9.720770664655958e-05,-2
Weight,0.00019759988821047014,16,0.0002913146587731245,14,9.371477056265438e-05,9.371477056265438e-05,-2
mask->Glascow coma scale eye opening,0.00015643934917183947,22,0.00023746148340919094,20,8.102213423735147e-05,8.102213423735147e-05,-2
Lactate,0.0003140292743520619,8,0.0003949034323025019,10,8.087415795043998e-05,8.087415795043998e-05,2
Glascow coma scale eye opening->Spontaneously,0.00018046919993847942,18,0.0002580451789285762,18,7.757597899009678e-05,7.757597899009678e-05,0
Fraction inspired oxygen,0.00035319602501741485,5,0.0004267445355993919,9,7.354851058197703e-05,7.354851058197703e-05,4
mask->Temperature,0.00012900996346779583,27,0.0001989789295132055,22,6.996896604540966e-05,6.996896604540966e-05,-5
Sodium,0.00016608046504087927,20,0.00023081829473556358,21,6.473782969468431e-05,6.473782969468431e-05,1
Systolic blood pressure,0.0002374595247001743,11,0.000293334014186879,13,5.587448948670472e-05,5.587448948670472e-05,2
mask->Hematocrit,0.00020402299620555194,15,0.00025847140785657975,17,5.444841165102782e-05,5.444841165102782e-05,2
mask->Fraction inspired oxygen,0.00038331497425454997,1,0.0004358946206333133,8,5.257964637876331e-05,5.257964637876331e-05,7
Bilirubin,0.00018121386186794417,17,0.00013369662575922036,31,-4.751723610872381e-05,4.751723610872381e-05,14
mask->Glascow coma scale verbal response,9.900506395726886e-05,30,0.00014483595860921193,29,4.5830894651943064e-05,4.5830894651943064e-05,-1
mask->Prothrombin time,8.544215874933171e-05,35,0.0001265574632234001,33,4.1115304474068396e-05,4.1115304474068396e-05,-2
Glascow coma scale motor response->Localizes Pain,9.365029609422061e-05,31,0.0001341047273635044,30,4.04544312692838e-05,4.04544312692838e-05,-1
mask->Glascow coma scale motor response,9.21666337495015e-05,33,0.00013049771450822405,32,3.8331080758722554e-05,3.8331080758722554e-05,-1
mask->pH,0.0001443968989749219,24,0.00017817086100529493,25,3.3773962030373024e-05,3.3773962030373024e-05,1
Glascow coma scale motor response->Flex-withdraws,6.989288436453e-05,39,0.00010306041403302814,37,3.316752966849814e-05,3.316752966849814e-05,-2
mask->Mean blood pressure,4.767702500252334e-05,48,7.918640015232996e-05,46,3.150937514980662e-05,3.150937514980662e-05,-2
Glascow coma scale verbal response->No Response,3.1193869902778864e-05,55,6.222094298995943e-05,51,3.102707308718057e-05,3.102707308718057e-05,-4
Hemoglobin,0.0001601544990401201,21,0.00018968550377607658,24,2.9531004735956485e-05,2.9531004735956485e-05,3
Glucose,1.054811864687572e-05,61,3.915699545561934e-05,57,2.860887680874362e-05,2.860887680874362e-05,-4
mask->Diastolic blood pressure,4.4364861899441226e-05,50,7.264314713921379e-05,48,2.8278285239772566e-05,2.8278285239772566e-05,-2
Glascow coma scale eye opening->To Pain,0.00013905782151571762,25,0.00016677265384497722,26,2.7714832329259605e-05,2.7714832329259605e-05,1
Oxygen saturation,4.931212838382252e-05,47,7.637535145524674e-05,47,2.7063223071424222e-05,2.7063223071424222e-05,0
mask->Creatinine,5.641041035987823e-05,45,8.277114716925404e-05,44,2.6360736809375806e-05,2.6360736809375806e-05,-1
mask->Sodium,5.366244697441746e-05,46,7.963410299649545e-05,45,2.597165602207799e-05,2.597165602207799e-05,-1
Mean blood pressure,5.8193364943913004e-05,44,8.372886665379423e-05,43,2.5535501709881226e-05,2.5535501709881226e-05,-1
mask->Potassium,6.120046105141837e-05,43,8.661114289307663e-05,42,2.5410681841658264e-05,2.5410681841658264e-05,-1
mask->Platelets,6.464590090243749e-05,41,8.957696878115982e-05,41,2.4931067878722333e-05,2.4931067878722333e-05,0
mask->Weight,4.7148970135225086e-05,49,7.172343600304269e-05,49,2.4574465867817602e-05,2.4574465867817602e-05,0
Platelets,0.0001681539802925987,19,0.00019205753075048534,23,2.3903550457886634e-05,2.3903550457886634e-05,4
mask->Oxygen saturation,3.7037954123831386e-05,51,6.0809995178895685e-05,52,2.3772041055064298e-05,2.3772041055064298e-05,1
mask->Hemoglobin,7.175014125589685e-05,38,9.518625722838977e-05,39,2.3436115972492918e-05,2.3436115972492918e-05,1
mask->Heart Rate,2.1405656256749744e-05,57,4.378831923766225e-05,54,2.2382662980912503e-05,2.2382662980912503e-05,-3
mask->White blood cell count,7.436702095378111e-05,37,9.672073697452794e-05,38,2.2353716020746825e-05,2.2353716020746825e-05,1
mask->Systolic blood pressure,3.1462498815579944e-05,54,5.342042525823423e-05,53,2.195792644265429e-05,2.195792644265429e-05,-1
mask->Lactate,9.361510897885635e-05,32,0.0001141316763663358,34,2.0516567387479453e-05,2.0516567387479453e-05,2
Glascow coma scale verbal response->Confused,0.00012544246551855052,29,0.00010507413248343602,36,-2.0368333035114493e-05,2.0368333035114493e-05,7
Glascow coma scale eye opening->To Speech,0.00012712069054996656,28,0.00014728623539253768,28,2.016554484257112e-05,2.016554484257112e-05,0
Hematocrit,9.107508536137927e-05,34,0.00010951227218938681,35,1.8437186828007546e-05,1.8437186828007546e-05,1
mask->Respiratory rate,2.3737043329198082e-05,56,4.206205704815575e-05,56,1.8325013718957666e-05,1.8325013718957666e-05,0
Prothrombin time,0.00013180972961496505,26,0.00014806830054332014,27,1.625857092835508e-05,1.625857092835508e-05,1
Respiratory rate,3.149348986934583e-05,53,4.377705412229154e-05,55,1.2283564252945709e-05,1.2283564252945709e-05,2
mask->Bilirubin,8.029470092072835e-05,36,8.960531642579909e-05,40,9.310615505070743e-06,9.310615505070743e-06,4
Glascow coma scale motor response->Abnormal extension,8.474402905752262e-07,64,8.316093990288208e-06,61,7.468653699712982e-06,7.468653699712982e-06,-3
Height,6.294937827686821e-05,42,6.881547388792074e-05,50,5.8660956110525236e-06,5.8660956110525236e-06,8
Glascow coma scale motor response->6 Obeys Commands,1.1646195772458586e-05,58,1.6406896726370488e-05,59,4.760700953911902e-06,4.760700953911902e-06,1
Glascow coma scale motor response->Abnormal Flexion,2.091903312096595e-06,62,6.7387229015973085e-06,63,4.646819589500713e-06,4.646819589500713e-06,1
Glascow coma scale verbal response->5 Oriented,1.1244452447866093e-05,60,1.5135996604344707e-05,60,3.891544156478614e-06,3.891544156478614e-06,0
Glascow coma scale verbal response->Inappropriate Words,1.1314603128548342e-05,59,8.091945404519828e-06,62,-3.2226577240285146e-06,3.2226577240285146e-06,3
mask->Height,1.7904436815049015e-06,63,4.426554556502538e-06,64,2.6361108749976366e-06,2.6361108749976366e-06,1
Heart Rate,0.0002614571698205027,9,0.0002626616577247746,16,1.2044879042719266e-06,1.2044879042719266e-06,7
Glascow coma scale verbal response->Incomprehensible sounds,3.190135734616771e-05,52,3.156695818064712e-05,58,-3.3439916552059065e-07,3.3439916552059065e-07,6
