Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.3515823894226082,1
Systolic blood pressure_last10%_std,0.25710316290584045,2
Systolic blood pressure_last10%_max,0.1707391088000201,3
Glascow coma scale motor response_last10%_min,0.15895309423787088,4
Glascow coma scale motor response_full_std,0.13551967267042,5
Glascow coma scale verbal response_full_mean,0.13047834779519082,6
Respiratory rate_last25%_mean,0.12357807873732889,7
Temperature_last10%_min,0.11472518711857393,8
Diastolic blood pressure_last10%_min,0.11139425645126287,9
White blood cell count_last10%_min,0.10062240831710202,10
Glascow coma scale eye opening_last10%_min,0.09398180039101868,11
Glascow coma scale verbal response_full_std,0.08822112305506531,12
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.08529862281716892,13
Lactate_last10%_min,0.08495297596898048,14
Heart Rate_last10%_min,0.08428760558915109,15
Heart Rate_last10%_max,0.08179702811408844,16
Systolic blood pressure_last25%_max,0.07968638271924662,17
Glascow coma scale eye opening_last10%_max,0.07614898629546427,18
Hemoglobin_full_std,0.0740233075251135,19
Weight_full_min,0.07388666508259087,20
Potassium_last10%_min,0.06975370504198265,21
Fraction inspired oxygen_last10%_min,0.06554359011524388,22
Platelets_full_min,0.06346179744920336,23
Creatinine_last10%_min,0.06344180658477079,24
Diastolic blood pressure_last25%_min,0.061310576978785815,25
Glascow coma scale verbal response_full_max,0.061308225440529066,26
Temperature_last25%_min,0.05749782941177707,27
Glascow coma scale motor response_full_min,0.05573723456418941,28
Bilirubin_full_min,0.053904918269100086,29
White blood cell count_full_std,0.05363081334317263,30
Prothrombin time_last10%_min,0.05352227234769505,31
Hematocrit_full_max,0.05339561739591727,32
White blood cell count_full_min,0.051319550517321906,33
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.050375670921254265,34
Glucose_full_min,0.049016212105827885,35
Oxygen saturation_full_min,0.0478582970210271,36
Systolic blood pressure_full_mean,0.046882252920655385,37
Fraction inspired oxygen_full_max,0.046335203394377716,38
Weight_full_mean,0.044985086216186784,39
Glascow coma scale motor response_full_max,0.04321289562891409,40
Fraction inspired oxygen_last10%_max,0.043056385841976144,41
Diastolic blood pressure_full_min,0.042883689429145874,42
Sodium_full_min,0.04271390076360056,43
Systolic blood pressure_last25%_std,0.040660639497808945,44
Respiratory rate_full_min,0.038429518892783246,45
Lactate_full_min,0.038412997050624405,46
Glascow coma scale motor response_full_mean,0.03808324088858621,47
Systolic blood pressure_last25%_min,0.0368540070896395,48
Respiratory rate_last10%_mean,0.03654588647365192,49
Oxygen saturation_last10%_min,0.03607321286938789,50
Sodium_full_max,0.03502610538095667,51
Sodium_full_mean,0.034652197101651565,52
Prothrombin time_full_mean,0.03253156163560965,53
Potassium_full_min,0.030766690202473978,54
Glascow coma scale verbal response_last10%_std,0.029154120967104322,55
Prothrombin time_full_min,0.028781322235109038,56
Oxygen saturation_last25%_min,0.028019576193569113,57
Sodium_last10%_min,0.02774242404756626,58
Creatinine_full_min,0.0277421723626809,59
Prothrombin time_full_max,0.02576684348553291,60
Glascow coma scale motor response_last10%_std,0.02516843873708799,61
Systolic blood pressure_full_min,0.023587094032737302,62
Fraction inspired oxygen_last25%_max,0.022818561600877724,63
ICU_Medical Intensive Care Unit (MICU),0.022698172929267818,64
Lactate_full_mean,0.02266255989732597,65
Glascow coma scale verbal response_full_min,0.022351617961378814,66
Glascow coma scale eye opening_last25%_std,0.022067298383279286,67
ICU_Neuro Intermediate,0.021456837044723363,68
White blood cell count_full_max,0.01996943124219701,69
Glascow coma scale eye opening_full_min,0.0199486669112072,70
Platelets_last25%_std,0.018498339622804453,71
Potassium_full_mean,0.018363335721671575,72
Hematocrit_last25%_std,0.017402785149213996,73
Systolic blood pressure_full_max,0.01714999345704366,74
Fraction inspired oxygen_full_mean,0.016889839957026618,75
Glascow coma scale eye opening_full_std,0.015998575726932418,76
Glascow coma scale eye opening_full_max,0.01556651969228758,77
Prothrombin time_full_std,0.015328689521599817,78
Potassium_full_max,0.015223679284799126,79
Heart Rate_full_mean,0.01478899915756668,80
Glascow coma scale eye opening_full_mean,0.01328175996434785,81
Lactate_full_max,0.013231325195490695,82
Sodium_full_std,0.01320374016319379,83
Creatinine_full_std,0.012536645939817168,84
Lactate_full_std,0.012001222243243627,85
Glascow coma scale eye opening_last10%_std,0.011728828821828286,86
Respiratory rate_last25%_min,0.011424551705946924,87
Glascow coma scale verbal response_last25%_std,0.01121181375099804,88
Weight_full_max,0.009693641729532411,89
Fraction inspired oxygen_full_min,0.00960505241628523,90
ICU_Surgical Intensive Care Unit (SICU),0.009601993012287287,91
Hematocrit_full_std,0.009006916281362675,92
Hemoglobin_last25%_std,0.008936499153331305,93
Platelets_full_std,0.008644014447463745,94
Respiratory rate_last10%_min,0.007927668378709134,95
White blood cell count_last25%_std,0.007577365150719498,96
Heart Rate_last10%_std,0.006859922629941711,97
Lactate_last25%_std,0.006545322917508947,98
Hematocrit_full_min,0.006514942545194465,99
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.005969003996930779,100
Glascow coma scale motor response_last25%_std,0.005944802317384266,101
Respiratory rate_last10%_max,0.005903359941594169,102
Mean blood pressure_last25%_min,0.004788060411373562,103
Systolic blood pressure_last10%_min,0.004741394104135407,104
Temperature_full_min,0.0035771364485472574,105
Heart Rate_full_min,0.003362007460744586,106
Sodium_last25%_std,0.0029781673575443304,107
Hematocrit_last10%_std,0.0028480850636398757,108
ICU_Coronary Care Unit (CCU),0.0028122004757619463,109
Temperature_last25%_max,0.002731946209869579,110
Diastolic blood pressure_last10%_max,0.002528051788919914,111
Respiratory rate_last25%_max,0.002479324039267962,112
Weight_last10%_std,0.0024149723272647327,113
Bilirubin_full_std,0.0022619754917822996,114
ICU_Trauma SICU (TSICU),0.0022014904419178595,115
Heart Rate_last25%_max,0.001661743425968187,116
Platelets_last10%_std,0.0016162897534056368,117
Potassium_full_std,0.0016100728923209577,118
Diastolic blood pressure_last10%_mean,0.0014918447102841232,119
Mean blood pressure_last10%_min,0.0013585544033073256,120
Temperature_last10%_max,0.0012642556238402407,121
White blood cell count_last10%_std,0.0010882976259090932,122
Oxygen saturation_full_max,0.0010232803848501937,123
Weight_last25%_std,0.0009619410732862766,124
ICU_Neuro Stepdown,0.000678974930705978,125
Temperature_full_max,0.0005051336656715107,126
Diastolic blood pressure_full_max,0.00046269777206831903,127
Height_full_min,0.000455806143296671,128
Heart Rate_full_max,0.0004336236768770944,129
pH_full_mean,0.00036809204198953884,130
Mean blood pressure_last10%_max,0.00031601589213368735,131
pH_full_max,0.0002771074969768191,132
Diastolic blood pressure_last25%_max,0.00019137820707838864,133
Glucose_full_max,0.00019030366917559011,134
Glucose_full_mean,0.00013091226581322542,135
Sodium_last10%_std,0.00010228248393601219,136
Oxygen saturation_last10%_max,9.557426707176197e-05,137
Mean blood pressure_full_min,8.913757157546066e-05,138
Glucose_last10%_min,6.806825009839475e-05,139
pH_last10%_max,5.363153959780353e-05,140
pH_last10%_min,5.245509512322697e-05,141
pH_last25%_min,4.479762919846539e-05,142
Glucose_last25%_max,3.811968098062172e-05,143
pH_last25%_std,1.6119371043292793e-05,144
Glucose_last10%_std,1.5051362400562952e-05,145
Glucose_last25%_mean,1.472937378427776e-05,146
Glucose_last10%_max,1.144345576714126e-05,147
pH_last10%_std,4.559235400534153e-06,148
pH_full_min,4.260043254161537e-06,149
ICU_Intensive Care Unit (ICU),2.87312134619256e-06,150
Respiratory rate_full_max,1.6256268250949358e-06,151
Oxygen saturation_last25%_max,1.5739907345585203e-06,152
ICU_Surgery/Vascular/Intermediate,1.0126681293719287e-06,153
ICU_Medicine,0.0,154
ICU_Neurology,0.0,155
ICU_PACU,0.0,156
ICU_Surgery/Trauma,0.0,157
