Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.031364239563970824,1
Respiratory rate_last25%_mean,0.010560858554374396,2
Glascow coma scale motor response_last25%_max,0.00887093963168161,3
Creatinine_last10%_min,0.008733029699235057,4
White blood cell count_last10%_min,0.007140078203413478,5
Glascow coma scale motor response_full_max,0.005565238372809264,6
Diastolic blood pressure_last10%_min,0.005348216452980908,7
Potassium_last10%_min,0.005130161713868697,8
Hemoglobin_full_max,0.005065518542392036,9
Glascow coma scale motor response_last25%_min,0.005011798062453587,10
Fraction inspired oxygen_last10%_max,0.004963998651206395,11
Sodium_full_min,0.004558603611851993,12
Platelets_last10%_min,0.00455808341288148,13
White blood cell count_full_min,0.00399752258986881,14
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0034675272045556842,15
Glucose_full_min,0.0032614339687379,16
Glascow coma scale motor response_last10%_max,0.002848827181310352,17
Hematocrit_last10%_min,0.0026213997602460787,18
Weight_full_min,0.002574073128469338,19
Oxygen saturation_last10%_min,0.0025709392112732883,20
Heart Rate_full_mean,0.002356074866118642,21
Systolic blood pressure_full_mean,0.0023275223178105525,22
Glascow coma scale motor response_last10%_min,0.0021970035565125785,23
Potassium_full_min,0.002181785354687217,24
Fraction inspired oxygen_full_mean,0.002148393135639819,25
Lactate_last10%_min,0.001996543873126703,26
Temperature_full_min,0.0018977529677987972,27
Glascow coma scale eye opening_last10%_min,0.0017513248595209586,28
Temperature_last25%_min,0.001695659898804944,29
Hemoglobin_full_mean,0.0016178262909871865,30
Glascow coma scale verbal response_full_mean,0.0015190218729069138,31
Lactate_full_mean,0.0014829151084401648,32
Glascow coma scale motor response_full_min,0.001400104298642577,33
Weight_full_mean,0.0013103419898101004,34
Heart Rate_last25%_mean,0.0013086232425472755,35
Systolic blood pressure_last25%_std,0.001298848842149833,36
Hemoglobin_full_std,0.0012776969243475846,37
Heart Rate_full_min,0.0012704740108826456,38
ICU_Neuro Intermediate,0.0012653213937037922,39
Systolic blood pressure_last25%_min,0.0012291807344227295,40
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0011849779345715224,41
Diastolic blood pressure_last25%_min,0.0011260285654848116,42
Respiratory rate_last10%_mean,0.0011188367247593639,43
Glascow coma scale motor response_full_mean,0.0011026373884475216,44
Temperature_last10%_min,0.0010847818086347004,45
Respiratory rate_last25%_min,0.0010617141862598466,46
Fraction inspired oxygen_last25%_max,0.001060187333984447,47
Hematocrit_full_min,0.0010571380808159336,48
