Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Glascow coma scale motor response_last10%_max,0.007188182672563251,4,0.011634473012369017,3,0.0044462903398057654,0.0044462903398057654,-1
Glascow coma scale motor response_last25%_max,0.006329543977832421,5,0.010611227422430055,4,0.004281683444597634,0.004281683444597634,-1
Glascow coma scale motor response_last10%_min,0.007770325846633242,2,0.011803866505662109,2,0.0040335406590288675,0.0040335406590288675,0
Glascow coma scale motor response_full_max,0.002887291093128067,16,0.00643476783765953,6,0.0035474767445314633,0.0035474767445314633,-10
Glascow coma scale motor response_last25%_min,0.007229200676645691,3,0.01039133340803426,5,0.0031621327313885693,0.0031621327313885693,2
Glascow coma scale verbal response_last10%_min,0.00927567890472051,1,0.012171950929899915,1,0.0028962720251794055,0.0028962720251794055,0
Glascow coma scale motor response_full_mean,0.002106255643821011,29,0.004461430959042493,13,0.002355175315221482,0.002355175315221482,-16
Glascow coma scale verbal response_full_mean,0.0032719468244078952,11,0.004900766442383689,12,0.0016288196179757935,0.0016288196179757935,1
Glucose_full_min,0.0008484202346551402,114,0.0024497290717146914,27,0.001601308837059551,0.001601308837059551,-87
Glascow coma scale eye opening_full_max,0.0018551238390205563,39,0.0033082208051965828,17,0.0014530969661760264,0.0014530969661760264,-22
Glascow coma scale verbal response_full_max,0.0028029870408888225,17,0.004143233630352091,14,0.0013402465894632688,0.0013402465894632688,-3
Glucose_last10%_min,0.0008737198192055656,109,0.002209576301957448,33,0.0013358564827518826,0.0013358564827518826,-76
Glascow coma scale eye opening_last25%_max,0.004128491947556948,8,0.005455728568476904,9,0.0013272366209199568,0.0013272366209199568,1
Glucose_full_mean,0.0008014029522317301,119,0.0020188011460501873,40,0.0012173981938184571,0.0012173981938184571,-79
Glascow coma scale eye opening_last10%_min,0.004543090553393315,7,0.005649139555898066,8,0.0011060490025047512,0.0011060490025047512,1
Glucose_last10%_mean,0.0008419039284037485,115,0.0019268411699786543,45,0.0010849372415749057,0.0010849372415749057,-70
Creatinine_full_mean,0.003946814169593343,10,0.00496263913770771,11,0.0010158249681143676,0.0010158249681143676,1
Glucose_last25%_mean,0.0009723490370264064,99,0.001968116086015909,41,0.0009957670489895026,0.0009957670489895026,-58
Glascow coma scale eye opening_last10%_max,0.004043118053003878,9,0.005033391522731751,10,0.0009902734697278728,0.0009902734697278728,1
Creatinine_last10%_min,0.0051305142051719784,6,0.006103028323128533,7,0.000972514117956555,0.000972514117956555,1
