Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.44359383,1
Creatinine_last10%_min,0.18660693,2
Glascow coma scale motor response_last10%_max,0.17400461,3
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.16695203,4
Glascow coma scale motor response_last25%_min,0.12934704,5
White blood cell count_last10%_min,0.122065045,6
Respiratory rate_last25%_mean,0.10900287,7
Glascow coma scale motor response_last25%_max,0.09334513,8
Weight_full_max,0.0853437,9
Glascow coma scale motor response_full_std,0.08343848,10
Prothrombin time_last10%_min,0.08214782,11
Temperature_full_max,0.079613425,12
Hemoglobin_full_max,0.07621239,13
Temperature_last25%_min,0.075668156,14
Temperature_full_min,0.07369122,15
Glascow coma scale eye opening_last10%_min,0.069097295,16
Heart Rate_last10%_mean,0.06871549,17
Diastolic blood pressure_last25%_mean,0.06430744,18
Oxygen saturation_last25%_min,0.06396414,19
Bilirubin_full_std,0.06301208,20
Diastolic blood pressure_last10%_mean,0.06297132,21
White blood cell count_full_min,0.062812746,22
Weight_full_mean,0.06277639,23
Glascow coma scale eye opening_last10%_max,0.06148338,24
Glucose_last25%_std,0.061410636,25
Oxygen saturation_last10%_min,0.058984462,26
Prothrombin time_full_min,0.05629063,27
Heart Rate_last25%_mean,0.05451457,28
Fraction inspired oxygen_last10%_max,0.052825604,29
Oxygen saturation_full_min,0.05243111,30
Glascow coma scale motor response_last10%_min,0.051609777,31
Potassium_last10%_min,0.0506255,32
ICU_Neuro Intermediate,0.050514042,33
Fraction inspired oxygen_last25%_min,0.04997335,34
Bilirubin_full_min,0.04925627,35
Glascow coma scale eye opening_last25%_max,0.049049236,36
Lactate_last10%_min,0.04846883,37
Glascow coma scale verbal response_full_std,0.047107644,38
Glucose_last10%_min,0.0463283,39
Platelets_full_max,0.04598896,40
Systolic blood pressure_full_mean,0.044683427,41
Creatinine_full_min,0.044100035,42
Sodium_full_max,0.04337936,43
Glascow coma scale eye opening_full_mean,0.041890353,44
Respiratory rate_full_max,0.04108902,45
Systolic blood pressure_last10%_mean,0.040227298,46
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.039320674,47
Systolic blood pressure_last25%_min,0.03919244,48
Hemoglobin_full_std,0.038942434,49
Fraction inspired oxygen_last10%_min,0.03879513,50
Hematocrit_full_std,0.037009872,51
Systolic blood pressure_full_min,0.036102038,52
Weight_full_min,0.035795167,53
Platelets_full_mean,0.034399137,54
Glascow coma scale verbal response_full_mean,0.034367543,55
