Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Glascow coma scale motor response_last10%_max,0.17400461,3,0.21966298,2,0.045658365,0.045658365,-1
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.16695203,4,0.12942348,5,-0.037528545,0.037528545,1
Glascow coma scale motor response_last25%_max,0.09334513,8,0.12077002,7,0.027424894,0.027424894,-1
ICU_Neuro Intermediate,0.050514042,33,0.031314805,63,-0.019199237,0.019199237,30
Glascow coma scale motor response_last25%_min,0.12934704,5,0.14441963,4,0.015072584,0.015072584,-1
Glucose_last25%_std,0.061410636,25,0.074657895,16,0.013247259,0.013247259,-9
Bilirubin_full_min,0.04925627,35,0.039209336,44,-0.010046933,0.010046933,9
Glascow coma scale motor response_last10%_min,0.051609777,31,0.061301142,26,0.009691365,0.009691365,-5
pH_last10%_std,0.021894468,85,0.0126590915,119,-0.0092353765,0.0092353765,34
Diastolic blood pressure_last25%_mean,0.06430744,18,0.072836466,17,0.00852903,0.00852903,-1
Glascow coma scale eye opening_last10%_std,0.023646476,77,0.032059886,61,0.00841341,0.00841341,-16
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.039320674,47,0.047205824,38,0.007885151,0.007885151,-9
Lactate_last10%_min,0.04846883,37,0.055798322,28,0.0073294938,0.0073294938,-9
Glucose_last10%_std,0.01469174,107,0.021026377,86,0.0063346364,0.0063346364,-21
Glascow coma scale motor response_full_max,0.022103468,83,0.028314792,68,0.0062113237,0.0062113237,-15
Glascow coma scale eye opening_full_min,0.007991279,143,0.014182813,113,0.006191535,0.006191535,-30
pH_last10%_max,0.02709305,71,0.020912627,87,-0.0061804224,0.0061804224,16
Hematocrit_last10%_min,0.030664137,63,0.03634211,51,0.005677974,0.005677974,-12
Sodium_full_max,0.04337936,43,0.049052548,35,0.0056731887,0.0056731887,-8
