Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.4211150584328375
Glascow coma scale motor response_last10%_min,0.2179933414536328
Glascow coma scale verbal response_full_mean,0.15184183747969737
Respiratory rate_last25%_mean,0.12968953453428095
Glascow coma scale motor response_full_std,0.12847503679490765
Glucose_full_min,0.12781663793099587
Diastolic blood pressure_last10%_min,0.12503165012469764
Lactate_last10%_min,0.10634270270333351
Glascow coma scale eye opening_last10%_min,0.09727060736388568
Heart Rate_last10%_min,0.0921464947608544
White blood cell count_last10%_min,0.09033035448421825
Heart Rate_last10%_max,0.08577527008107853
Glascow coma scale eye opening_last10%_max,0.08346214191080274
Temperature_last10%_min,0.08344340694507726
Glascow coma scale verbal response_full_std,0.08278066750781118
Creatinine_last10%_min,0.08208493932195778
Weight_full_min,0.0794481928247071
Glascow coma scale verbal response_full_max,0.07919648814871354
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.07753671326744917
Glascow coma scale motor response_full_max,0.07665458151958857
Potassium_last10%_min,0.07656538955395549
Hemoglobin_full_std,0.07545164800235767
Fraction inspired oxygen_last10%_min,0.07479624767928163
Temperature_last25%_min,0.06605304928763507
Diastolic blood pressure_last25%_min,0.06536103695938039
Prothrombin time_last10%_min,0.06481084371712806
Platelets_full_min,0.06228837927959663
White blood cell count_full_std,0.06070928348221721
Glascow coma scale motor response_full_min,0.05709888166275161
Hematocrit_full_max,0.0560356232395312
Glascow coma scale motor response_full_mean,0.05376101953669254
Fraction inspired oxygen_last10%_max,0.05248174502278022
Oxygen saturation_full_min,0.05172599728060964
Fraction inspired oxygen_full_max,0.05073819403415246
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.04951943004649845
Weight_full_mean,0.049013682455561494
White blood cell count_full_min,0.04839835600177001
Sodium_full_min,0.04801690248304894
Systolic blood pressure_full_mean,0.046280188412788616
Oxygen saturation_last10%_min,0.04529240172189907
Lactate_full_min,0.04456190952410647
Respiratory rate_full_min,0.043183121273556585
Bilirubin_full_min,0.04254811173175472
