Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.35679094624119384
Glascow coma scale motor response_full_std,0.1388536014726049
Glascow coma scale motor response_last10%_min,0.13782985481622362
Glascow coma scale verbal response_full_mean,0.13089365238856773
Respiratory rate_last25%_mean,0.12237399387349288
Temperature_last10%_min,0.11480271920119714
Diastolic blood pressure_last10%_min,0.1121759014436763
White blood cell count_last10%_min,0.09593696144066216
Glascow coma scale eye opening_last10%_min,0.0949024025854749
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.08938571333871677
Lactate_last10%_min,0.08565410455360917
Heart Rate_last10%_min,0.08439293724401513
Glascow coma scale verbal response_full_std,0.08412391489634319
Heart Rate_last10%_max,0.0818448082059928
Glascow coma scale eye opening_last10%_max,0.07654526218021646
Hemoglobin_full_std,0.07472578276188067
Weight_full_min,0.07398280689667935
Potassium_last10%_min,0.07297802577692472
Creatinine_last10%_min,0.0729680946514366
White blood cell count_full_std,0.06542517262983255
Prothrombin time_last10%_min,0.0631331307395807
Fraction inspired oxygen_last10%_min,0.06292849905311963
Diastolic blood pressure_last25%_min,0.06178142385033369
Platelets_full_min,0.06082971407096024
Glascow coma scale verbal response_full_max,0.05929645328484277
Temperature_last25%_min,0.05743573071286553
Glascow coma scale motor response_full_min,0.05534253128196873
Hematocrit_full_max,0.05267147632718198
Bilirubin_full_min,0.05253531181965651
White blood cell count_full_min,0.051556354604605774
Glucose_full_min,0.04866005846842835
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.04816602868067475
Systolic blood pressure_full_mean,0.045887336419182606
Oxygen saturation_full_min,0.04529840586042143
Weight_full_mean,0.045146836822937145
Fraction inspired oxygen_full_max,0.04496388531915776
Sodium_full_min,0.04326847812332545
Diastolic blood pressure_full_min,0.042668950262838956
Lactate_full_min,0.04157157626484755
Fraction inspired oxygen_last10%_max,0.03986421037913505
Respiratory rate_full_min,0.03827116254996833
Glascow coma scale motor response_full_mean,0.037063510066100605
Systolic blood pressure_last25%_min,0.03702022124121513
Systolic blood pressure_last10%_std,0.036771118615726676
Respiratory rate_last10%_mean,0.03664834932907295
Creatinine_full_min,0.036007601592363776
Oxygen saturation_last10%_min,0.03536791936253247
Prothrombin time_full_mean,0.0349463013280557
Sodium_full_mean,0.03427876378026998
Sodium_full_max,0.03380787664115975
Systolic blood pressure_last10%_max,0.03273771711002506
Prothrombin time_full_min,0.03231409174779677
Potassium_full_min,0.03222756992240562
Prothrombin time_full_max,0.0318728440791557
Oxygen saturation_last25%_min,0.0281661911881355
Glascow coma scale motor response_last10%_std,0.02743011385759299
Sodium_last10%_min,0.02738491788372387
Glascow coma scale verbal response_last10%_std,0.025301216153378957
Lactate_full_mean,0.024764073724740536
Glascow coma scale motor response_full_max,0.024104349396300462
ICU_Medical Intensive Care Unit (MICU),0.023794421811829537
Systolic blood pressure_full_min,0.02356844956020025
Hematocrit_last25%_std,0.023239680422810268
Fraction inspired oxygen_last25%_max,0.023170593175736203
White blood cell count_full_max,0.02309632959997884
Glascow coma scale verbal response_full_min,0.022575483010221248
Glascow coma scale eye opening_last25%_std,0.02124274854159217
Glascow coma scale eye opening_full_min,0.020179152718390353
Potassium_full_mean,0.0192877001904098
Platelets_last25%_std,0.017341560416836765
Fraction inspired oxygen_full_mean,0.01667803120990286
Glascow coma scale eye opening_full_std,0.016002405103841648
ICU_Neuro Intermediate,0.015798988788997034
Prothrombin time_full_std,0.01576960431697597
Hemoglobin_last25%_std,0.015601592694106315
Potassium_full_max,0.015356330676472322
Creatinine_full_std,0.01525004305171765
Systolic blood pressure_last25%_max,0.014927981905284654
Heart Rate_full_mean,0.014576323018866768
