Feature,Reference,HighGlucose,ReferenceRank,HighRank
Glascow coma scale verbal response_last10%_min,0.44359383,0.44842815,1.0,1.0
Creatinine_last10%_min,0.18660693,0.18714365,2.0,3.0
Glascow coma scale motor response_last10%_max,0.17400461,0.21966298,3.0,2.0
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.16695203,0.12942348,4.0,5.0
Glascow coma scale motor response_last25%_min,0.12934704,0.14441963,5.0,4.0
White blood cell count_last10%_min,0.122065045,0.1243244,6.0,6.0
Respiratory rate_last25%_mean,0.10900287,0.10958513,7.0,8.0
Glascow coma scale motor response_last25%_max,0.09334513,0.12077002,8.0,7.0
Weight_full_max,0.0853437,0.0878422,9.0,9.0
Glascow coma scale motor response_full_std,0.08343848,0.081237964,10.0,11.0
Prothrombin time_last10%_min,0.08214782,0.08231628,11.0,10.0
Temperature_full_max,0.079613425,0.08008977,12.0,12.0
Hemoglobin_full_max,0.07621239,0.07515339,13.0,14.0
Temperature_last25%_min,0.075668156,0.075151406,14.0,15.0
Temperature_full_min,0.07369122,0.07642273,15.0,13.0
Glascow coma scale eye opening_last10%_min,0.069097295,0.06785601,16.0,18.0
Heart Rate_last10%_mean,0.06871549,0.06697878,17.0,20.0
Diastolic blood pressure_last25%_mean,0.06430744,0.072836466,18.0,17.0
Oxygen saturation_last25%_min,0.06396414,0.06266618,19.0,25.0
Bilirubin_full_std,0.06301208,0.06481709,20.0,22.0
Diastolic blood pressure_last10%_mean,0.06297132,0.067060776,21.0,19.0
White blood cell count_full_min,0.062812746,0.064969346,22.0,21.0
Weight_full_mean,0.06277639,0.06371094,23.0,23.0
Glascow coma scale eye opening_last10%_max,0.06148338,0.0629052,24.0,24.0
Glucose_last25%_std,0.061410636,0.074657895,25.0,16.0
Oxygen saturation_last10%_min,0.058984462,0.060437214,26.0,27.0
Prothrombin time_full_min,0.05629063,0.051425233,27.0,31.0
Heart Rate_last25%_mean,0.05451457,0.053777814,28.0,30.0
Fraction inspired oxygen_last10%_max,0.052825604,0.05579202,29.0,29.0
Oxygen saturation_full_min,0.05243111,0.048982725,30.0,36.0
Glascow coma scale motor response_last10%_min,0.051609777,0.061301142,31.0,26.0
Potassium_last10%_min,0.0506255,0.050563924,32.0,32.0
ICU_Neuro Intermediate,0.050514042,0.031314805,33.0,63.0
Fraction inspired oxygen_last25%_min,0.04997335,0.0457365,34.0,41.0
Bilirubin_full_min,0.04925627,0.039209336,35.0,44.0
Glascow coma scale eye opening_last25%_max,0.049049236,0.050268445,36.0,34.0
Lactate_last10%_min,0.04846883,0.055798322,37.0,28.0
Glascow coma scale verbal response_full_std,0.047107644,0.046275668,38.0,39.0
Glucose_last10%_min,0.0463283,0.050492644,39.0,33.0
Platelets_full_max,0.04598896,0.040957723,40.0,42.0
Systolic blood pressure_full_mean,0.044683427,0.048622377,41.0,37.0
Creatinine_full_min,0.044100035,0.045829687,42.0,40.0
Sodium_full_max,0.04337936,0.049052548,43.0,35.0
Glascow coma scale eye opening_full_mean,0.041890353,0.03701893,44.0,49.0
Respiratory rate_full_max,0.04108902,0.039428946,45.0,43.0
Systolic blood pressure_last10%_mean,0.040227298,0.037710853,46.0,46.0
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.039320674,0.047205824,47.0,38.0
Systolic blood pressure_last25%_min,0.03919244,0.035677403,48.0,53.0
Hemoglobin_full_std,0.038942434,0.03677072,49.0,50.0
Fraction inspired oxygen_last10%_min,0.03879513,0.037310597,50.0,48.0
Hematocrit_full_std,0.037009872,0.035148066,51.0,56.0
Systolic blood pressure_full_min,0.036102038,0.038486533,52.0,45.0
Weight_full_min,0.035795167,0.036042146,53.0,52.0
Platelets_full_mean,0.034399137,0.034729224,54.0,57.0
Glascow coma scale verbal response_full_mean,0.034367543,0.03289275,55.0,60.0
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.034126468,0.031672895,56.0,62.0
Oxygen saturation_last10%_max,0.032724526,0.033731893,57.0,58.0
Heart Rate_last25%_max,0.032583416,0.030621102,58.0,64.0
Lactate_last25%_min,0.0323407,0.037438054,59.0,47.0
Platelets_last10%_min,0.031938575,0.027848342,60.0,70.0
Diastolic blood pressure_last25%_max,0.031829104,0.032898057,61.0,59.0
Heart Rate_full_mean,0.03154479,0.035520762,62.0,54.0
Hematocrit_last10%_min,0.030664137,0.03634211,63.0,51.0
