Feature,Reference,HighGlucose,ReferenceRank,HighRank,SHAP_change
Glascow coma scale motor response->No response,0.00023404851598581134,0.0004597789310128286,13.0,6.0,0.00022573041502701728
Glascow coma scale eye opening->4 Spontaneously,6.80440015910648e-05,0.00028272168218486366,40.0,15.0,0.00021467768059379885
Glascow coma scale motor response->Obeys Commands,0.0002569719258953067,0.00046060419764445157,10.0,5.0,0.00020363227174914487
Glascow coma scale verbal response->Oriented,0.00037999480485693683,0.0005518094504985453,2.0,1.0,0.00017181464564160843
Creatinine,0.0003796383893955113,0.0005457482591362254,3.0,2.0,0.00016610986974071408
White blood cell count,0.00035068740597222516,0.0004946167862667802,4.0,3.0,0.00014392938029455507
Temperature,0.0003361948565188677,0.0004775318531809584,7.0,4.0,0.00014133699666209068
Glascow coma scale verbal response->No Response-ETT,0.0003408675004883429,0.00045753124501211493,6.0,7.0,0.00011666374452377204
mask->Glucose,0.0001492074517880848,0.0002518020122035643,23.0,19.0,0.0001025945604154795
Weight,0.00019606960459783902,0.0002856124190404574,16.0,14.0,8.95428144426184e-05
Diastolic blood pressure,0.00023887041740981032,0.0003281050897663832,12.0,11.0,8.923467235657289e-05
mask->Glascow coma scale eye opening,0.00015688517982098213,0.00023555472939590586,22.0,21.0,7.866954957492373e-05
Fraction inspired oxygen,0.0003484876954281266,0.00042515191205724225,5.0,9.0,7.666421662911563e-05
Potassium,0.00021735004443473491,0.00029375046444503615,14.0,12.0,7.640042001030124e-05
Lactate,0.0003140001413709648,0.00039027305509105217,8.0,10.0,7.627291372008739e-05
Glascow coma scale eye opening->Spontaneously,0.00018673924179745185,0.00025955425118189045,17.0,16.0,7.281500938443859e-05
Sodium,0.000165817776881045,0.00023792810669740112,20.0,20.0,7.211032981635612e-05
mask->Temperature,0.00013289757697365032,0.00019586935688953829,26.0,23.0,6.297177991588797e-05
mask->Hematocrit,0.0002046082364428616,0.00025849377115138276,15.0,17.0,5.388553470852116e-05
mask->Fraction inspired oxygen,0.00038923462951216475,0.0004394952358520742,1.0,8.0,5.026060633990943e-05
Systolic blood pressure,0.00024017109092055715,0.00029041213123391993,11.0,13.0,5.024104031336278e-05
Glascow coma scale motor response->Localizes Pain,9.243872732006691e-05,0.00013643815294907675,33.0,31.0,4.3999425629009844e-05
mask->Prothrombin time,8.668974996740762e-05,0.0001256161866547672,35.0,32.0,3.892643668735957e-05
Glascow coma scale motor response->Flex-withdraws,6.539052369019392e-05,0.00010279192407580471,41.0,36.0,3.740140038561079e-05
mask->Glascow coma scale verbal response,0.00010215409004900125,0.00013952771745656437,30.0,29.0,3.7373627407563114e-05
mask->Glascow coma scale motor response,9.340216765467868e-05,0.00012354426921891223,32.0,33.0,3.0142101564233542e-05
mask->Mean blood pressure,4.8364283274253406e-05,7.834601297422435e-05,48.0,46.0,2.998172969997095e-05
Glucose,1.0393563988921068e-05,4.0000687067562556e-05,61.0,57.0,2.9607123078641486e-05
Glascow coma scale eye opening->To Pain,0.00013631734635898026,0.00016568423912776756,25.0,26.0,2.93668927687873e-05
mask->pH,0.00014908236906527433,0.0001778725433102309,24.0,25.0,2.879017424495657e-05
mask->Diastolic blood pressure,4.4756043945897326e-05,7.333555604992921e-05,50.0,49.0,2.857951210403188e-05
Glascow coma scale verbal response->No Response,3.208522885280218e-05,5.959548706517204e-05,52.0,52.0,2.751025821236986e-05
Oxygen saturation,5.06216224262229e-05,7.811432592345147e-05,47.0,47.0,2.7492703497228564e-05
mask->Sodium,5.195919658058246e-05,7.842925856821166e-05,46.0,45.0,2.6470061987629198e-05
Mean blood pressure,5.7769013425817785e-05,8.413996108950235e-05,44.0,43.0,2.6370947663684565e-05
Hemoglobin,0.00016309405065911793,0.0001892697272802953,21.0,24.0,2.617567662117738e-05
mask->Weight,4.754743329494169e-05,7.366722487778244e-05,49.0,48.0,2.6119791582840744e-05
Prothrombin time,0.00012626269494621313,0.00015214976195582393,29.0,27.0,2.5887067009610796e-05
Platelets,0.0001750407726695058,0.0002000543900915086,19.0,22.0,2.5013617422002792e-05
mask->Creatinine,5.650119576671059e-05,8.132454859780557e-05,45.0,44.0,2.4823352831094978e-05
mask->Potassium,6.103326468023376e-05,8.55903040231277e-05,43.0,42.0,2.4557039342893942e-05
mask->Platelets,6.518335921416587e-05,8.911452467515818e-05,42.0,41.0,2.3931165460992304e-05
mask->Hemoglobin,7.162618483504582e-05,9.486168492093367e-05,38.0,39.0,2.323550008588785e-05
mask->Oxygen saturation,3.785960431268609e-05,6.006849936992993e-05,51.0,51.0,2.2208895057243838e-05
mask->Systolic blood pressure,3.1727527397079625e-05,5.3305039302030535e-05,54.0,53.0,2.157751190495091e-05
mask->Heart Rate,2.1856728591605283e-05,4.32992900847308e-05,57.0,55.0,2.1442561493125516e-05
mask->White blood cell count,7.45485526746148e-05,9.508527857307788e-05,37.0,38.0,2.0536725898463078e-05
mask->Lactate,9.53412203330643e-05,0.00011530266114180546,31.0,34.0,1.996144080874116e-05
Glascow coma scale eye opening->To Speech,0.00012847275647624742,0.00014603112129636068,27.0,28.0,1.7558364820113257e-05
mask->Respiratory rate,2.4199153211942675e-05,4.1489101595553505e-05,56.0,56.0,1.728994838361083e-05
Hematocrit,9.11748365272254e-05,0.00010736876343424309,34.0,35.0,1.619392690701769e-05
Respiratory rate,3.187350946381752e-05,4.457661349506412e-05,53.0,54.0,1.27031040312466e-05
mask->Bilirubin,8.030209213677734e-05,8.921237443343971e-05,36.0,40.0,8.910282296662372e-06
Glascow coma scale motor response->6 Obeys Commands,1.1280925133352326e-05,1.8050482037620755e-05,60.0,59.0,6.769556904268429e-06
Glascow coma scale motor response->Abnormal extension,8.99237347766757e-07,6.281851915161951e-06,64.0,63.0,5.382614567395194e-06
Glascow coma scale verbal response->5 Oriented,1.135065025165985e-05,1.6639289812522367e-05,59.0,60.0,5.2886395608625176e-06
Glascow coma scale motor response->Abnormal Flexion,2.5633098853935127e-06,6.310906622578234e-06,62.0,62.0,3.7475967371847216e-06
mask->Height,2.0922339621528194e-06,3.6105378290803477e-06,63.0,64.0,1.5183038669275284e-06
Height,6.959514829893925e-05,6.97101830987546e-05,39.0,50.0,1.1503479981535422e-07
pH,1.3786463429707304e-08,1.8011569685778968e-08,65.0,65.0,4.225106256071664e-09
Glascow coma scale eye opening->3 To speech,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->15,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->12,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->14,0.0,0.0,81.0,81.0,0.0
Glascow coma scale verbal response->1 No Response,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->8,0.0,0.0,81.0,81.0,0.0
Glascow coma scale verbal response->2 Incomp sounds,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->13,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->10,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->11,0.0,0.0,81.0,81.0,0.0
Glascow coma scale motor response->2 Abnorm extensn,0.0,0.0,81.0,81.0,0.0
Glascow coma scale motor response->5 Localizes Pain,0.0,0.0,81.0,81.0,0.0
Glascow coma scale motor response->4 Flex-withdraws,0.0,0.0,81.0,81.0,0.0
Capillary refill rate->1.0,0.0,0.0,81.0,81.0,0.0
Capillary refill rate->0.0,0.0,0.0,81.0,81.0,0.0
Glascow coma scale eye opening->1 No Response,0.0,0.0,81.0,81.0,0.0
Glascow coma scale eye opening->None,0.0,0.0,81.0,81.0,0.0
Glascow coma scale eye opening->2 To pain,0.0,0.0,81.0,81.0,0.0
Glascow coma scale motor response->1 No Response,0.0,0.0,81.0,81.0,0.0
Glascow coma scale motor response->3 Abnorm flexion,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->7,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->4,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->9,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->6,0.0,0.0,81.0,81.0,0.0
Glascow coma scale verbal response->4 Confused,0.0,0.0,81.0,81.0,0.0
Glascow coma scale verbal response->3 Inapprop words,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->5,0.0,0.0,81.0,81.0,0.0
Glascow coma scale total->3,0.0,0.0,81.0,81.0,0.0
mask->Glascow coma scale total,0.0,0.0,81.0,81.0,0.0
mask->Capillary refill rate,0.0,0.0,81.0,81.0,0.0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,0.0,81.0,81.0,0.0
Glascow coma scale verbal response->Incomprehensible sounds,3.169128479513665e-05,2.997947860926625e-05,55.0,58.0,-1.711806185870402e-06
Glascow coma scale verbal response->Inappropriate Words,1.2700137244441122e-05,7.3732732844292274e-06,58.0,61.0,-5.326863960011894e-06
Heart Rate,0.00026851812990919536,0.00025812285656218143,9.0,18.0,-1.0395273347013926e-05
Glascow coma scale verbal response->Confused,0.0001284222632254355,9.798066516919118e-05,28.0,37.0,-3.0441598056244327e-05
Bilirubin,0.00017872692421924935,0.00013717025182321776,18.0,30.0,-4.155667239603159e-05
