Feature,Reference,HighGlucose,ReferenceRank,HighRank,SHAP_change
Glascow coma scale motor response_last10%_min,0.13782985481622362,0.2179933414536328,3.0,2.0,0.08016348663740919
Glucose_full_min,0.04866005846842835,0.12781663793099587,31.0,6.0,0.07915657946256752
Glascow coma scale verbal response_last10%_min,0.35679094624119384,0.4211150584328375,1.0,1.0,0.06432411219164363
Glascow coma scale motor response_full_max,0.024104349396300462,0.07665458151958857,60.0,20.0,0.052550232123288104
Glascow coma scale verbal response_full_mean,0.13089365238856773,0.15184183747969737,4.0,3.0,0.02094818509112964
Lactate_last10%_min,0.08565410455360917,0.10634270270333351,11.0,8.0,0.020688598149724347
Glascow coma scale verbal response_full_max,0.05929645328484277,0.07919648814871354,25.0,18.0,0.019900034863870764
Glascow coma scale motor response_full_mean,0.037063510066100605,0.05376101953669254,42.0,31.0,0.016697509470591933
Diastolic blood pressure_last10%_min,0.1121759014436763,0.12503165012469764,7.0,7.0,0.012855748681021337
Fraction inspired oxygen_last10%_max,0.03986421037913505,0.05248174502278022,40.0,32.0,0.012617534643645172
Fraction inspired oxygen_last10%_min,0.06292849905311963,0.07479624767928163,22.0,23.0,0.011867748626161995
Oxygen saturation_last10%_min,0.03536791936253247,0.04529240172189907,47.0,40.0,0.009924482359366604
Creatinine_last10%_min,0.0729680946514366,0.08208493932195778,19.0,16.0,0.00911684467052118
Temperature_last25%_min,0.05743573071286553,0.06605304928763507,26.0,24.0,0.008617318574769543
Oxygen saturation_last25%_min,0.0281661911881355,0.03622468872088017,55.0,49.0,0.008058497532744673
Heart Rate_last10%_min,0.08439293724401513,0.0921464947608544,12.0,10.0,0.007753557516839274
Respiratory rate_last25%_mean,0.12237399387349288,0.12968953453428095,5.0,4.0,0.007315540660788072
Glascow coma scale eye opening_last10%_max,0.07654526218021646,0.08346214191080274,15.0,13.0,0.006916879730586287
Fraction inspired oxygen_last25%_max,0.023170593175736203,0.029861913589640545,64.0,55.0,0.006691320413904342
Oxygen saturation_full_min,0.04529840586042143,0.05172599728060964,34.0,33.0,0.006427591420188214
Fraction inspired oxygen_full_max,0.04496388531915776,0.05073819403415246,36.0,34.0,0.005774308714994701
