Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine,0.00011424202515405722,22,0.0018666191125822687,1,0.0017523770874282114,0.0017523770874282114,-21
mask->Glucose,9.31791547364787e-05,26,0.0011757963192273264,2,0.0010826171644908477,0.0010826171644908477,-24
Glascow coma scale motor response->Obeys Commands,0.0004770710159390836,1,0.0008889738319414313,3,0.0004119028160023477,0.0004119028160023477,2
Lactate,0.00024961743046969536,9,0.0005589319448440067,6,0.0003093145143743113,0.0003093145143743113,-3
Diastolic blood pressure,0.0001866887082788209,12,0.0004763321229543769,8,0.00028964341467555606,0.00028964341467555606,-4
Glascow coma scale verbal response->No Response-ETT,0.0003195378558920207,6,0.0005632523581811958,5,0.00024371450228917511,0.00024371450228917511,-1
Systolic blood pressure,0.00012491969139771827,20,0.00034781481198686897,15,0.0002228951205891507,0.0002228951205891507,-5
White blood cell count,0.0002669162413935502,8,0.000488213592798095,7,0.0002212973514045448,0.0002212973514045448,-1
Glascow coma scale verbal response->Oriented,0.00035608603410372937,2,0.0005723545384183307,4,0.00021626850431460135,0.00021626850431460135,2
Bilirubin,0.00017154123898966174,14,0.0003662877062533427,14,0.000194746467263681,0.000194746467263681,0
mask->Oxygen saturation,7.761135752100519e-05,32,0.0002561016290882724,19,0.00017849027156726722,0.00017849027156726722,-13
Potassium,0.00016110800548123323,15,0.0003327543049288335,16,0.00017164629944760025,0.00017164629944760025,1
mask->Hematocrit,0.00023975855459037128,11,0.00040574496687398266,13,0.00016598641228361138,0.00016598641228361138,2
Prothrombin time,9.275337272342352e-05,27,0.0002311241578958078,22,0.00013837078517238427,0.00013837078517238427,-5
Glascow coma scale motor response->No response,0.00014065243479825684,19,0.0002683625296837025,18,0.00012771009488544567,0.00012771009488544567,-1
Temperature,0.00032059839469993,5,0.0004453789048079816,9,0.00012478051010805162,0.00012478051010805162,4
Heart Rate,0.0003126382305251206,7,0.00043155701078325927,11,0.00011891878025813867,0.00011891878025813867,4
Glascow coma scale eye opening->4 Spontaneously,8.445574898081753e-05,30,0.00019048802141571084,27,0.0001060322724348933,0.0001060322724348933,-3
mask->Fraction inspired oxygen,0.00033310242951155506,3,0.0004348412738869306,10,0.00010173884437537554,0.00010173884437537554,7
mask->pH,0.00014934870574547068,16,0.0002487310452493356,20,9.938233950386493e-05,9.938233950386493e-05,4
