Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine,0.00016119009032485845,24,0.0014955841619512286,2,0.0013343940716263702,0.0013343940716263702,-22
Glascow coma scale motor response->Obeys Commands,0.0007914956779064756,1,0.001518857710529787,1,0.0007273620326233113,0.0007273620326233113,0
Potassium,0.0002910795778997377,14,0.0007511077745908495,3,0.00046002819669111177,0.00046002819669111177,-11
mask->Oxygen saturation,0.00031946079206111654,11,0.0006812398099959358,5,0.00036177901793481927,0.00036177901793481927,-6
Diastolic blood pressure,0.0002855038819464561,15,0.0006465338168680616,7,0.0003610299349216055,0.0003610299349216055,-8
Systolic blood pressure,0.0002940264805186066,13,0.0006215591026880421,9,0.00032753262216943555,0.00032753262216943555,-4
White blood cell count,0.00039170530194401076,8,0.0006731805969374912,6,0.00028147529499348043,0.00028147529499348043,-2
Prothrombin time,0.0003076413660196751,12,0.0005571609375236886,14,0.00024951957150401346,0.00024951957150401346,2
Lactate,0.00037167523370541594,9,0.0006011385576821253,10,0.00022946332397670935,0.00022946332397670935,1
mask->Glucose,0.00017065575685332735,23,0.00037451653899783874,18,0.0002038607821445114,0.0002038607821445114,-5
mask->pH,0.0004324358591101672,5,0.0006219331018183627,8,0.00018949724270819556,0.00018949724270819556,3
Weight,0.00040948794793304563,7,0.0005778508426812291,13,0.0001683628947481835,0.0001683628947481835,6
Bilirubin,0.00011739911280517768,28,0.00027748911480504596,20,0.00016009000199986828,0.00016009000199986828,-8
Fraction inspired oxygen,0.0005481924156771371,2,0.0007050976884317432,4,0.00015690527275460605,0.00015690527275460605,2
Temperature,0.0003673107556045923,10,0.0005090733645132283,15,0.000141762608908636,0.000141762608908636,5
Heart Rate,0.0002497771254779176,17,0.0003855126574024233,17,0.0001357355319245057,0.0001357355319245057,0
Glascow coma scale verbal response->No Response-ETT,0.00045173001044831166,4,0.0005869871968783406,12,0.00013525718643002898,0.00013525718643002898,8
Glascow coma scale motor response->No response,0.00013602511767274052,26,0.00025894059629700937,22,0.00012291547862426885,0.00012291547862426885,-4
Glascow coma scale verbal response->Oriented,0.0004903658992358621,3,0.0005976516037220225,11,0.00010728570448616042,0.00010728570448616042,8
mask->Bilirubin,8.983057097831843e-05,34,0.00019040558625002757,28,0.00010057501527170914,0.00010057501527170914,-6
mask->Hematocrit,0.00013191510210873298,27,0.00022320824788621112,27,9.129314577747814e-05,9.129314577747814e-05,0
mask->Glascow coma scale eye opening,9.964996929838154e-05,32,0.0001764603170156269,29,7.681034771724537e-05,7.681034771724537e-05,-3
Glascow coma scale eye opening->4 Spontaneously,9.813517485578416e-05,33,0.00016885284725498328,31,7.071767239919913e-05,7.071767239919913e-05,-2
Hemoglobin,0.00018723080544941401,19,0.0002559091027004242,23,6.867829725101018e-05,6.867829725101018e-05,4
Glascow coma scale eye opening->Spontaneously,0.0001759642649086553,21,0.00024280268109586278,24,6.683841618720747e-05,6.683841618720747e-05,3
Glascow coma scale eye opening->To Speech,0.00017353950344942793,22,0.00023977851879511291,25,6.623901534568498e-05,6.623901534568498e-05,3
mask->Weight,5.568707473326397e-05,39,0.00011744704383113915,35,6.175996909787518e-05,6.175996909787518e-05,-4
Glascow coma scale motor response->Flex-withdraws,7.519397394701619e-05,36,0.0001335721876693749,34,5.8378213722358715e-05,5.8378213722358715e-05,-2
mask->Temperature,0.00011402293468539085,29,0.00017032358770513974,30,5.6300653019748884e-05,5.6300653019748884e-05,1
Oxygen saturation,7.702830984275084e-06,54,6.185296944163246e-05,44,5.415013845735737e-05,5.415013845735737e-05,-10
mask->Creatinine,0.00010963400742909986,31,5.627263476529465e-05,45,-5.336137266380521e-05,5.336137266380521e-05,14
mask->Mean blood pressure,0.0002633877901101361,16,0.00031544318006524423,19,5.205538995510815e-05,5.205538995510815e-05,3
mask->Glascow coma scale motor response,5.081603968020829e-05,41,0.00010236598520146895,38,5.1549945521260656e-05,5.1549945521260656e-05,-3
Glascow coma scale eye opening->To Pain,0.00010993948071380571,30,0.00015977515807999055,33,4.9835677366184844e-05,4.9835677366184844e-05,3
