Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine,0.00014441331253747423,29,0.0019232246291074418,1,0.0017788113165699677,0.0017788113165699677,-28
Lactate,0.0002569928602154678,12,0.0006938639403070997,3,0.0004368710800916319,0.0004368710800916319,-9
Bilirubin,0.000762544198558086,1,0.00038271979487437715,19,-0.0003798244036837088,0.0003798244036837088,18
Glascow coma scale motor response->No response,0.00018227592475437727,25,0.0005324408414396465,10,0.0003501649166852692,0.0003501649166852692,-15
Systolic blood pressure,0.00031940771864683617,7,0.0006288036207620906,5,0.0003093959021152545,0.0003093959021152545,-2
Glascow coma scale verbal response->No Response-ETT,0.00027898428021794246,11,0.0005810590716709907,7,0.0003020747914530483,0.0003020747914530483,-4
Diastolic blood pressure,0.0002951868589305077,9,0.0005848408558879907,6,0.000289653996957483,0.000289653996957483,-3
Glascow coma scale verbal response->Oriented,0.00042306940202000305,3,0.0007112705511974763,2,0.00028820114917747325,0.00028820114917747325,-1
Glascow coma scale motor response->Obeys Commands,0.00024364029203754006,16,0.0005011800039478168,12,0.0002575397119102768,0.0002575397119102768,-4
mask->Glucose,0.0002447610572556682,15,0.000493080447842417,13,0.0002483193905867488,0.0002483193905867488,-2
Weight,0.0002966573383030291,8,0.0005433183923496124,9,0.0002466610540465833,0.0002466610540465833,1
Temperature,0.0004059183341964216,4,0.0006484808035094296,4,0.00024256246931300798,0.00024256246931300798,0
Heart Rate,0.00028183761862138703,10,0.0005163718023202128,11,0.0002345341836988258,0.0002345341836988258,1
Potassium,0.00017848830548203746,26,0.0004077925374869089,17,0.00022930423200487145,0.00022930423200487145,-9
Glascow coma scale eye opening->4 Spontaneously,0.00014076381297939303,31,0.0003437811483462171,21,0.0002030173353668241,0.0002030173353668241,-10
Sodium,0.0002384709632795223,17,0.00040446329237744114,18,0.00016599232909791884,0.00016599232909791884,1
mask->Glascow coma scale eye opening,0.000246601838935455,13,0.000408881571082013,16,0.000162279732146558,0.000162279732146558,3
Glascow coma scale motor response->Flex-withdraws,0.00010762719294739117,34,0.00026653254559477226,28,0.0001589053526473811,0.0001589053526473811,-6
mask->pH,0.00013540096248675434,32,0.00028500525561158275,26,0.0001496042931248284,0.0001496042931248284,-6
mask->Fraction inspired oxygen,0.00034740272964323506,6,0.00048443797713327555,14,0.00013703524749004048,0.00013703524749004048,8
mask->Glascow coma scale verbal response,0.00020809078358105624,20,0.00034077831487845986,22,0.00013268753129740363,0.00013268753129740363,2
mask->Temperature,0.00020418318132130913,21,0.0003271851381058351,23,0.00012300195678452598,0.00012300195678452598,2
mask->Lactate,6.74941216445955e-05,44,0.00018687854669354446,36,0.00011938442504894897,0.00011938442504894897,-8
mask->Sodium,0.00010297429395987857,36,0.0002177336274579682,34,0.00011475933349808962,0.00011475933349808962,-2
Platelets,0.0002453944580500598,14,0.0003504328163889792,20,0.00010503835833891936,0.00010503835833891936,6
Glascow coma scale eye opening->Spontaneously,0.00013385832236154625,33,0.00022942452932689096,33,9.556620696534471e-05,9.556620696534471e-05,0
Fraction inspired oxygen,0.0003942431028240568,5,0.00048007713254131297,15,8.583402971725618e-05,8.583402971725618e-05,10
Hemoglobin,0.00020214211940013642,22,0.0002874288494170981,25,8.528673001696166e-05,8.528673001696166e-05,3
mask->Hematocrit,0.00018405042572884421,24,0.00026808540989332376,27,8.403498416447954e-05,8.403498416447954e-05,3
mask->Creatinine,8.011001409359073e-05,40,0.0001575491264168323,38,7.743911232324156e-05,7.743911232324156e-05,-2
mask->Prothrombin time,8.876800978952714e-05,39,0.00016357047012517098,37,7.480246033564384e-05,7.480246033564384e-05,-2
mask->Glascow coma scale motor response,0.00021579164505321048,19,0.0002900470233342434,24,7.42553782810329e-05,7.42553782810329e-05,5
Glascow coma scale eye opening->To Pain,0.00016456896014477486,28,0.00023498620209725046,31,7.04172419524756e-05,7.04172419524756e-05,3
Hematocrit,0.0001772569390571462,27,0.00024765580026281766,29,7.039886120567145e-05,7.039886120567145e-05,2
mask->Diastolic blood pressure,5.6944999705083204e-05,47,0.00012695213777052874,45,7.000713806544553e-05,7.000713806544553e-05,-2
mask->Mean blood pressure,5.193328201491449e-05,48,0.00011569144308383042,48,6.375816106891593e-05,6.375816106891593e-05,0
Glascow coma scale verbal response->Confused,0.00014180835930994006,30,0.0002042720794899829,35,6.246372018004284e-05,6.246372018004284e-05,5
Glascow coma scale motor response->Localizes Pain,7.830489417890307e-05,41,0.00013955195834539912,42,6.124706416649606e-05,6.124706416649606e-05,1
mask->Platelets,6.047394520122323e-05,46,0.0001189126736123125,47,5.843872841108927e-05,5.843872841108927e-05,1
Oxygen saturation,7.231164882195136e-05,43,0.00013032435979490117,43,5.801271097294981e-05,5.801271097294981e-05,0
mask->Potassium,6.729513702233533e-05,45,0.00012221823807416414,46,5.492310105182881e-05,5.492310105182881e-05,1
mask->Systolic blood pressure,4.393867033832318e-05,49,9.640480663341248e-05,49,5.2466136295089305e-05,5.2466136295089305e-05,0
Mean blood pressure,7.70179012918278e-05,42,0.00012903661606864078,44,5.2018714776812976e-05,5.2018714776812976e-05,2
mask->White blood cell count,0.0001043858312165451,35,0.0001556076698708478,39,5.1221838654302705e-05,5.1221838654302705e-05,4
mask->Oxygen saturation,4.284711822250278e-05,50,9.381656739257698e-05,50,5.09694491700742e-05,5.09694491700742e-05,0
mask->Hemoglobin,0.00010214066571411261,37,0.00014771514030912167,40,4.557447459500905e-05,4.557447459500905e-05,3
mask->Weight,9.826072817597996e-05,38,0.00014351750471968213,41,4.525677654370217e-05,4.525677654370217e-05,3
mask->Heart Rate,3.514385367542119e-05,53,7.871216045390881e-05,51,4.356830677848762e-05,4.356830677848762e-05,-2
Glascow coma scale eye opening->To Speech,0.0001919111427590858,23,0.00023172571942132772,32,3.981457666224193e-05,3.981457666224193e-05,9
Glascow coma scale motor response->Abnormal Flexion,2.4237000837701953e-05,56,5.989310089633659e-05,55,3.5656100058634635e-05,3.5656100058634635e-05,-1
mask->Bilirubin,3.487420084740141e-05,54,6.905099459702958e-05,53,3.417679374962817e-05,3.417679374962817e-05,-1
Glucose,2.3241440053828727e-05,57,5.445453928647117e-05,57,3.121309923264244e-05,3.121309923264244e-05,0
mask->Respiratory rate,2.4641123292222653e-05,55,5.567070129146911e-05,56,3.102957799924646e-05,3.102957799924646e-05,1
Respiratory rate,4.0506862473297094e-05,52,7.080364670868325e-05,52,3.0296784235386154e-05,3.0296784235386154e-05,0
Glascow coma scale verbal response->Incomprehensible sounds,1.503108871517611e-05,61,3.837826402104838e-05,58,2.334717530587227e-05,2.334717530587227e-05,-3
Glascow coma scale verbal response->Inappropriate Words,1.3435432200284518e-05,62,3.650301459736845e-05,61,2.3067582397083936e-05,2.3067582397083936e-05,-1
Glascow coma scale verbal response->No Response,4.1106306384668655e-05,51,6.265060307978882e-05,54,2.1544296695120162e-05,2.1544296695120162e-05,3
Glascow coma scale verbal response->5 Oriented,1.722640505367486e-05,60,3.814857718496434e-05,60,2.092217213128948e-05,2.092217213128948e-05,0
Glascow coma scale motor response->6 Obeys Commands,1.7987150239290063e-05,59,3.830960629027542e-05,59,2.0322456050985356e-05,2.0322456050985356e-05,0
Height,1.8804574833429417e-05,58,0.0,84,-1.8804574833429417e-05,1.8804574833429417e-05,26
White blood cell count,0.000530316304497936,2,0.000548967777656607,8,1.8651473158671052e-05,1.8651473158671052e-05,6
Prothrombin time,0.00023417043304494223,18,0.0002442365463093595,30,1.0066113264417276e-05,1.0066113264417276e-05,12
Glascow coma scale motor response->Abnormal extension,7.2385903695249e-06,63,6.929031970533591e-07,63,-6.545687172471541e-06,6.545687172471541e-06,0
mask->Height,2.0375849271658806e-06,64,1.4143359051862112e-06,62,-6.232490219796695e-07,6.232490219796695e-07,-2
pH,2.400027799619331e-08,65,2.6793380278239136e-08,64,2.793102282045825e-09,2.793102282045825e-09,-1
Glascow coma scale total->14,0.0,66,0.0,65,0.0,0.0,-1
Glascow coma scale total->12,0.0,67,0.0,67,0.0,0.0,0
Glascow coma scale total->13,0.0,68,0.0,68,0.0,0.0,0
Glascow coma scale total->10,0.0,69,0.0,69,0.0,0.0,0
Glascow coma scale total->11,0.0,70,0.0,70,0.0,0.0,0
Glascow coma scale motor response->2 Abnorm extensn,0.0,71,0.0,71,0.0,0.0,0
