Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine,8.305564762162206e-05,38,0.001590571818565926,1,0.001507516170944304,0.001507516170944304,-37
Lactate,0.00026180139245552016,9,0.0006447003680570807,5,0.00038289897560156054,0.00038289897560156054,-4
Potassium,0.00017338915214001817,21,0.0005556319102621321,10,0.0003822427581221139,0.0003822427581221139,-11
Glascow coma scale motor response->No response,0.00026629181323200766,8,0.0006415297595188553,6,0.00037523794628684765,0.00037523794628684765,-2
Glascow coma scale motor response->Obeys Commands,0.0003004897953334051,7,0.0006676159147199801,3,0.00036712611938657496,0.00036712611938657496,-4
White blood cell count,0.00031890177629640527,6,0.0006482407096686639,4,0.00032933893337225864,0.00032933893337225864,-2
Glascow coma scale verbal response->Oriented,0.00037844200922396636,1,0.0007039768540504968,2,0.00032553484482653045,0.00032553484482653045,1
Diastolic blood pressure,0.00023612962241863157,13,0.0005593504499067658,9,0.00032322082748813426,0.00032322082748813426,-4
Systolic blood pressure,0.00019681514107388053,17,0.0004770142621246833,13,0.00028019912105080276,0.00028019912105080276,-4
Temperature,0.0003735101047966971,3,0.0006277582939809889,7,0.0002542481891842918,0.0002542481891842918,4
Fraction inspired oxygen,0.0003467150612647241,5,0.0005681987887391781,8,0.00022148372747445407,0.00022148372747445407,3
mask->Glascow coma scale eye opening,0.000200941543387807,16,0.0004061832647759545,16,0.00020524172138814748,0.00020524172138814748,0
mask->Glucose,0.00017917890655553195,19,0.00038010240959615154,18,0.0002009235030406196,0.0002009235030406196,-1
Weight,0.0002450816614008706,12,0.0004456267668794204,14,0.00020054510547854978,0.00020054510547854978,2
mask->Temperature,0.00013215545720383435,29,0.00032659770432003706,21,0.0001944422471162027,0.0001944422471162027,-8
Glascow coma scale verbal response->No Response-ETT,0.0003737090749801301,2,0.0005532885237293458,11,0.0001795794487492157,0.0001795794487492157,9
Heart Rate,0.0002471884209713685,11,0.0004264979674324828,15,0.00017930954646111426,0.00017930954646111426,4
Bilirubin,0.0001779111866375918,20,0.00033438168699519676,20,0.00015647050035760496,0.00015647050035760496,0
Sodium,0.0001640336573758198,23,0.00030495229716457126,23,0.00014091863978875146,0.00014091863978875146,0
mask->Fraction inspired oxygen,0.00036734500874837826,4,0.0005055806578548212,12,0.00013823564910644297,0.00013823564910644297,8
mask->Hematocrit,0.0002534450234857032,10,0.00038595199977196735,17,0.00013250697628626413,0.00013250697628626413,7
Glascow coma scale eye opening->Spontaneously,0.00020561515226794806,15,0.0003363970224043807,19,0.00013078187013643264,0.00013078187013643264,4
Glascow coma scale eye opening->4 Spontaneously,0.00015026787244590018,24,0.00027513661570694294,25,0.00012486874326104276,0.00012486874326104276,1
