Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine_last10%_min,0.014001250043962776,76,0.22980516657597724,2,0.21580391653201447,0.21580391653201447,-74
Creatinine_full_min,0.0065132660181432605,95,0.09862059224037172,10,0.09210732622222846,0.09210732622222846,-85
Glascow coma scale motor response_last10%_min,0.13174093716533905,2,0.2231561848636596,3,0.09141524769832055,0.09141524769832055,1
Systolic blood pressure_full_max,0.07155038315937949,15,0.002909597922928217,109,-0.06864078523645127,0.06864078523645127,94
Glascow coma scale verbal response_last10%_min,0.3554636008440784,1,0.42292081549954846,1,0.06745721465547005,0.06745721465547005,0
Creatinine_full_std,0.004330384484262665,104,0.0418954240632299,47,0.03756503957896724,0.03756503957896724,-57
Potassium_last10%_min,0.06209408374589953,22,0.09678834439872935,12,0.03469426065282982,0.03469426065282982,-10
Glascow coma scale motor response_full_max,0.04268642988975497,35,0.07648937613945522,21,0.033802946249700254,0.033802946249700254,-14
Prothrombin time_last10%_min,0.04371298169603231,33,0.07189552915237726,23,0.02818254745634495,0.02818254745634495,-10
Glucose_full_min,0.06748582789022002,20,0.09485720480346098,13,0.027371376913240958,0.027371376913240958,-7
Glascow coma scale eye opening_last10%_max,0.05815790866442298,26,0.08102099481367755,18,0.02286308614925457,0.02286308614925457,-8
Lactate_last10%_min,0.08817547496218583,8,0.1102008418448167,9,0.022025366882630862,0.022025366882630862,1
Oxygen saturation_last10%_min,0.03050715763020256,48,0.05081152204161446,39,0.0203043644114119,0.0203043644114119,-9
Glascow coma scale motor response_full_mean,0.03414225009192894,45,0.053105612574544735,37,0.018963362482615792,0.018963362482615792,-8
Glascow coma scale eye opening_last10%_min,0.07952078920218712,12,0.09836967805654045,11,0.018848888854353332,0.018848888854353332,-1
White blood cell count_last10%_min,0.09381397662918321,7,0.1125607222938902,8,0.018746745664706993,0.018746745664706993,1
Prothrombin time_full_min,0.02252209176748712,59,0.040539034877545316,49,0.018016943110058196,0.018016943110058196,-10
Bilirubin_full_min,0.035799345411404136,43,0.05345425574478152,35,0.017654910333377384,0.017654910333377384,-8
Glascow coma scale verbal response_full_mean,0.1316414779599169,3,0.14877934441401539,4,0.017137866454098483,0.017137866454098483,1
Prothrombin time_full_mean,0.02633300031017379,51,0.04157324574210874,48,0.015240245431934946,0.015240245431934946,-3
Oxygen saturation_last25%_min,0.02435065025665263,54,0.039359745638482095,51,0.015009095381829464,0.015009095381829464,-3
Oxygen saturation_full_min,0.04116525921256748,38,0.05588050492381029,33,0.01471524571124281,0.01471524571124281,-5
Prothrombin time_full_max,0.020450517282062746,64,0.0351034631351516,55,0.014652945853088854,0.014652945853088854,-9
Weight_full_min,0.0720169668384654,14,0.08561508141486861,15,0.013598114576403211,0.013598114576403211,1
Temperature_last10%_min,0.06978909901151606,17,0.08301446891986781,16,0.013225369908351756,0.013225369908351756,-1
Temperature_last25%_min,0.056662253472415845,27,0.06813302506942054,25,0.011470771597004693,0.011470771597004693,-2
Diastolic blood pressure_last10%_min,0.11302726167712898,6,0.12422393327624405,7,0.011196671599115068,0.011196671599115068,1
Glascow coma scale verbal response_full_max,0.06890571126862799,19,0.08003163866073847,19,0.011125927392110477,0.011125927392110477,0
Potassium_full_min,0.027275740688639482,49,0.03837228048153248,54,0.011096539792893,0.011096539792893,5
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.06956117408137266,18,0.058503980568741426,30,-0.011057193512631236,0.011057193512631236,12
Systolic blood pressure_full_mean,0.06465567370088769,21,0.05378482654030742,34,-0.010870847160580274,0.010870847160580274,13
Respiratory rate_last25%_mean,0.11921020315022891,5,0.1297492407781671,6,0.010539037627938189,0.010539037627938189,1
Hematocrit_full_max,0.050073771527574744,29,0.06001350774155325,29,0.009939736213978506,0.009939736213978506,0
Sodium_full_min,0.04232909720486692,36,0.05204556380991341,38,0.009716466605046492,0.009716466605046492,2
Weight_full_mean,0.04366749691487261,34,0.05322743484051765,36,0.009559937925645044,0.009559937925645044,2
ICU_Neuro Intermediate,0.02366907911258595,57,0.015179645564158416,79,-0.008489433548427534,0.008489433548427534,22
Glascow coma scale eye opening_full_max,0.008307392724212524,91,0.01677135666607364,76,0.008463963941861115,0.008463963941861115,-15
Glascow coma scale motor response_full_std,0.12342831836238294,4,0.1316067183530026,5,0.008178399990619672,0.008178399990619672,1
Diastolic blood pressure_full_min,0.040615301704368584,39,0.048676338841645135,41,0.008061037137276551,0.008061037137276551,2
Potassium_full_max,0.013765639034740323,77,0.021772062863667476,67,0.008006423828927153,0.008006423828927153,-10
Glascow coma scale motor response_last10%_std,0.02189795077648395,62,0.02956067935544964,57,0.007662728578965692,0.007662728578965692,-5
White blood cell count_full_min,0.04979602755289065,30,0.05724701769554902,32,0.007450990142658369,0.007450990142658369,2
ICU_Medical Intensive Care Unit (MICU),0.017850236932763504,68,0.025001806871152447,63,0.007151569938388943,0.007151569938388943,-5
Systolic blood pressure_last25%_min,0.03752892769700743,41,0.04466665961810582,44,0.007137731921098393,0.007137731921098393,3
Potassium_full_mean,0.016565223058413063,71,0.02348203018661082,64,0.0069168071281977585,0.0069168071281977585,-7
Sodium_full_max,0.033360722279881835,47,0.03940888137576046,50,0.006048159095878622,0.006048159095878622,3
Respiratory rate_full_min,0.03703902118647229,42,0.04299457445838142,46,0.0059555532719091295,0.0059555532719091295,4
Systolic blood pressure_full_min,0.02376897611090206,56,0.029503452414046956,58,0.005734476303144897,0.005734476303144897,2
Sodium_full_mean,0.033717436806778085,46,0.0391090102388851,53,0.0053915734321070136,0.0053915734321070136,7
Hemoglobin_full_std,0.07659084033046383,13,0.07134942312750776,24,-0.005241417202956067,0.005241417202956067,11
Platelets_full_min,0.06047745303836078,25,0.06566318875174224,26,0.005185735713381455,0.005185735713381455,1
Fraction inspired oxygen_last10%_min,0.06988323124611409,16,0.07477452231645901,22,0.004891291070344916,0.004891291070344916,6
Prothrombin time_full_std,0.013047618208572542,81,0.017910407341405216,74,0.004862789132832675,0.004862789132832675,-7
Glascow coma scale verbal response_full_std,0.08237089431917981,10,0.07766429015608647,20,-0.004706604163093334,0.004706604163093334,10
Sodium_last10%_min,0.026566011747629684,50,0.030873819691958623,56,0.004307807944328938,0.004307807944328938,6
Lactate_full_min,0.039337698679486596,40,0.043577670538322795,45,0.004239971858836199,0.004239971858836199,5
Platelets_last25%_std,0.015318652688313988,72,0.01946197282256939,72,0.004143320134255401,0.004143320134255401,0
Fraction inspired oxygen_last10%_max,0.0411906070902518,37,0.04523750264146899,43,0.004046895551217185,0.004046895551217185,6
Diastolic blood pressure_last25%_min,0.06156802167163617,24,0.06553946493869728,27,0.0039714432670611075,0.0039714432670611075,3
Systolic blood pressure_last10%_max,0.024044637599375508,55,0.027877654354623044,59,0.0038330167552475362,0.0038330167552475362,4
Respiratory rate_last10%_mean,0.03554497719710914,44,0.03933719707068658,52,0.003792219873577439,0.003792219873577439,8
