Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.03958391907630259,1
Creatinine_last10%_min,0.03241421864155169,2
White blood cell count_last10%_min,0.01455554246400955,3
White blood cell count_full_min,0.011787875599910349,4
Respiratory rate_last25%_mean,0.010885479900248343,5
Hemoglobin_full_max,0.010509103009187351,6
Potassium_last10%_min,0.010439182195318879,7
Platelets_last10%_min,0.009257063342275799,8
Diastolic blood pressure_last10%_min,0.008054268256233104,9
Glascow coma scale motor response_last25%_max,0.007298058566862996,10
Bilirubin_full_min,0.00608769659727394,11
Sodium_full_min,0.005816898167842222,12
Glascow coma scale motor response_last25%_min,0.005593461382525988,13
Prothrombin time_last10%_min,0.005555354370519113,14
Creatinine_full_max,0.004124191228714353,15
Lactate_full_min,0.0033928558057129744,16
Fraction inspired oxygen_last10%_max,0.0032910466573111553,17
Oxygen saturation_full_min,0.0031594421669907556,18
Glascow coma scale motor response_last10%_min,0.002990584208631511,19
Glascow coma scale eye opening_last10%_min,0.0029655060711385388,20
Lactate_last25%_min,0.002928113688033837,21
Fraction inspired oxygen_full_mean,0.002891397410919414,22
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0028700026548330506,23
Potassium_full_min,0.002859814176799357,24
Temperature_last25%_min,0.0027105229428604407,25
Glascow coma scale eye opening_last25%_min,0.002640160067797748,26
Hemoglobin_full_mean,0.002550110377725681,27
Heart Rate_full_mean,0.0025168071936946344,28
Oxygen saturation_last10%_min,0.0024731663456209235,29
Systolic blood pressure_full_mean,0.0024430290096122474,30
Hematocrit_last10%_min,0.0023401827898129695,31
Glascow coma scale motor response_last10%_max,0.0023383211131670677,32
Temperature_last10%_min,0.0023114882105747933,33
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.00226994400371181,34
Platelets_full_mean,0.0020851399298994384,35
Oxygen saturation_last25%_min,0.0020802252737894002,36
Systolic blood pressure_last10%_std,0.002047852008624854,37
White blood cell count_full_std,0.0020229865857548813,38
Hematocrit_full_min,0.0018045948583384924,39
Weight_full_min,0.0017919963880731371,40
Creatinine_full_mean,0.0017131544409813096,41
Diastolic blood pressure_last10%_mean,0.0017131104100490146,42
Glascow coma scale motor response_last25%_std,0.0016832377171443925,43
Diastolic blood pressure_full_min,0.0015905148059205745,44
Glascow coma scale motor response_full_std,0.0015833537639801866,45
Diastolic blood pressure_last25%_min,0.001522654666003664,46
Glascow coma scale motor response_full_max,0.0015024569976636911,47
Systolic blood pressure_last25%_mean,0.001475826662970333,48
Platelets_last25%_std,0.0013504603467806428,49
Fraction inspired oxygen_last25%_min,0.0013046815164919029,50
Hematocrit_full_std,0.0013030012822386296,51
Systolic blood pressure_last25%_std,0.0012738185416523002,52
Glascow coma scale verbal response_full_min,0.0012737654595539854,53
White blood cell count_full_max,0.0012319063948259955,54
Respiratory rate_last10%_mean,0.0012297386366464233,55
Systolic blood pressure_last25%_min,0.0012230618250083718,56
Glascow coma scale motor response_full_mean,0.001194383876931316,57
Sodium_full_std,0.0011509792915386252,58
Glucose_full_min,0.0011402037829048974,59
Lactate_last10%_min,0.0011298107483992657,60
Lactate_last25%_std,0.0010818094139742782,61
Heart Rate_last25%_mean,0.001007346609862998,62
Creatinine_full_std,0.0010067237826634607,63
Glascow coma scale eye opening_full_mean,0.0009927423166835882,64
Glascow coma scale eye opening_full_max,0.0009921587703313572,65
Glascow coma scale verbal response_last10%_std,0.0009861692047732594,66
Respiratory rate_last10%_min,0.0009828685819222105,67
Respiratory rate_last25%_min,0.000981375945824455,68
Hemoglobin_full_std,0.0008782892759656293,69
Glascow coma scale motor response_full_min,0.0008509228326468101,70
Glascow coma scale verbal response_full_mean,0.0008329014304911773,71
Temperature_full_min,0.0008186772093575441,72
Sodium_full_max,0.0008157110640572656,73
Glascow coma scale eye opening_full_min,0.0008075448479727639,74
Weight_full_mean,0.00074479633271617,75
Mean blood pressure_last10%_min,0.0007100557236384195,76
Potassium_last25%_min,0.0006887371065017804,77
Platelets_full_std,0.0006729451198400593,78
Heart Rate_last10%_mean,0.0006613772561621875,79
Potassium_full_std,0.0006126419000056407,80
Systolic blood pressure_last10%_max,0.0006125951866047,81
White blood cell count_last25%_std,0.0005656736384288811,82
Sodium_last10%_std,0.000552046200924489,83
Hematocrit_full_max,0.0004952362296572218,84
Glascow coma scale motor response_last10%_std,0.0004932164747434207,85
Creatinine_full_min,0.0004887976820508208,86
Fraction inspired oxygen_last10%_min,0.0004883596321644962,87
Heart Rate_full_min,0.00048301732446516575,88
Hematocrit_last25%_std,0.0004263485467278789,89
Fraction inspired oxygen_last25%_max,0.0004260355418260182,90
Prothrombin time_full_min,0.0004081071952939524,91
Heart Rate_last10%_std,0.00040783886229409794,92
Glascow coma scale verbal response_full_std,0.00038083048315283385,93
Glascow coma scale eye opening_last25%_std,0.00035935709441263015,94
Hemoglobin_full_min,0.00034847524736819743,95
Prothrombin time_full_mean,0.0002718782293347235,96
ICU_Trauma SICU (TSICU),0.0002556479842614584,97
Prothrombin time_full_max,0.00025372490519859727,98
Fraction inspired oxygen_full_max,0.00022233845937500249,99
Platelets_full_min,0.0001980739676999259,100
Sodium_last10%_min,0.00018622642514807525,101
Lactate_last25%_max,0.00018101706309486595,102
Glascow coma scale eye opening_last10%_std,0.00016755903835512784,103
Potassium_full_max,0.00016069803472689988,104
Glascow coma scale eye opening_last10%_max,0.00014584258960691432,105
Glascow coma scale eye opening_full_std,0.00014092489242096613,106
Bilirubin_full_std,0.0001358076467373611,107
ICU_Neuro Intermediate,0.00012394615183355806,108
Lactate_full_max,0.00010085534839914047,109
Weight_last10%_std,9.707743079763286e-05,110
Lactate_full_mean,8.740998136406625e-05,111
Prothrombin time_full_std,8.124780285885595e-05,112
Glascow coma scale eye opening_last25%_max,8.029774743499833e-05,113
Glascow coma scale verbal response_last25%_std,6.502192991491735e-05,114
Potassium_full_mean,5.801704869401899e-05,115
Heart Rate_last10%_max,5.5017721836092064e-05,116
Systolic blood pressure_full_min,5.358284607491075e-05,117
Sodium_last25%_std,3.953586430060353e-05,118
Weight_full_max,3.8192274314297686e-05,119
Diastolic blood pressure_full_max,0.0,120
Diastolic blood pressure_full_mean,0.0,121
Diastolic blood pressure_last10%_max,0.0,122
Diastolic blood pressure_last25%_mean,0.0,123
Fraction inspired oxygen_full_min,0.0,124
Diastolic blood pressure_last25%_max,0.0,125
Glucose_last25%_std,0.0,126
Glucose_last25%_mean,0.0,127
Glucose_last25%_max,0.0,128
Glucose_last10%_std,0.0,129
Glucose_last10%_max,0.0,130
Glucose_last10%_mean,0.0,131
Glucose_last10%_min,0.0,132
Glucose_full_mean,0.0,133
Glucose_full_max,0.0,134
Glascow coma scale verbal response_full_max,0.0,135
Respiratory rate_last10%_max,0.0,136
Respiratory rate_full_max,0.0,137
Oxygen saturation_last10%_max,0.0,138
Oxygen saturation_last25%_max,0.0,139
Respiratory rate_full_min,0.0,140
Potassium_last25%_max,0.0,141
Hematocrit_full_mean,0.0,142
Height_full_min,0.0,143
Heart Rate_last25%_std,0.0,144
Heart Rate_full_max,0.0,145
Heart Rate_last25%_min,0.0,146
Heart Rate_last10%_min,0.0,147
Platelets_full_max,0.0,148
Platelets_last10%_std,0.0,149
Mean blood pressure_last10%_max,0.0,150
Oxygen saturation_full_max,0.0,151
Mean blood pressure_last25%_min,0.0,152
Heart Rate_last25%_max,0.0,153
Hemoglobin_last25%_std,0.0,154
Hematocrit_last10%_std,0.0,155
Lactate_full_std,0.0,156
Mean blood pressure_full_min,0.0,157
Temperature_last10%_max,0.0,158
Temperature_last25%_max,0.0,159
Systolic blood pressure_last25%_max,0.0,160
Temperature_full_max,0.0,161
Systolic blood pressure_last10%_mean,0.0,162
Respiratory rate_last25%_max,0.0,163
Systolic blood pressure_full_max,0.0,164
Systolic blood pressure_last10%_min,0.0,165
Sodium_full_mean,0.0,166
pH_full_mean,0.0,167
pH_full_std,0.0,168
pH_last10%_min,0.0,169
pH_full_max,0.0,170
