Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.023957856466680853,1
White blood cell count_last10%_min,0.008643657035710448,2
Respiratory rate_last25%_mean,0.0070567887801393624,3
White blood cell count_full_min,0.0068390091318011525,4
Hemoglobin_full_max,0.006293234946051547,5
Platelets_last10%_min,0.0050576584163158165,6
Fraction inspired oxygen_last10%_max,0.003003587404723741,7
Glascow coma scale motor response_last25%_max,0.00282271211683905,8
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.002606423942288647,9
Diastolic blood pressure_last10%_min,0.0025670376056921417,10
White blood cell count_last25%_std,0.0025357816080816557,11
Sodium_full_min,0.0024804849795893214,12
Fraction inspired oxygen_full_mean,0.0023204395276530017,13
Hemoglobin_full_std,0.00228608723786137,14
Potassium_last10%_min,0.002252682022989945,15
Systolic blood pressure_full_mean,0.002062608183051538,16
Glascow coma scale motor response_last25%_min,0.002017240321517846,17
Sodium_full_max,0.001945102495701372,18
Oxygen saturation_last10%_min,0.0019305141570237939,19
Glascow coma scale verbal response_full_mean,0.0018719459225836664,20
Heart Rate_full_mean,0.0017749418618453528,21
Weight_full_min,0.001619110723136371,22
Hemoglobin_full_mean,0.0016090725126355662,23
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0015204762353574514,24
Oxygen saturation_last25%_min,0.001372554377575113,25
Glascow coma scale motor response_full_max,0.0013594634119399895,26
ICU_Neuro Intermediate,0.0013346087957967323,27
Weight_full_mean,0.0013308346877688227,28
Mean blood pressure_last10%_min,0.0012881771148106189,29
White blood cell count_full_max,0.001243220290433494,30
Bilirubin_full_std,0.0012107186056837136,31
Glascow coma scale motor response_full_min,0.0012074164456096236,32
Lactate_last10%_min,0.0011418133380178901,33
Bilirubin_full_min,0.0011246847310460908,34
Glascow coma scale eye opening_last10%_min,0.0010865076616569506,35
Glascow coma scale motor response_last10%_max,0.0010784201215993687,36
Potassium_full_min,0.001070520902803997,37
Oxygen saturation_full_min,0.0010064844839658507,38
Glascow coma scale motor response_full_std,0.0009341682337973978,39
Systolic blood pressure_full_min,0.0009338547732251314,40
Hematocrit_last10%_min,0.0008722515207076778,41
Hematocrit_full_min,0.0008003111531852477,42
Glascow coma scale verbal response_full_std,0.0007306490085586924,43
Diastolic blood pressure_last25%_min,0.0007236879438250042,44
Platelets_last25%_std,0.0007063640845334084,45
Lactate_full_mean,0.0006817085238507311,46
Glascow coma scale eye opening_last25%_min,0.000674576947806352,47
Glascow coma scale verbal response_full_min,0.0006624682988835154,48
Glascow coma scale motor response_last25%_std,0.0006337480153527631,49
Platelets_full_mean,0.0006269398276207758,50
Glascow coma scale motor response_last10%_min,0.0006157478939544921,51
