Feature,Mean_Abs_SHAP,Rank
Creatinine_last10%_min,0.013845231086302472,1
Glascow coma scale verbal response_last10%_min,0.012528611690555668,2
Glascow coma scale motor response_last10%_min,0.012231263664634546,3
Glascow coma scale motor response_last10%_max,0.011446587707786818,4
Glascow coma scale motor response_last25%_min,0.010784944571054876,5
Glascow coma scale motor response_last25%_max,0.010576404348648913,6
Creatinine_full_mean,0.010319277933094619,7
Creatinine_full_min,0.008806534901470245,8
Creatinine_full_max,0.0078076402550687155,9
Glascow coma scale motor response_full_max,0.005661432297698889,10
Glascow coma scale eye opening_last25%_max,0.005285630232719058,11
Glascow coma scale eye opening_last10%_min,0.005201823218851602,12
Glascow coma scale verbal response_full_mean,0.005029778285081008,13
Glascow coma scale eye opening_last10%_max,0.004655993812931952,14
Glascow coma scale motor response_full_mean,0.0043164227374811025,15
Prothrombin time_last10%_min,0.004308427716787351,16
Glascow coma scale verbal response_full_max,0.004187096212801308,17
Prothrombin time_full_min,0.0041479753276270764,18
Prothrombin time_full_mean,0.0036192408750051323,19
White blood cell count_last10%_min,0.0034036585352308587,20
Glascow coma scale eye opening_last25%_min,0.003083326250475188,21
Diastolic blood pressure_last25%_mean,0.002994371437625217,22
Glascow coma scale eye opening_full_max,0.0029800247878540753,23
Diastolic blood pressure_last10%_mean,0.0029730031909635016,24
Respiratory rate_last25%_mean,0.002932934325518799,25
Prothrombin time_full_max,0.0028534575730113634,26
White blood cell count_full_min,0.0028310553561724785,27
Systolic blood pressure_last25%_mean,0.0027408459380154583,28
Glascow coma scale eye opening_full_mean,0.0025350807393108095,29
Temperature_last25%_min,0.0025105742217061363,30
Systolic blood pressure_full_mean,0.002505011179297462,31
Systolic blood pressure_last25%_min,0.0024209913577596144,32
Oxygen saturation_last25%_min,0.002408471869589939,33
Systolic blood pressure_last10%_mean,0.0023390794888662894,34
Heart Rate_last25%_mean,0.002281133049387826,35
Respiratory rate_last10%_mean,0.0022413894684286976,36
Fraction inspired oxygen_last10%_max,0.002210860527649366,37
Fraction inspired oxygen_last10%_min,0.0021667293145428085,38
Diastolic blood pressure_last10%_max,0.002151094027573829,39
Fraction inspired oxygen_last25%_min,0.0021488202399550854,40
Oxygen saturation_full_min,0.0020909584604936657,41
Weight_full_max,0.002058761852363609,42
Temperature_last10%_min,0.0020220889948216556,43
Bilirubin_full_min,0.0020105410471195307,44
Fraction inspired oxygen_full_mean,0.0019899930834452262,45
Heart Rate_last10%_mean,0.0019605269799910273,46
Systolic blood pressure_last10%_min,0.0019575108654257007,47
Diastolic blood pressure_last10%_min,0.001926583248443167,48
Systolic blood pressure_full_min,0.001910414045001002,49
Fraction inspired oxygen_last25%_max,0.0019052368819089745,50
Respiratory rate_last10%_min,0.0018910051743207083,51
Lactate_last10%_min,0.0018432183315276972,52
