Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.43820858,1
Creatinine_last10%_min,0.25239605,2
Glascow coma scale motor response_last10%_max,0.21208864,3
Glascow coma scale motor response_last25%_min,0.14401673,4
White blood cell count_last10%_min,0.13682896,5
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.13600507,6
Glascow coma scale motor response_last25%_max,0.11769037,7
Prothrombin time_last10%_min,0.11287514,8
Respiratory rate_last25%_mean,0.10577218,9
Temperature_full_max,0.08982813,10
Weight_full_max,0.08672127,11
Glascow coma scale motor response_full_std,0.086279206,12
Diastolic blood pressure_last25%_mean,0.08616992,13
Temperature_last25%_min,0.08493669,14
Hemoglobin_full_max,0.07826942,15
Creatinine_full_min,0.072864436,16
Diastolic blood pressure_last10%_mean,0.072503656,17
Oxygen saturation_last10%_min,0.0711952,18
Temperature_full_min,0.06930475,19
Glucose_last25%_std,0.06892105,20
White blood cell count_full_min,0.067606,21
Potassium_last10%_min,0.06653315,22
Glascow coma scale eye opening_last10%_min,0.06628482,23
Prothrombin time_full_min,0.06518799,24
Heart Rate_last10%_mean,0.06459343,25
Oxygen saturation_last25%_min,0.06458977,26
Lactate_last10%_min,0.06397125,27
Weight_full_mean,0.06380909,28
Glascow coma scale motor response_last10%_min,0.062589034,29
Bilirubin_full_std,0.060778745,30
Heart Rate_last25%_mean,0.05837829,31
Systolic blood pressure_last10%_mean,0.055771496,32
Bilirubin_full_min,0.05456628,33
Glascow coma scale eye opening_last10%_max,0.051820703,34
Oxygen saturation_full_min,0.051765986,35
Fraction inspired oxygen_last10%_max,0.051245604,36
Sodium_full_max,0.049693637,37
Systolic blood pressure_full_mean,0.047586557,38
Systolic blood pressure_last25%_min,0.0454855,39
Glucose_last10%_min,0.045413375,40
Glascow coma scale verbal response_full_std,0.044222716,41
Creatinine_full_max,0.043833323,42
Fraction inspired oxygen_last25%_min,0.04356764,43
Systolic blood pressure_full_min,0.041902997,44
Lactate_last25%_min,0.040921304,45
Respiratory rate_full_max,0.040800422,46
Glascow coma scale eye opening_last25%_max,0.040787503,47
Platelets_full_max,0.04063858,48
Prothrombin time_full_max,0.03846482,49
Weight_full_min,0.038174555,50
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0371604,51
Fraction inspired oxygen_last10%_min,0.036878545,52
Hemoglobin_full_std,0.036395103,53
Oxygen saturation_last10%_max,0.036280166,54
Hematocrit_full_std,0.035942305,55
Hematocrit_last10%_min,0.035938118,56
