Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.45244116,1
Glascow coma scale motor response_last10%_max,0.17666624,2
Creatinine_last10%_min,0.17433527,3
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.16924869,4
Glascow coma scale motor response_last25%_min,0.12812722,5
White blood cell count_last10%_min,0.11644729,6
Respiratory rate_last25%_mean,0.10834923,7
Glascow coma scale motor response_last25%_max,0.09530583,8
Weight_full_max,0.08712562,9
Glascow coma scale motor response_full_std,0.08387099,10
Temperature_full_min,0.075809166,11
Temperature_full_max,0.07294094,12
Hemoglobin_full_max,0.07266197,13
Temperature_last25%_min,0.07188696,14
Glascow coma scale eye opening_last10%_min,0.06905807,15
Heart Rate_last10%_mean,0.068930164,16
Prothrombin time_last10%_min,0.06862306,17
Glascow coma scale eye opening_last10%_max,0.06667701,18
Bilirubin_full_std,0.06583156,19
Glucose_last25%_std,0.06344942,20
Oxygen saturation_last25%_min,0.063396305,21
Weight_full_mean,0.06223713,22
Diastolic blood pressure_last10%_mean,0.06113417,23
White blood cell count_full_min,0.060747236,24
Diastolic blood pressure_last25%_mean,0.059638437,25
Oxygen saturation_last10%_min,0.054950267,26
Glascow coma scale eye opening_last25%_max,0.054089464,27
Fraction inspired oxygen_last10%_max,0.053871244,28
ICU_Neuro Intermediate,0.05322477,29
Heart Rate_last25%_mean,0.0522505,30
Oxygen saturation_full_min,0.051814336,31
Glascow coma scale motor response_last10%_min,0.051249906,32
Fraction inspired oxygen_last25%_min,0.050140236,33
Glascow coma scale verbal response_full_std,0.04988518,34
Prothrombin time_full_min,0.048600852,35
Glucose_last10%_min,0.046992637,36
Platelets_full_max,0.044978403,37
Systolic blood pressure_full_mean,0.044895235,38
Sodium_full_max,0.04392173,39
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.043809112,40
Potassium_last10%_min,0.043224525,41
Lactate_last10%_min,0.043218523,42
Glascow coma scale eye opening_full_mean,0.04321817,43
Respiratory rate_full_max,0.040702153,44
Hemoglobin_full_std,0.040200207,45
Fraction inspired oxygen_last10%_min,0.038177308,46
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0366422,47
Glascow coma scale verbal response_full_mean,0.036251888,48
Hematocrit_full_std,0.036202922,49
Bilirubin_full_min,0.035658795,50
Systolic blood pressure_last25%_min,0.03541515,51
Systolic blood pressure_full_min,0.035287768,52
Creatinine_full_min,0.03526819,53
Weight_full_min,0.03458859,54
Platelets_full_mean,0.034303594,55
Glucose_full_min,0.033542126,56
Systolic blood pressure_last10%_mean,0.032696385,57
Oxygen saturation_last10%_max,0.03233462,58
Heart Rate_last25%_max,0.031762436,59
Heart Rate_full_mean,0.03148819,60
Diastolic blood pressure_last25%_max,0.031393144,61
Hematocrit_last10%_min,0.031001018,62
Respiratory rate_full_min,0.030881884,63
Platelets_last10%_min,0.030054007,64
Lactate_last25%_min,0.030039081,65
Heart Rate_full_max,0.028979976,66
Hemoglobin_full_mean,0.028760783,67
Glascow coma scale eye opening_last10%_std,0.027497862,68
Diastolic blood pressure_last10%_min,0.026381629,69
Heart Rate_full_min,0.025159666,70
pH_last10%_max,0.024735244,71
Respiratory rate_last10%_mean,0.024392681,72
Creatinine_full_std,0.024317842,73
Glascow coma scale motor response_full_max,0.024207175,74
Temperature_last10%_min,0.023636995,75
White blood cell count_full_std,0.023598745,76
Heart Rate_last25%_min,0.02335619,77
Glascow coma scale verbal response_full_max,0.023079054,78
Heart Rate_last10%_max,0.022809712,79
Fraction inspired oxygen_full_min,0.022548715,80
Diastolic blood pressure_full_min,0.022289969,81
pH_last10%_std,0.022201171,82
Heart Rate_last10%_min,0.022021383,83
Prothrombin time_full_max,0.021532755,84
Temperature_last25%_max,0.0212483,85
Lactate_last25%_max,0.02110313,86
pH_last10%_mean,0.020692023,87
Glascow coma scale motor response_full_mean,0.020121384,88
Temperature_last10%_max,0.019991374,89
pH_full_min,0.01984327,90
Fraction inspired oxygen_last25%_max,0.019725038,91
Creatinine_full_mean,0.019477386,92
Systolic blood pressure_last25%_mean,0.01928467,93
Heart Rate_last25%_std,0.019161917,94
Diastolic blood pressure_last10%_max,0.017688397,95
