Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Creatinine_last10%_min,0.17433527,3,0.25239605,2,0.078060776,0.078060776,-1
Prothrombin time_last10%_min,0.06862306,17,0.11287514,8,0.044252083,0.044252083,-9
Creatinine_full_min,0.03526819,53,0.072864436,16,0.037596244,0.037596244,-37
Creatinine_full_max,0.0075717773,145,0.043833323,42,0.036261544,0.036261544,-103
Glascow coma scale motor response_last10%_max,0.17666624,2,0.21208864,3,0.0354224,0.0354224,1
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.16924869,4,0.13600507,6,-0.03324361,0.03324361,2
ICU_Neuro Intermediate,0.05322477,29,0.024820624,76,-0.028404145,0.028404145,47
Diastolic blood pressure_last25%_mean,0.059638437,25,0.08616992,13,0.026531484,0.026531484,-12
Potassium_last10%_min,0.043224525,41,0.06653315,22,0.023308624,0.023308624,-19
Systolic blood pressure_last10%_mean,0.032696385,57,0.055771496,32,0.023075111,0.023075111,-25
Glascow coma scale motor response_last25%_max,0.09530583,8,0.11769037,7,0.02238454,0.02238454,-1
Lactate_last10%_min,0.043218523,42,0.06397125,27,0.020752728,0.020752728,-15
White blood cell count_last10%_min,0.11644729,6,0.13682896,5,0.020381667,0.020381667,-1
Bilirubin_full_min,0.035658795,50,0.05456628,33,0.018907484,0.018907484,-17
Prothrombin time_full_max,0.021532755,84,0.03846482,49,0.016932063,0.016932063,-35
Temperature_full_max,0.07294094,12,0.08982813,10,0.016887195,0.016887195,-2
Prothrombin time_full_min,0.048600852,35,0.06518799,24,0.016587138,0.016587138,-11
Oxygen saturation_last10%_min,0.054950267,26,0.0711952,18,0.016244933,0.016244933,-8
Systolic blood pressure_last25%_mean,0.01928467,93,0.035228115,58,0.015943445,0.015943445,-35
Glascow coma scale motor response_last25%_min,0.12812722,5,0.14401673,4,0.01588951,0.01588951,-1
Glascow coma scale eye opening_last10%_max,0.06667701,18,0.051820703,34,-0.014856309,0.014856309,16
Glascow coma scale verbal response_last10%_min,0.45244116,1,0.43820858,1,-0.014232576,0.014232576,0
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0366422,47,0.023310252,82,-0.01333195,0.01333195,35
