Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.43820858
Creatinine_last10%_min,0.25239605
Glascow coma scale motor response_last10%_max,0.21208864
Glascow coma scale motor response_last25%_min,0.14401673
White blood cell count_last10%_min,0.13682896
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.13600507
Glascow coma scale motor response_last25%_max,0.11769037
Prothrombin time_last10%_min,0.11287514
Respiratory rate_last25%_mean,0.10577218
Temperature_full_max,0.08982813
Weight_full_max,0.08672127
Glascow coma scale motor response_full_std,0.086279206
Diastolic blood pressure_last25%_mean,0.08616992
Temperature_last25%_min,0.08493669
Hemoglobin_full_max,0.07826942
Creatinine_full_min,0.072864436
Diastolic blood pressure_last10%_mean,0.072503656
Oxygen saturation_last10%_min,0.0711952
Temperature_full_min,0.06930475
Glucose_last25%_std,0.06892105
White blood cell count_full_min,0.067606
Potassium_last10%_min,0.06653315
Glascow coma scale eye opening_last10%_min,0.06628482
Prothrombin time_full_min,0.06518799
Heart Rate_last10%_mean,0.06459343
Oxygen saturation_last25%_min,0.06458977
Lactate_last10%_min,0.06397125
Weight_full_mean,0.06380909
Glascow coma scale motor response_last10%_min,0.062589034
Bilirubin_full_std,0.060778745
Heart Rate_last25%_mean,0.05837829
Systolic blood pressure_last10%_mean,0.055771496
Bilirubin_full_min,0.05456628
Glascow coma scale eye opening_last10%_max,0.051820703
Oxygen saturation_full_min,0.051765986
Fraction inspired oxygen_last10%_max,0.051245604
Sodium_full_max,0.049693637
Systolic blood pressure_full_mean,0.047586557
Systolic blood pressure_last25%_min,0.0454855
Glucose_last10%_min,0.045413375
Glascow coma scale verbal response_full_std,0.044222716
Creatinine_full_max,0.043833323
Fraction inspired oxygen_last25%_min,0.04356764
Systolic blood pressure_full_min,0.041902997
Lactate_last25%_min,0.040921304
Respiratory rate_full_max,0.040800422
Glascow coma scale eye opening_last25%_max,0.040787503
Platelets_full_max,0.04063858
Prothrombin time_full_max,0.03846482
Weight_full_min,0.038174555
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0371604
Fraction inspired oxygen_last10%_min,0.036878545
Hemoglobin_full_std,0.036395103
Oxygen saturation_last10%_max,0.036280166
Hematocrit_full_std,0.035942305
Hematocrit_last10%_min,0.035938118
Creatinine_full_std,0.03543985
Systolic blood pressure_last25%_mean,0.035228115
Diastolic blood pressure_last25%_max,0.034750152
Platelets_full_mean,0.034360234
Glascow coma scale eye opening_full_mean,0.034355678
Diastolic blood pressure_full_min,0.033734053
Heart Rate_full_mean,0.032135163
Platelets_last10%_min,0.03085106
Heart Rate_last25%_max,0.03067137
Glucose_full_min,0.03057465
Respiratory rate_full_min,0.02979527
Heart Rate_full_max,0.029337788
Diastolic blood pressure_last10%_min,0.029283296
Glascow coma scale verbal response_full_mean,0.028365446
Temperature_last10%_max,0.027356412
pH_last10%_mean,0.02712054
pH_last10%_max,0.027011612
Temperature_last10%_min,0.026479928
Lactate_last25%_max,0.026436316
ICU_Neuro Intermediate,0.024820624
Glascow coma scale eye opening_last10%_std,0.024778102
Temperature_last25%_max,0.024715174
Heart Rate_full_min,0.024563706
Glascow coma scale motor response_full_max,0.02440668
Hemoglobin_full_mean,0.024074446
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.023310252
Heart Rate_last10%_max,0.022630613
White blood cell count_full_std,0.02161816
pH_last10%_min,0.02119323
Heart Rate_last10%_min,0.021088568
Heart Rate_last25%_min,0.021044033
Potassium_last25%_max,0.021006892
Glucose_last10%_std,0.020865714
Creatinine_full_mean,0.020577438
Glascow coma scale verbal response_full_max,0.020398421
Fraction inspired oxygen_last25%_max,0.019697508
Diastolic blood pressure_last10%_max,0.019585054
Respiratory rate_last10%_mean,0.019455837
Glascow coma scale motor response_full_mean,0.019332685
pH_full_min,0.0190711
Sodium_last10%_std,0.018982295
Fraction inspired oxygen_full_min,0.017923426
Heart Rate_last25%_std,0.01778364
Sodium_full_mean,0.017344123
White blood cell count_last25%_std,0.01725276
Diastolic blood pressure_full_mean,0.017173745
Platelets_last25%_std,0.016986847
Mean blood pressure_last25%_min,0.016716184
Hematocrit_full_mean,0.01669981
Fraction inspired oxygen_full_mean,0.01622923
Mean blood pressure_last10%_max,0.016101286
Respiratory rate_last25%_min,0.015828185
Platelets_full_min,0.015779277
Potassium_last25%_min,0.015174457
Glucose_full_max,0.014742873
Sodium_last10%_min,0.014708552
Glascow coma scale eye opening_full_std,0.014704167
pH_full_max,0.013316213
Mean blood pressure_full_min,0.013176232
Sodium_full_std,0.013120398
Glascow coma scale eye opening_last25%_std,0.013066679
Fraction inspired oxygen_full_max,0.013045636
Mean blood pressure_last10%_min,0.012779241
Systolic blood pressure_last10%_min,0.01274065
pH_last10%_std,0.012545599
Prothrombin time_full_mean,0.012466849
Systolic blood pressure_last25%_std,0.01232605
Glascow coma scale eye opening_last25%_min,0.01221293
Glucose_last25%_mean,0.0120902825
Hematocrit_full_max,0.011933611
Systolic blood pressure_last10%_max,0.011848919
Hemoglobin_full_min,0.011713095
Potassium_full_min,0.011507084
Glascow coma scale eye opening_full_min,0.01150539
Hematocrit_full_min,0.011239026
Heart Rate_last10%_std,0.010900442
Respiratory rate_last25%_max,0.010730508
Glucose_last10%_mean,0.010566124
Glucose_full_mean,0.010171152
Systolic blood pressure_last25%_max,0.010128927
Respiratory rate_last10%_max,0.00968453
Potassium_full_std,0.00959806
Platelets_full_std,0.009509242
Lactate_last25%_std,0.009389201
pH_full_mean,0.008959367
Sodium_full_min,0.008721374
pH_full_std,0.008681144
ICU_Surgical Intensive Care Unit (SICU),0.008407007
Systolic blood pressure_full_max,0.008101151
Prothrombin time_full_std,0.007993571
Sodium_last25%_std,0.007820505
Glucose_last10%_max,0.0077949967
Lactate_full_std,0.007772653
Diastolic blood pressure_full_max,0.007738783
pH_last25%_min,0.0074471934
Diastolic blood pressure_last25%_min,0.00742311
Glascow coma scale verbal response_last10%_std,0.007072345
White blood cell count_full_max,0.006766489
Respiratory rate_last10%_min,0.006355543
Glucose_last25%_max,0.00602608
Glascow coma scale motor response_full_min,0.005701519
Potassium_full_mean,0.0056787417
Lactate_full_max,0.0049755755
Systolic blood pressure_last10%_std,0.004472429
ICU_Trauma SICU (TSICU),0.0043924553
Lactate_full_min,0.0038760179
Lactate_full_mean,0.0038626934
Glascow coma scale motor response_last25%_std,0.003101467
Potassium_full_max,0.0030655193
pH_last25%_std,0.002793309
ICU_Coronary Care Unit (CCU),0.0026480663
ICU_Medical Intensive Care Unit (MICU),0.002508975
Glascow coma scale verbal response_last25%_std,0.0024132158
Glascow coma scale eye opening_full_max,0.0023684178
Hematocrit_last25%_std,0.0019431029
Glascow coma scale verbal response_full_min,0.0016546631
Oxygen saturation_last25%_max,0.0016494953
Hemoglobin_last25%_std,0.0013957372
Hematocrit_last10%_std,0.00052865763
Glascow coma scale motor response_last10%_std,0.0
Height_full_min,0.0
Oxygen saturation_full_max,0.0
Platelets_last10%_std,0.0
Weight_last10%_std,0.0
White blood cell count_last10%_std,0.0
Weight_last25%_std,0.0
ICU_Intensive Care Unit (ICU),0.0
ICU_Medicine,0.0
ICU_Neuro Stepdown,0.0
ICU_PACU,0.0
ICU_Neurology,0.0
ICU_Surgery/Vascular/Intermediate,0.0
ICU_Surgery/Trauma,0.0
