Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
White blood cell count,0.0002365465316275552,19,0.0008574574830051004,2,0.0006209109513775452,0.0006209109513775452,-17
Glascow coma scale motor response->Obeys Commands,0.000515327821872692,4,0.0009168143873603605,1,0.00040148656548766857,0.00040148656548766857,-3
Creatinine,0.0006559304635898982,2,0.0008506072531564768,3,0.00019467678956657853,0.00019467678956657853,1
mask->pH,0.0005460298957327513,3,0.0007277589978129641,5,0.00018172910208021282,0.00018172910208021282,2
Temperature,0.000356689426457197,14,0.0005283377889265436,10,0.00017164836246934658,0.00017164836246934658,-4
Glascow coma scale verbal response->No Response-ETT,0.00044570712690963096,10,0.000615551707211861,7,0.00016984458030223004,0.00016984458030223004,-3
Potassium,0.000502141808514425,5,0.000644979767127901,6,0.00014283795861347597,0.00014283795861347597,1
mask->Bilirubin,0.00010731299343130394,31,0.00023039589151708506,25,0.00012308289808578112,0.00012308289808578112,-6
mask->Oxygen saturation,0.00033752208719279393,15,0.0004494364398691737,13,0.00011191435267637976,0.00011191435267637976,-2
Glascow coma scale verbal response->Confused,0.00020629908384193785,25,0.00031152161682275524,18,0.00010522253298081739,0.00010522253298081739,-7
Glascow coma scale verbal response->Oriented,0.0004924055563364573,6,0.0005968504283714182,8,0.00010444487203496093,0.00010444487203496093,2
Lactate,0.00046108923741707924,7,0.000553197194723687,9,9.210795730660776e-05,9.210795730660776e-05,2
Glascow coma scale motor response->No response,6.095044076419388e-05,39,0.00014002051693494765,32,7.907007617075377e-05,7.907007617075377e-05,-7
mask->Glucose,0.0002116709253380301,22,0.00028966415321625806,19,7.799322787822798e-05,7.799322787822798e-05,-3
mask->Fraction inspired oxygen,0.0003787439443217711,13,0.00045277385168173665,12,7.402990735996557e-05,7.402990735996557e-05,-1
Glascow coma scale eye opening->Spontaneously,0.00019453620689006913,26,0.0002567694135376186,22,6.223320664754947e-05,6.223320664754947e-05,-4
Glascow coma scale eye opening->To Pain,0.00012289073606395473,29,0.00018131460836781697,30,5.8423872303862246e-05,5.8423872303862246e-05,1
mask->Temperature,0.00012258398840138055,30,0.00017381140308705292,31,5.122741468567237e-05,5.122741468567237e-05,1
Height,3.776375430892308e-05,45,8.446666970813164e-05,38,4.6702915399208563e-05,4.6702915399208563e-05,-7
mask->Glascow coma scale eye opening,0.0001413103410639195,28,0.00018752458590664322,29,4.621424484272372e-05,4.621424484272372e-05,1
Glascow coma scale eye opening->To Speech,0.00020779579784690908,23,0.0002534974193277578,23,4.5701621480848705e-05,4.5701621480848705e-05,0
mask->Hematocrit,0.00016184883989910719,27,0.00020589815169898894,28,4.4049311799881756e-05,4.4049311799881756e-05,1
Glascow coma scale eye opening->4 Spontaneously,6.61294293061642e-05,37,0.00010889131803837368,34,4.276188873220948e-05,4.276188873220948e-05,-3
Glascow coma scale verbal response->Incomprehensible sounds,5.977430812591165e-05,40,0.00010177763705824819,35,4.2003328932336546e-05,4.2003328932336546e-05,-5
Systolic blood pressure,0.00038094334381716464,12,0.0004174154260419192,16,3.647208222475458e-05,3.647208222475458e-05,4
Glascow coma scale motor response->Flex-withdraws,4.412804941818544e-05,43,7.588236224355003e-05,41,3.175431282536459e-05,3.175431282536459e-05,-2
Glascow coma scale motor response->Localizes Pain,4.741067170725372e-05,42,7.895775180677352e-05,39,3.15470800995198e-05,3.15470800995198e-05,-3
Hemoglobin,0.00024641339802737567,18,0.000277750911637058,20,3.133751360968233e-05,3.133751360968233e-05,2
mask->Prothrombin time,7.818181741847708e-05,33,0.00010920569348173953,33,3.102387606326245e-05,3.102387606326245e-05,0
Weight,0.0004565837797593055,8,0.0004262420947352739,15,-3.0341685024031612e-05,3.0341685024031612e-05,7
Sodium,0.00022546493630130616,20,0.0002530141498927178,24,2.7549213591411624e-05,2.7549213591411624e-05,4
Glascow coma scale verbal response->No Response,3.7324501971392055e-05,46,6.265536207856556e-05,45,2.533086010717351e-05,2.533086010717351e-05,-1
mask->Weight,4.9056344244632006e-05,41,7.378054127896306e-05,42,2.4724197034331053e-05,2.4724197034331053e-05,1
Prothrombin time,0.0004460791115008635,9,0.0004700927100890467,11,2.4013598588183227e-05,2.4013598588183227e-05,2
mask->White blood cell count,3.0695055258786116e-05,49,5.231947254652187e-05,46,2.1624417287735753e-05,2.1624417287735753e-05,-3
mask->Potassium,3.2572748014008236e-05,47,4.604980933422367e-05,48,1.3477061320215432e-05,1.3477061320215432e-05,1
mask->Creatinine,7.465239680026448e-05,34,8.739276708734383e-05,37,1.274037028707935e-05,1.274037028707935e-05,3
Diastolic blood pressure,0.0004301862146704237,11,0.0004400926590952124,14,9.906444424788701e-06,9.906444424788701e-06,3
Glascow coma scale verbal response->5 Oriented,2.5941379263787247e-05,53,3.512706299989649e-05,51,9.185683736109242e-06,9.185683736109242e-06,-2
Glascow coma scale motor response->Abnormal extension,3.0273685197414354e-05,51,3.840541148857013e-05,50,8.131726291155775e-06,8.131726291155775e-06,-1
