Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
White blood cell count,0.00017913815141991696,27,0.0009035495940876591,1,0.0007244114426677421,0.0007244114426677421,-26
Glascow coma scale motor response->Obeys Commands,0.000304683475371361,14,0.00048280650007600004,9,0.00017812302470463903,0.00017812302470463903,-5
Lactate,0.00035016716986986977,9,0.0005175209219040089,7,0.00016735375203413914,0.00016735375203413914,-2
Glascow coma scale verbal response->Oriented,0.00043745748842587205,4,0.0005961497868648754,4,0.00015869229843900332,0.00015869229843900332,0
Temperature,0.00043268818239441845,5,0.0005831617711648351,5,0.00015047358877041668,0.00015047358877041668,0
Glascow coma scale motor response->No response,0.0002677692285099366,15,0.00039789422932189094,11,0.00013012500081195432,0.00013012500081195432,-4
Fraction inspired oxygen,0.000438819568115598,3,0.00056316024958828,6,0.00012434068147268201,0.00012434068147268201,3
Creatinine,0.0005711858948959556,2,0.0006897047622235957,2,0.00011851886732764012,0.00011851886732764012,0
Potassium,0.00036621290515498263,7,0.000477245433144986,10,0.00011103252799000339,0.00011103252799000339,3
mask->Glascow coma scale eye opening,0.00023357070080653366,18,0.0003364393445643325,18,0.00010286864375779882,0.00010286864375779882,0
mask->Temperature,0.0001833192929173825,26,0.0002838795978705864,20,0.00010056030495320388,0.00010056030495320388,-6
Platelets,0.00021649035319881393,21,0.00030516737934079105,19,8.867702614197712e-05,8.867702614197712e-05,-2
mask->Glucose,0.000265525662495835,16,0.00035141318091054546,16,8.588751841471045e-05,8.588751841471045e-05,0
Glascow coma scale eye opening->4 Spontaneously,9.781760163499538e-05,42,0.00018306805040499752,29,8.525044877000214e-05,8.525044877000214e-05,-13
Glascow coma scale verbal response->No Response-ETT,0.0004092165206217624,6,0.0004829627344280466,8,7.374621380628422e-05,7.374621380628422e-05,2
Glascow coma scale eye opening->Spontaneously,0.00019924132380429264,22,0.000264976318809238,21,6.573499500494537e-05,6.573499500494537e-05,-1
mask->Glascow coma scale verbal response,0.0001166929915440279,36,0.00017475541917008166,31,5.806242762605376e-05,5.806242762605376e-05,-5
Glascow coma scale eye opening->To Pain,0.00019453110739402386,23,0.0002515074568542909,23,5.697634946026702e-05,5.697634946026702e-05,0
mask->Prothrombin time,0.0001399369823387944,32,0.00019529284114161988,27,5.535585880282547e-05,5.535585880282547e-05,-5
mask->Glascow coma scale motor response,0.00011945997229658334,35,0.0001716116690265233,32,5.2151696729939946e-05,5.2151696729939946e-05,-3
mask->Sodium,9.525821837154143e-05,45,0.0001434529357263468,38,4.8194717354805365e-05,4.8194717354805365e-05,-7
Sodium,0.0001909401683155613,24,0.0002380546211387761,26,4.711445282321481e-05,4.711445282321481e-05,2
Hematocrit,0.00010950983246565943,38,0.00014990219658698306,36,4.039236412132363e-05,4.039236412132363e-05,-2
Weight,0.00033734684418562644,12,0.0003774550249163866,13,4.010818073076018e-05,4.010818073076018e-05,1
Diastolic blood pressure,0.0003329610244397907,13,0.0003671235829142948,15,3.4162558474504126e-05,3.4162558474504126e-05,2
mask->Weight,8.199985221967313e-05,52,0.00011565606910237984,43,3.365621688270672e-05,3.365621688270672e-05,-9
Heart Rate,0.00035945108108737396,8,0.00039049919746892017,12,3.104811638154621e-05,3.104811638154621e-05,4
Hemoglobin,0.0002196968500593869,20,0.0002498424588769447,24,3.0145608817557786e-05,3.0145608817557786e-05,4
Glascow coma scale motor response->Abnormal extension,8.528466628192409e-05,51,0.00011431211498573513,45,2.9027448703811037e-05,2.9027448703811037e-05,-6
mask->pH,0.00023122015917913187,19,0.00025809802527263057,22,2.6877866093498698e-05,2.6877866093498698e-05,3
mask->Bilirubin,0.00011101523698662278,37,0.00013745903062881436,39,2.6443793642191575e-05,2.6443793642191575e-05,2
Glascow coma scale motor response->Flex-withdraws,0.00012131478195704241,34,0.00014668648608852348,37,2.5371704131481066e-05,2.5371704131481066e-05,3
mask->Hematocrit,0.0003471044172543386,10,0.00037199869096767794,14,2.4894273713339343e-05,2.4894273713339343e-05,4
mask->Fraction inspired oxygen,0.0005824423497535069,1,0.0006069237612456894,3,2.4481411492182476e-05,2.4481411492182476e-05,2
Glascow coma scale eye opening->To Speech,0.00015828429508379336,30,0.00017919120561287944,30,2.090691052908608e-05,2.090691052908608e-05,0
Height,0.00018976726952129892,25,0.0001692696695631546,34,-2.0497599958144326e-05,2.0497599958144326e-05,9
mask->Hemoglobin,0.00010004563869630074,41,0.00011994143422683951,42,1.9895795530538768e-05,1.9895795530538768e-05,1
mask->Platelets,9.673600193036936e-05,43,0.00011476631748154383,44,1.8030315551174466e-05,1.8030315551174466e-05,1
mask->White blood cell count,0.00010770781694613679,39,0.00012480834330955444,41,1.710052636341765e-05,1.710052636341765e-05,2
Glascow coma scale verbal response->No Response,9.560740785433538e-05,44,0.00011167709464203136,46,1.606968678769598e-05,1.606968678769598e-05,2
mask->Potassium,8.879514008659934e-05,49,0.00010453942994643898,50,1.574428985983964e-05,1.574428985983964e-05,1
Glascow coma scale motor response->Abnormal Flexion,1.3491623099137022e-05,63,2.8802326549874912e-05,62,1.531070345073789e-05,1.531070345073789e-05,-1
Glascow coma scale motor response->6 Obeys Commands,1.6022198765080533e-05,62,3.09059825409635e-05,61,1.488378377588297e-05,1.488378377588297e-05,-1
mask->Creatinine,9.449530885883591e-05,46,0.00010894792565949931,47,1.4452616800663404e-05,1.4452616800663404e-05,1
Glascow coma scale verbal response->Incomprehensible sounds,9.217496981255069e-05,47,0.00010595649039108812,48,1.3781520578537426e-05,1.3781520578537426e-05,1
Respiratory rate,4.39907672785158e-05,58,5.76588582075927e-05,57,1.3668090929076902e-05,1.3668090929076902e-05,-1
Prothrombin time,0.0001717879296801177,28,0.00018392600861356605,28,1.2138078933448344e-05,1.2138078933448344e-05,0
Glascow coma scale verbal response->5 Oriented,2.0285187731707705e-05,61,3.225949530082629e-05,59,1.1974307569118585e-05,1.1974307569118585e-05,-2
Glucose,2.086322258125488e-05,60,3.2175200861857755e-05,60,1.1311978280602875e-05,1.1311978280602875e-05,0
mask->Oxygen saturation,7.142430180521945e-05,54,8.232126745616575e-05,54,1.0896965650946302e-05,1.0896965650946302e-05,0
mask->Lactate,0.00016119987547522424,29,0.0001711078593425397,33,9.907983867315443e-06,9.907983867315443e-06,4
Glascow coma scale verbal response->Confused,0.00014868557111014178,31,0.0001584145884021156,35,9.72901729197383e-06,9.72901729197383e-06,4
mask->Respiratory rate,4.931797254982868e-05,56,5.843945161772999e-05,56,9.121479067901312e-06,9.121479067901312e-06,0
mask->Heart Rate,4.526071702521429e-05,57,5.430208652920071e-05,58,9.04136950398642e-06,9.04136950398642e-06,1
mask->Mean blood pressure,8.84570772249689e-05,50,9.640132995618286e-05,51,7.944252731213958e-06,7.944252731213958e-06,1
Bilirubin,0.0002342103234829232,17,0.00023862822704403495,25,4.41790356111175e-06,4.41790356111175e-06,8
Oxygen saturation,7.86184830282136e-05,53,8.256521795544962e-05,53,3.946734927236017e-06,3.946734927236017e-06,0
mask->Systolic blood pressure,6.705791500600657e-05,55,6.975406540873292e-05,55,2.6961504027263545e-06,2.6961504027263545e-06,0
mask->Diastolic blood pressure,8.930450181940115e-05,48,9.18136735641428e-05,52,2.5091717447416507e-06,2.5091717447416507e-06,4
Systolic blood pressure,0.00034224340426559344,11,0.00034415911766398985,17,1.915713398396412e-06,1.915713398396412e-06,6
Glascow coma scale motor response->Localizes Pain,0.00012773728977485133,33,0.00012888427009998297,40,1.1469803251316381e-06,1.1469803251316381e-06,7
Mean blood pressure,0.00010519041963454804,40,0.00010464361722726652,49,-5.468024072815202e-07,5.468024072815202e-07,9
Glascow coma scale verbal response->Inappropriate Words,2.315982985188499e-05,59,2.296351747574606e-05,63,-1.963123761389288e-07,1.963123761389288e-07,4
mask->Height,5.5212921448936454e-06,64,5.49701326538828e-06,64,-2.4278879505365333e-08,2.4278879505365333e-08,0
pH,1.2042699875724685e-08,65,1.593841671362657e-08,65,3.8957168379018835e-09,3.8957168379018835e-09,0
Glascow coma scale total->14,0.0,66,0.0,66,0.0,0.0,0
Glascow coma scale total->12,0.0,67,0.0,67,0.0,0.0,0
Glascow coma scale total->13,0.0,68,0.0,68,0.0,0.0,0
Glascow coma scale total->10,0.0,69,0.0,69,0.0,0.0,0
Glascow coma scale total->11,0.0,70,0.0,70,0.0,0.0,0
Glascow coma scale motor response->2 Abnorm extensn,0.0,71,0.0,71,0.0,0.0,0
Glascow coma scale motor response->5 Localizes Pain,0.0,72,0.0,72,0.0,0.0,0
Glascow coma scale motor response->4 Flex-withdraws,0.0,73,0.0,73,0.0,0.0,0
Capillary refill rate->1.0,0.0,74,0.0,74,0.0,0.0,0
Capillary refill rate->0.0,0.0,75,0.0,75,0.0,0.0,0
Glascow coma scale eye opening->1 No Response,0.0,76,0.0,76,0.0,0.0,0
Glascow coma scale eye opening->None,0.0,77,0.0,77,0.0,0.0,0
Glascow coma scale eye opening->2 To pain,0.0,78,0.0,78,0.0,0.0,0
Glascow coma scale motor response->1 No Response,0.0,79,0.0,79,0.0,0.0,0
Glascow coma scale motor response->3 Abnorm flexion,0.0,80,0.0,80,0.0,0.0,0
Glascow coma scale eye opening->3 To speech,0.0,81,0.0,81,0.0,0.0,0
Glascow coma scale total->15,0.0,82,0.0,82,0.0,0.0,0
Glascow coma scale verbal response->2 Incomp sounds,0.0,83,0.0,83,0.0,0.0,0
Glascow coma scale total->6,0.0,84,0.0,84,0.0,0.0,0
Glascow coma scale verbal response->4 Confused,0.0,85,0.0,85,0.0,0.0,0
Glascow coma scale verbal response->3 Inapprop words,0.0,86,0.0,86,0.0,0.0,0
Glascow coma scale total->5,0.0,87,0.0,87,0.0,0.0,0
Glascow coma scale total->3,0.0,88,0.0,88,0.0,0.0,0
Glascow coma scale verbal response->1 No Response,0.0,89,0.0,89,0.0,0.0,0
Glascow coma scale total->8,0.0,90,0.0,90,0.0,0.0,0
Glascow coma scale total->9,0.0,91,0.0,91,0.0,0.0,0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,92,0.0,92,0.0,0.0,0
Glascow coma scale total->7,0.0,93,0.0,93,0.0,0.0,0
Glascow coma scale total->4,0.0,94,0.0,94,0.0,0.0,0
mask->Glascow coma scale total,0.0,95,0.0,95,0.0,0.0,0
mask->Capillary refill rate,0.0,96,0.0,96,0.0,0.0,0
