Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
White blood cell count_last10%_min,0.05959371447866861,26,0.13430324439657654,7,0.07470952991790793,0.07470952991790793,-19
Systolic blood pressure_full_max,1.5244156211448077,1,1.4573318028501219,1,-0.06708381829468579,0.06708381829468579,0
White blood cell count_full_min,0.023970677373026397,61,0.08518196050293901,15,0.061211283129912614,0.061211283129912614,-46
Glascow coma scale motor response_last10%_min,0.16740795227104133,4,0.20479511553445265,4,0.03738716326341132,0.03738716326341132,0
Glascow coma scale verbal response_last10%_min,0.38384186341027543,3,0.4192744235590256,3,0.03543256014875018,0.03543256014875018,0
White blood cell count_full_std,0.03771572932358078,44,0.06749348990639045,26,0.029777760582809676,0.029777760582809676,-18
Glascow coma scale motor response_full_max,0.038917284965155265,42,0.0606780140890768,29,0.021760729123921532,0.021760729123921532,-13
White blood cell count_full_max,0.009600584627618062,89,0.03097024504526013,54,0.021369660417642065,0.021369660417642065,-35
Lactate_last10%_min,0.08141004782726947,13,0.09909324548563178,10,0.017683197658362307,0.017683197658362307,-3
Glascow coma scale eye opening_last10%_max,0.06505207275617028,22,0.08093982743728433,18,0.015887754681114044,0.015887754681114044,-4
Platelets_full_min,0.05292581269495687,29,0.06717322685899675,27,0.014247414164039879,0.014247414164039879,-2
Glascow coma scale eye opening_last10%_min,0.08478880400578295,10,0.09832362379188518,11,0.013534819786102228,0.013534819786102228,1
Systolic blood pressure_last10%_std,0.03911192322088228,40,0.026020650558284536,59,-0.013091272662597742,0.013091272662597742,19
Glascow coma scale verbal response_full_max,0.06252633837122827,24,0.0751805066356614,21,0.012654168264433135,0.012654168264433135,-3
Glascow coma scale motor response_full_std,0.125422172247642,6,0.13690113919919908,6,0.01147896695155709,0.01147896695155709,0
Glascow coma scale verbal response_full_mean,0.13080382575167665,5,0.14215538088109098,5,0.011351555129414326,0.011351555129414326,0
Oxygen saturation_full_min,0.03905336203733846,41,0.04961216321023498,36,0.010558801172896523,0.010558801172896523,-5
Systolic blood pressure_last10%_max,0.03412466178203344,51,0.025104794604978223,61,-0.009019867177055215,0.009019867177055215,10
Glascow coma scale motor response_full_mean,0.037969761661721634,43,0.046507636000624686,39,0.008537874338903052,0.008537874338903052,-4
Fraction inspired oxygen_last10%_min,0.06526581492591989,21,0.07350220091120535,24,0.008236385985285463,0.008236385985285463,3
