Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.03449901183700466,1
White blood cell count_full_min,0.015978053220080234,2
White blood cell count_last10%_min,0.015638296240291723,3
Creatinine_last10%_min,0.01141497602913436,4
Glascow coma scale motor response_last25%_max,0.010265037860035877,5
Respiratory rate_last25%_mean,0.009739063956169225,6
Platelets_last10%_min,0.009169025723710334,7
Hemoglobin_full_max,0.008158577632309916,8
Diastolic blood pressure_last10%_min,0.008068337098608857,9
Potassium_last10%_min,0.007459905220100548,10
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.006138402056952104,11
Systolic blood pressure_full_mean,0.0061005636574475285,12
Glascow coma scale motor response_last25%_min,0.0051084282750911295,13
Fraction inspired oxygen_last10%_max,0.0045232412810724,14
Glascow coma scale motor response_last10%_max,0.004104726240965912,15
Glascow coma scale motor response_full_max,0.003642748038387475,16
Heart Rate_full_mean,0.003465681247878599,17
Sodium_full_min,0.0033765795069964476,18
Oxygen saturation_last10%_min,0.003359026931266829,19
Prothrombin time_last10%_min,0.0032627363913017076,20
Sodium_full_std,0.0028020259420653733,21
Hematocrit_last10%_min,0.0027149684666474784,22
Fraction inspired oxygen_full_mean,0.0026138041002827777,23
White blood cell count_full_max,0.002459985875142418,24
Temperature_last25%_min,0.002186939659249008,25
Hematocrit_full_min,0.001929338686556391,26
Hemoglobin_full_mean,0.0018984484736995144,27
Oxygen saturation_last25%_min,0.0018824215139881452,28
Lactate_full_mean,0.0018536032113398786,29
Oxygen saturation_full_min,0.0017829835958731214,30
Systolic blood pressure_last25%_min,0.0017754361669661677,31
Diastolic blood pressure_last25%_min,0.001705762279315231,32
Potassium_full_min,0.0016977551212455622,33
Temperature_last10%_min,0.0016814648463092813,34
Weight_full_min,0.001653987836612929,35
Platelets_full_mean,0.0016277387541946758,36
Hemoglobin_full_std,0.00159189169127031,37
White blood cell count_full_std,0.001583753453513215,38
Systolic blood pressure_full_min,0.0015297713335671087,39
Lactate_last25%_min,0.0015190694246194761,40
Diastolic blood pressure_last10%_mean,0.0015034742833775483,41
Glascow coma scale motor response_last10%_min,0.0013911599425582477,42
Glascow coma scale verbal response_full_std,0.0013746978510911906,43
Lactate_full_min,0.001361260784564543,44
Glascow coma scale eye opening_last25%_min,0.0013152209208493054,45
Mean blood pressure_last10%_min,0.0012361258098199674,46
Respiratory rate_last25%_min,0.0012166491380589022,47
Sodium_full_max,0.0012105980960778206,48
Glascow coma scale eye opening_last10%_min,0.0011434944143278924,49
Systolic blood pressure_last10%_std,0.001117125477443711,50
ICU_Neuro Intermediate,0.0011052084065497907,51
Systolic blood pressure_last25%_std,0.0010886663934700103,52
Creatinine_full_max,0.0010601355572384037,53
Glascow coma scale eye opening_full_max,0.0009900609367118462,54
Prothrombin time_full_mean,0.0009728843322469783,55
Lactate_last10%_min,0.0009685098169064653,56
Glascow coma scale verbal response_last10%_std,0.0009563331342142595,57
Glascow coma scale motor response_full_min,0.0009118055434105042,58
Weight_full_mean,0.0008802364975735924,59
