Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.02851687346015444,1
Creatinine_last10%_min,0.011017819258924855,2
Respiratory rate_last25%_mean,0.008415849799487913,3
Hemoglobin_full_max,0.007390526862120855,4
Diastolic blood pressure_last10%_min,0.007128524492944872,5
White blood cell count_last10%_min,0.0070215416537657204,6
Systolic blood pressure_full_mean,0.006751160685234118,7
Glascow coma scale motor response_last25%_max,0.00617687559674224,8
Potassium_last10%_min,0.006118024345019222,9
Platelets_last10%_min,0.005726729826149996,10
Fraction inspired oxygen_last10%_max,0.00569319790212915,11
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.003627981022047073,12
Fraction inspired oxygen_full_mean,0.0032152313252940623,13
Sodium_full_min,0.003075575949647636,14
Heart Rate_full_mean,0.0025479936964946403,15
Hematocrit_last10%_std,0.002541199413178347,16
Bilirubin_full_min,0.0022143157023780204,17
Oxygen saturation_last10%_min,0.0020198365121757962,18
Potassium_full_min,0.001965709074920342,19
ICU_Neuro Intermediate,0.001864945748129882,20
Hemoglobin_full_std,0.001790997159527821,21
Prothrombin time_last10%_min,0.0017851766467095174,22
Glascow coma scale motor response_last25%_min,0.0017270347465834562,23
Temperature_last25%_min,0.0017140568188571382,24
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0016795899329689317,25
Hemoglobin_last25%_std,0.0016084460701607144,26
Creatinine_full_max,0.0016040979536203642,27
Hemoglobin_full_mean,0.0015910724399604479,28
Glascow coma scale eye opening_last10%_min,0.0014923052476703055,29
Glascow coma scale motor response_full_max,0.0014307506134092574,30
Diastolic blood pressure_last25%_min,0.0014063851659528895,31
Heart Rate_last10%_std,0.0013931133991341243,32
Sodium_full_std,0.0013513600606979558,33
Platelets_full_mean,0.0013336464905731136,34
Heart Rate_last25%_mean,0.0012352499266575266,35
Temperature_last10%_min,0.0011977541222959968,36
Glascow coma scale verbal response_full_mean,0.0011547969427842574,37
Glucose_full_min,0.0011274485149826254,38
Diastolic blood pressure_last10%_mean,0.0011266804451653888,39
Weight_full_min,0.0011172558963379149,40
Hematocrit_last10%_min,0.001100874789908682,41
Bilirubin_full_std,0.001096385564104923,42
Mean blood pressure_last10%_min,0.0010817800054783691,43
Glascow coma scale motor response_full_std,0.0010539011725107976,44
Glascow coma scale motor response_full_min,0.0010356272835549643,45
Lactate_last10%_min,0.0010002453534944888,46
Glascow coma scale verbal response_full_std,0.0008498191675206543,47
Hematocrit_full_std,0.0008317557778600542,48
Weight_full_mean,0.000823568073845582,49
Sodium_last10%_std,0.0008198003851373889,50
Temperature_full_min,0.0008120562642764683,51
Glascow coma scale eye opening_last25%_min,0.0008064866770458145,52
Creatinine_full_mean,0.0007909924106330468,53
Hemoglobin_full_min,0.0007482820072284921,54
Glascow coma scale eye opening_full_std,0.0007419821424724822,55
Systolic blood pressure_last25%_mean,0.0007187213223852192,56
Lactate_full_min,0.0006956003910539328,57
Glascow coma scale eye opening_full_max,0.0006937114544453882,58
Glascow coma scale eye opening_full_mean,0.0006936709678663728,59
Lactate_last25%_min,0.00066709621599705,60
White blood cell count_last10%_std,0.0006407668713126858,61
Oxygen saturation_full_min,0.0006371313769008917,62
White blood cell count_full_min,0.0006051831100611836,63
Platelets_last25%_std,0.0006015280572985882,64
Diastolic blood pressure_full_min,0.000575943713737611,65
Oxygen saturation_last25%_min,0.0005710075215480558,66
Lactate_full_mean,0.000512458238223936,67
White blood cell count_last25%_std,0.0005008392589952688,68
Fraction inspired oxygen_last25%_min,0.00043884371731492443,69
Respiratory rate_last10%_mean,0.0004297484815944733,70
Sodium_full_max,0.00041899960020004014,71
Prothrombin time_full_mean,0.00041645497658847314,72
Systolic blood pressure_last25%_min,0.0004099005848753451,73
Fraction inspired oxygen_last10%_min,0.00040063906990484076,74
Heart Rate_last10%_mean,0.00039827958237824765,75
Fraction inspired oxygen_last25%_max,0.0003978741297091222,76
Hematocrit_full_min,0.0003952251809836119,77
Sodium_full_mean,0.00036480205828865283,78
Glascow coma scale motor response_last10%_max,0.00035724062275666664,79
Fraction inspired oxygen_full_max,0.00035610479230681634,80
Sodium_last10%_min,0.0002919310679787227,81
Creatinine_full_min,0.00025998549433802853,82
Glascow coma scale motor response_last10%_min,0.0002573796392168797,83
Potassium_full_max,0.00025708687190207914,84
White blood cell count_full_std,0.00024859788721216634,85
Systolic blood pressure_last25%_std,0.00023354989938415463,86
Glascow coma scale verbal response_last10%_std,0.00023335813000243224,87
Systolic blood pressure_full_max,0.0002012966309662211,88
Hematocrit_full_mean,0.0002012464593560272,89
Glascow coma scale eye opening_last10%_std,0.00018120597194124004,90
Glascow coma scale eye opening_last25%_std,0.00017959020839187231,91
Glascow coma scale motor response_full_mean,0.00017462369839687963,92
Fraction inspired oxygen_full_min,0.0001687767389122778,93
Systolic blood pressure_full_min,0.00015819041801231492,94
Glascow coma scale motor response_last25%_std,0.00015639138267098333,95
Respiratory rate_last25%_min,0.0001556749047144766,96
Glascow coma scale verbal response_last25%_std,0.0001405085673769905,97
Lactate_full_max,0.00013210242843588943,98
Potassium_full_std,0.00012557957018014383,99
Glascow coma scale verbal response_full_min,0.00012538609523938063,100
Heart Rate_full_min,0.00010476372387799596,101
Creatinine_full_std,0.00010199918542112688,102
Glascow coma scale verbal response_full_max,0.0001010085757345237,103
ICU_Trauma SICU (TSICU),9.351700299040939e-05,104
