Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
White blood cell count_full_min,0.0006051831100611836,63,0.015978053220080234,2,0.015372870110019051,0.015372870110019051,-61
White blood cell count_last10%_min,0.0070215416537657204,6,0.015638296240291723,3,0.008616754586526002,0.008616754586526002,-3
Glascow coma scale verbal response_last10%_min,0.02851687346015444,1,0.03449901183700466,1,0.005982138376850223,0.005982138376850223,0
Glascow coma scale motor response_last25%_max,0.00617687559674224,8,0.010265037860035877,5,0.004088162263293637,0.004088162263293637,-3
Glascow coma scale motor response_last10%_max,0.00035724062275666664,79,0.004104726240965912,15,0.003747485618209245,0.003747485618209245,-64
Platelets_last10%_min,0.005726729826149996,10,0.009169025723710334,7,0.0034422958975603374,0.0034422958975603374,-3
Glascow coma scale motor response_last25%_min,0.0017270347465834562,23,0.0051084282750911295,13,0.0033813935285076733,0.0033813935285076733,-10
Hematocrit_last10%_std,0.002541199413178347,16,0.0,155,-0.002541199413178347,0.002541199413178347,139
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.003627981022047073,12,0.006138402056952104,11,0.0025104210349050308,0.0025104210349050308,-1
White blood cell count_full_max,0.0,172,0.002459985875142418,24,0.002459985875142418,0.002459985875142418,-148
Glascow coma scale motor response_full_max,0.0014307506134092574,30,0.003642748038387475,16,0.002211997424978218,0.002211997424978218,-14
Hematocrit_last10%_min,0.001100874789908682,41,0.0027149684666474784,22,0.0016140936767387963,0.0016140936767387963,-19
Hemoglobin_last25%_std,0.0016084460701607144,26,0.0,154,-0.0016084460701607144,0.0016084460701607144,128
Hematocrit_full_min,0.0003952251809836119,77,0.001929338686556391,26,0.001534113505572779,0.001534113505572779,-51
Prothrombin time_last10%_min,0.0017851766467095174,22,0.0032627363913017076,20,0.0014775597445921902,0.0014775597445921902,-2
Sodium_full_std,0.0013513600606979558,33,0.0028020259420653733,21,0.0014506658813674175,0.0014506658813674175,-12
Bilirubin_full_min,0.0022143157023780204,17,0.00082496544371481,61,-0.0013893502586632103,0.0013893502586632103,44
Systolic blood pressure_full_min,0.00015819041801231492,94,0.0015297713335671087,39,0.0013715809155547937,0.0013715809155547937,-55
Systolic blood pressure_last25%_min,0.0004099005848753451,73,0.0017754361669661677,31,0.0013655355820908226,0.0013655355820908226,-42
Potassium_last10%_min,0.006118024345019222,9,0.007459905220100548,10,0.0013418808750813261,0.0013418808750813261,1
Lactate_full_mean,0.000512458238223936,67,0.0018536032113398786,29,0.0013411449731159427,0.0013411449731159427,-38
