Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.011795784662950667,1
Glascow coma scale motor response_last10%_max,0.01102185981474409,2
Glascow coma scale motor response_last10%_min,0.011016636872368894,3
Glascow coma scale motor response_last25%_max,0.010561580686975418,4
Glascow coma scale motor response_last25%_min,0.01040539969865471,5
Creatinine_last10%_min,0.0062209737083302515,6
Glascow coma scale eye opening_last10%_min,0.0053766352599675105,7
Glascow coma scale eye opening_last25%_max,0.005240980268619428,8
Glascow coma scale motor response_full_max,0.0050372677484657145,9
Creatinine_full_mean,0.004870867115311623,10
Glascow coma scale eye opening_last10%_max,0.004461727701340575,11
Glascow coma scale verbal response_full_mean,0.004431982753935603,12
Creatinine_full_min,0.003996291460214432,13
Prothrombin time_last10%_min,0.0038898828404998085,14
Prothrombin time_full_min,0.0038542231960379835,15
Glascow coma scale verbal response_full_max,0.0038231965792823296,16
Glascow coma scale motor response_full_mean,0.0037977415135781296,17
White blood cell count_last10%_min,0.0036784176688055927,18
White blood cell count_full_min,0.003634375772863765,19
Creatinine_full_max,0.0035493103044453712,20
Prothrombin time_full_mean,0.003529047700915553,21
Glascow coma scale eye opening_full_max,0.002995920120300997,22
Glascow coma scale eye opening_last25%_min,0.0029622113417852956,23
Prothrombin time_full_max,0.0029287112586683646,24
Respiratory rate_last25%_mean,0.0028517475448746267,25
Bilirubin_full_min,0.002645874078356341,26
Diastolic blood pressure_last25%_mean,0.002582450025417867,27
Diastolic blood pressure_last10%_mean,0.0025556522588526588,28
Glascow coma scale eye opening_full_mean,0.00244211649218025,29
Temperature_last25%_min,0.0024229801609092806,30
Respiratory rate_last10%_mean,0.002220782033736628,31
Heart Rate_last25%_mean,0.002201775587755761,32
Fraction inspired oxygen_last10%_max,0.0021927859242647225,33
Systolic blood pressure_last25%_mean,0.002173234569921356,34
Fraction inspired oxygen_last25%_max,0.0021176119345230836,35
Systolic blood pressure_full_mean,0.002038382751664124,36
Oxygen saturation_last25%_min,0.002026943082107559,37
Diastolic blood pressure_last10%_max,0.0019872798282932346,38
Weight_full_max,0.0019845960578310034,39
Respiratory rate_last10%_min,0.001978130654555114,40
Temperature_last10%_min,0.001918267568417232,41
Systolic blood pressure_last25%_min,0.0019112747969742769,42
Fraction inspired oxygen_last10%_min,0.0019032939362201597,43
Fraction inspired oxygen_last25%_min,0.0018767156352414833,44
Oxygen saturation_full_min,0.0018470047686854885,45
Heart Rate_last10%_mean,0.0018382468875336937,46
Temperature_last25%_max,0.0018155957599345685,47
Lactate_last10%_min,0.0018138213976734072,48
Weight_full_mean,0.0017813777001985424,49
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0017761514130913041,50
Systolic blood pressure_full_min,0.0017593033620552554,51
Systolic blood pressure_last10%_mean,0.0017549594564266204,52
Lactate_last25%_min,0.001706663203578652,53
