Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.010345756777922778,1
Glascow coma scale motor response_last10%_min,0.009124632381508764,2
Glascow coma scale motor response_last10%_max,0.00909499657757888,3
Glascow coma scale motor response_last25%_max,0.008588246539193704,4
Glascow coma scale motor response_last25%_min,0.00857400976089185,5
Creatinine_last10%_min,0.0055642275444204425,6
Glascow coma scale eye opening_last10%_min,0.004567096441345672,7
Creatinine_full_mean,0.00432890096029759,8
Glascow coma scale eye opening_last25%_max,0.004176059854625653,9
Prothrombin time_full_min,0.0036418217406516728,10
Prothrombin time_last10%_min,0.003595581904243164,11
Glascow coma scale eye opening_last10%_max,0.0035809912067613866,12
Glascow coma scale verbal response_full_mean,0.0035796801041136114,13
Creatinine_full_min,0.003514141918648686,14
Glascow coma scale motor response_full_max,0.003502561050751874,15
Creatinine_full_max,0.0032340568124438925,16
Prothrombin time_full_mean,0.0032219840170841798,17
Glascow coma scale verbal response_full_max,0.003126246282110843,18
Glascow coma scale motor response_full_mean,0.0027157995738217133,19
Respiratory rate_last25%_mean,0.002675054774907896,20
Prothrombin time_full_max,0.002589260235157748,21
Glascow coma scale eye opening_last25%_min,0.0025829590741651984,22
Bilirubin_full_min,0.0025826965605791185,23
Glascow coma scale eye opening_full_max,0.0023906659648003344,24
Diastolic blood pressure_last10%_mean,0.002340634738352831,25
Diastolic blood pressure_last25%_mean,0.0023359484902296082,26
Fraction inspired oxygen_last10%_max,0.002320201249341612,27
Fraction inspired oxygen_last25%_max,0.002270330016073814,28
Temperature_last25%_min,0.002196613855594333,29
Glascow coma scale eye opening_full_mean,0.0021757755894004265,30
Systolic blood pressure_last25%_mean,0.002107481080945607,31
Fraction inspired oxygen_last10%_min,0.002072276212387609,32
Respiratory rate_last10%_mean,0.002016356539637855,33
Heart Rate_last25%_mean,0.001976665354230744,34
Fraction inspired oxygen_last25%_min,0.0019697340958204543,35
Systolic blood pressure_full_mean,0.0018487696476450549,36
Respiratory rate_last10%_min,0.0018221374252284078,37
Systolic blood pressure_last10%_mean,0.001819356153641199,38
Weight_full_max,0.0018025761681252502,39
Diastolic blood pressure_last10%_max,0.0017750380871310381,40
Oxygen saturation_last25%_min,0.001768526339486188,41
Systolic blood pressure_last25%_min,0.0017533102370761206,42
Temperature_last10%_min,0.0017089598309975866,43
Fraction inspired oxygen_full_mean,0.0016974597836053506,44
Weight_full_mean,0.001677393158019756,45
Temperature_last25%_max,0.0016764180985317206,46
Oxygen saturation_full_min,0.0016691470853407615,47
Respiratory rate_last25%_min,0.0015806903154549114,48
Heart Rate_last10%_mean,0.0015783647496592436,49
Systolic blood pressure_last10%_min,0.0015447232309387367,50
Hemoglobin_full_max,0.0015304096424039373,51
Systolic blood pressure_full_min,0.001506621187379565,52
White blood cell count_last10%_min,0.0015024067525496055,53
