Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
White blood cell count_full_min,0.0005927868880958421,145,0.003634375772863765,19,0.003041588884767923,0.003041588884767923,-126
White blood cell count_last10%_min,0.0015024067525496055,53,0.0036784176688055927,18,0.0021760109162559872,0.0021760109162559872,-35
Glascow coma scale motor response_last25%_max,0.008588246539193704,4,0.010561580686975418,4,0.001973334147781714,0.001973334147781714,0
Glascow coma scale motor response_last10%_max,0.00909499657757888,3,0.01102185981474409,2,0.0019268632371652102,0.0019268632371652102,-1
Glascow coma scale motor response_last10%_min,0.009124632381508764,2,0.011016636872368894,3,0.0018920044908601295,0.0018920044908601295,1
Glascow coma scale motor response_last25%_min,0.00857400976089185,5,0.01040539969865471,5,0.0018313899377628597,0.0018313899377628597,0
Glascow coma scale motor response_full_max,0.003502561050751874,15,0.0050372677484657145,9,0.0015347066977138405,0.0015347066977138405,-6
Glascow coma scale verbal response_last10%_min,0.010345756777922778,1,0.011795784662950667,1,0.001450027885027889,0.001450027885027889,0
Glascow coma scale motor response_full_mean,0.0027157995738217133,19,0.0037977415135781296,17,0.0010819419397564162,0.0010819419397564162,-2
Glascow coma scale eye opening_last25%_max,0.004176059854625653,9,0.005240980268619428,8,0.0010649204139937746,0.0010649204139937746,-1
White blood cell count_full_max,0.0005639399150922431,146,0.0016214832680361954,56,0.0010575433529439523,0.0010575433529439523,-90
Glascow coma scale eye opening_last10%_max,0.0035809912067613866,12,0.004461727701340575,11,0.0008807364945791888,0.0008807364945791888,-1
Glascow coma scale verbal response_full_mean,0.0035796801041136114,13,0.004431982753935603,12,0.0008523026498219919,0.0008523026498219919,-1
Glascow coma scale eye opening_last10%_min,0.004567096441345672,7,0.0053766352599675105,7,0.0008095388186218381,0.0008095388186218381,0
Glascow coma scale verbal response_full_max,0.003126246282110843,18,0.0038231965792823296,16,0.0006969502971714866,0.0006969502971714866,-2
Creatinine_last10%_min,0.0055642275444204425,6,0.0062209737083302515,6,0.0006567461639098091,0.0006567461639098091,0
Glascow coma scale eye opening_full_max,0.0023906659648003344,24,0.002995920120300997,22,0.0006052541555006626,0.0006052541555006626,-2
Creatinine_full_mean,0.00432890096029759,8,0.004870867115311623,10,0.0005419661550140334,0.0005419661550140334,2
