Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.44494283,1
Glascow coma scale motor response_last10%_max,0.19889973,2
Creatinine_last10%_min,0.19297715,3
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.19094421,4
Glascow coma scale motor response_last25%_min,0.14130843,5
White blood cell count_last10%_min,0.12045997,6
Glascow coma scale motor response_last25%_max,0.10691507,7
Respiratory rate_last25%_mean,0.101940006,8
Glascow coma scale motor response_full_std,0.09351559,9
Weight_full_max,0.09063217,10
Prothrombin time_last10%_min,0.08405164,11
Temperature_full_min,0.07982455,12
Temperature_full_max,0.07966706,13
Temperature_last25%_min,0.077003494,14
Hemoglobin_full_max,0.07298036,15
Diastolic blood pressure_last25%_mean,0.07003198,16
Glascow coma scale eye opening_last10%_min,0.06986596,17
Heart Rate_last10%_mean,0.06789378,18
Bilirubin_full_std,0.065319344,19
Glucose_last25%_std,0.064661376,20
White blood cell count_full_min,0.06432819,21
Weight_full_mean,0.06390578,22
Oxygen saturation_last25%_min,0.06332996,23
Glascow coma scale eye opening_last10%_max,0.06310002,24
Diastolic blood pressure_last10%_mean,0.06193485,25
Oxygen saturation_last10%_min,0.05997237,26
Glascow coma scale motor response_last10%_min,0.05764762,27
Prothrombin time_full_min,0.05387566,28
Heart Rate_last25%_mean,0.05307082,29
Lactate_last10%_min,0.05242542,30
Glascow coma scale eye opening_last25%_max,0.05229579,31
Fraction inspired oxygen_last10%_max,0.051939316,32
Oxygen saturation_full_min,0.05070246,33
Glascow coma scale verbal response_full_std,0.0504945,34
Potassium_last10%_min,0.04879214,35
Sodium_full_max,0.048263557,36
Glucose_last10%_min,0.047924645,37
Fraction inspired oxygen_last25%_min,0.04772858,38
Creatinine_full_min,0.046099853,39
Systolic blood pressure_full_mean,0.04524613,40
Bilirubin_full_min,0.04446511,41
Hemoglobin_full_std,0.04175411,42
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.041084155,43
Systolic blood pressure_last25%_min,0.039880816,44
Weight_full_min,0.038042206,45
Systolic blood pressure_last10%_mean,0.037629236,46
Systolic blood pressure_full_min,0.03740497,47
Hematocrit_full_std,0.037381332,48
Platelets_full_max,0.03713227,49
Glascow coma scale eye opening_full_mean,0.03653118,50
Respiratory rate_full_max,0.036056478,51
Hematocrit_last10%_min,0.03593109,52
Lactate_last25%_min,0.03577537,53
ICU_Neuro Intermediate,0.035736084,54
Oxygen saturation_last10%_max,0.035114825,55
Fraction inspired oxygen_last10%_min,0.034761887,56
Heart Rate_full_mean,0.03329392,57
Diastolic blood pressure_last25%_max,0.03255647,58
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.031403143,59
Glascow coma scale verbal response_full_mean,0.03131667,60
Glucose_full_min,0.031285938,61
Platelets_full_mean,0.03105656,62
Heart Rate_last25%_max,0.0309583,63
Heart Rate_full_max,0.030241683,64
Respiratory rate_full_min,0.029434722,65
Creatinine_full_std,0.027742537,66
Hemoglobin_full_mean,0.027550628,67
Glascow coma scale eye opening_last10%_std,0.027509421,68
Platelets_last10%_min,0.026757706,69
Glascow coma scale motor response_full_max,0.026208155,70
Prothrombin time_full_max,0.026131263,71
Diastolic blood pressure_last10%_min,0.026128197,72
Heart Rate_full_min,0.025638761,73
Diastolic blood pressure_full_min,0.025250841,74
Systolic blood pressure_last25%_mean,0.024460517,75
Temperature_last10%_min,0.024110401,76
pH_last10%_mean,0.02350703,77
pH_last10%_max,0.023314124,78
Temperature_last10%_max,0.023197338,79
Respiratory rate_last10%_mean,0.023103936,80
Glascow coma scale verbal response_full_max,0.023024645,81
Lactate_last25%_max,0.02287586,82
White blood cell count_full_std,0.02278374,83
Heart Rate_last25%_min,0.02214914,84
Heart Rate_last10%_max,0.021637429,85
Temperature_last25%_max,0.02142,86
Fraction inspired oxygen_full_min,0.021288976,87
Glascow coma scale motor response_full_mean,0.020442104,88
Creatinine_full_mean,0.020367382,89
Heart Rate_last10%_min,0.019976841,90
Fraction inspired oxygen_last25%_max,0.019081086,91
Sodium_last10%_std,0.018992208,92
Heart Rate_last25%_std,0.018612118,93
pH_full_min,0.0182697,94
Diastolic blood pressure_last10%_max,0.017982993,95
Glucose_last10%_std,0.017664915,96
Potassium_last25%_max,0.017407846,97
Creatinine_full_max,0.017390914,98
Glascow coma scale eye opening_full_std,0.017124418,99
Fraction inspired oxygen_full_max,0.016777048,100
pH_last10%_min,0.01626172,101
Glascow coma scale eye opening_last25%_std,0.016089568,102
Hematocrit_full_mean,0.015829852,103
Fraction inspired oxygen_full_mean,0.015777014,104
White blood cell count_last25%_std,0.015774682,105
Diastolic blood pressure_full_mean,0.015434976,106
Platelets_last25%_std,0.015232206,107
Sodium_full_mean,0.01507251,108
Respiratory rate_last25%_min,0.014784492,109
pH_last10%_std,0.014070483,110
Sodium_last10%_min,0.014025537,111
Platelets_full_min,0.014023387,112
Glucose_full_max,0.013576281,113
Mean blood pressure_last10%_max,0.0135119185,114
Mean blood pressure_last10%_min,0.012992515,115
Potassium_last25%_min,0.01297971,116
Glascow coma scale eye opening_last25%_min,0.012900886,117
Sodium_full_std,0.012116527,118
pH_full_max,0.012021276,119
Glascow coma scale eye opening_full_min,0.011858026,120
Systolic blood pressure_last10%_min,0.011611254,121
Glucose_full_mean,0.011459075,122
Mean blood pressure_full_min,0.011309462,123
Systolic blood pressure_last25%_std,0.010957203,124
Respiratory rate_last25%_max,0.010852754,125
Glucose_last10%_mean,0.010795204,126
Potassium_full_min,0.010774839,127
Platelets_full_std,0.010760843,128
Hematocrit_full_max,0.010558559,129
ICU_Surgical Intensive Care Unit (SICU),0.010088124,130
Prothrombin time_full_mean,0.010083648,131
Hematocrit_full_min,0.010070366,132
Heart Rate_last10%_std,0.009928504,133
Systolic blood pressure_last25%_max,0.009775894,134
Glucose_last25%_mean,0.009674971,135
Hemoglobin_full_min,0.009299649,136
Lactate_last25%_std,0.009276628,137
Potassium_full_std,0.0092568975,138
Systolic blood pressure_last10%_max,0.0090954,139
Lactate_full_std,0.008949972,140
Mean blood pressure_last25%_min,0.008901212,141
pH_last25%_min,0.008751179,142
pH_full_std,0.008393681,143
Diastolic blood pressure_full_max,0.007995026,144
pH_full_mean,0.007958685,145
Glascow coma scale verbal response_last10%_std,0.007631027,146
Prothrombin time_full_std,0.0076301335,147
Glucose_last10%_max,0.0073866174,148
Systolic blood pressure_full_max,0.00731981,149
Sodium_last25%_std,0.007069713,150
Sodium_full_min,0.006967124,151
Diastolic blood pressure_last25%_min,0.00687804,152
Respiratory rate_last10%_max,0.0061715995,153
Glucose_last25%_max,0.0059954864,154
Glascow coma scale motor response_full_min,0.0057163434,155
ICU_Trauma SICU (TSICU),0.005668258,156
Respiratory rate_last10%_min,0.005257497,157
Potassium_full_mean,0.0047766697,158
Lactate_full_max,0.004609676,159
Systolic blood pressure_last10%_std,0.004402396,160
White blood cell count_full_max,0.0043238993,161
ICU_Medical Intensive Care Unit (MICU),0.003906204,162
Lactate_full_mean,0.0037692727,163
Lactate_full_min,0.0035101026,164
Glascow coma scale motor response_last25%_std,0.003297616,165
Glascow coma scale verbal response_last25%_std,0.0029007066,166
Potassium_full_max,0.0026727275,167
pH_last25%_std,0.0024826804,168
Glascow coma scale eye opening_full_max,0.0024289954,169
ICU_Coronary Care Unit (CCU),0.002418052,170
Hematocrit_last25%_std,0.0017644869,171
Hemoglobin_last25%_std,0.0016050214,172
Oxygen saturation_last25%_max,0.0015638121,173
Glascow coma scale verbal response_full_min,0.0015208665,174
Hematocrit_last10%_std,0.0004753204,175
Glascow coma scale motor response_last10%_std,0.0,176
Height_full_min,0.0,177
Oxygen saturation_full_max,0.0,178
Platelets_last10%_std,0.0,179
Weight_last10%_std,0.0,180
White blood cell count_last10%_std,0.0,181
Weight_last25%_std,0.0,182
ICU_Intensive Care Unit (ICU),0.0,183
ICU_Medicine,0.0,184
ICU_Neuro Stepdown,0.0,185
ICU_PACU,0.0,186
ICU_Neurology,0.0,187
ICU_Surgery/Vascular/Intermediate,0.0,188
ICU_Surgery/Trauma,0.0,189
