Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.15473527,4,0.19094421,4,0.036208943,0.036208943,0
Glascow coma scale motor response_last10%_max,0.17732853,3,0.19889973,2,0.021571204,0.021571204,-1
Glascow coma scale motor response_last25%_min,0.1274115,5,0.14130843,5,0.013896927,0.013896927,0
Glascow coma scale motor response_full_std,0.079869926,11,0.09351559,9,0.013645664,0.013645664,-2
ICU_Neuro Intermediate,0.048378423,35,0.035736084,54,-0.012642339,0.012642339,19
Temperature_full_min,0.06857831,15,0.07982455,12,0.011246242,0.011246242,-3
Glascow coma scale motor response_last25%_max,0.09624443,8,0.10691507,7,0.01067064,0.01067064,-1
Creatinine_last10%_min,0.18265925,2,0.19297715,3,0.010317892,0.010317892,1
Platelets_full_max,0.04627578,39,0.03713227,49,-0.009143509,0.009143509,10
Respiratory rate_last25%_mean,0.110858664,7,0.101940006,8,-0.008918658,0.008918658,1
pH_last10%_std,0.022285549,85,0.014070483,110,-0.008215066,0.008215066,25
Respiratory rate_full_max,0.043546874,43,0.036056478,51,-0.0074903965,0.0074903965,8
Weight_full_max,0.084093384,9,0.09063217,10,0.006538786,0.006538786,1
Fraction inspired oxygen_last10%_min,0.040949665,48,0.034761887,56,-0.006187778,0.006187778,8
Glascow coma scale eye opening_full_mean,0.04243695,46,0.03653118,50,-0.0059057698,0.0059057698,4
Hematocrit_last10%_min,0.030240208,65,0.03593109,52,0.005690884,0.005690884,-13
Diastolic blood pressure_last25%_mean,0.06448542,20,0.07003198,16,0.005546555,0.005546555,-4
Sodium_full_max,0.042941496,44,0.048263557,36,0.0053220615,0.0053220615,-8
Glascow coma scale verbal response_last10%_min,0.45003685,1,0.44494283,1,-0.0050940216,0.0050940216,0
Glascow coma scale eye opening_last25%_max,0.047382817,37,0.05229579,31,0.0049129725,0.0049129725,-6
Glascow coma scale motor response_last10%_min,0.052779105,30,0.05764762,27,0.004868515,0.004868515,-3
Platelets_full_mean,0.035638783,53,0.03105656,62,-0.0045822226,0.0045822226,9
Hemoglobin_full_std,0.037219435,50,0.04175411,42,0.0045346767,0.0045346767,-8
Platelets_last10%_min,0.031156627,62,0.026757706,69,-0.0043989215,0.0043989215,7
Glascow coma scale verbal response_full_mean,0.0356885,52,0.03131667,60,-0.0043718293,0.0043718293,8
Glascow coma scale motor response_full_max,0.022247784,86,0.026208155,70,0.003960371,0.003960371,-16
Lactate_last25%_min,0.0320664,60,0.03577537,53,0.0037089698,0.0037089698,-7
Prothrombin time_last10%_min,0.08035261,10,0.08405164,11,0.003699027,0.003699027,1
Temperature_full_max,0.07609454,12,0.07966706,13,0.0035725236,0.0035725236,1
Systolic blood pressure_last10%_mean,0.041104455,47,0.037629236,46,-0.003475219,0.003475219,-1
White blood cell count_full_min,0.060855303,25,0.06432819,21,0.0034728907,0.0034728907,-4
Weight_full_min,0.03461733,55,0.038042206,45,0.0034248754,0.0034248754,-10
Glascow coma scale eye opening_full_min,0.008456597,141,0.011858026,120,0.0034014285,0.0034014285,-21
pH_last10%_max,0.026523607,70,0.023314124,78,-0.0032094829,0.0032094829,8
Lactate_last10%_min,0.049293403,34,0.05242542,30,0.0031320192,0.0031320192,-4
Diastolic blood pressure_last10%_mean,0.06496465,19,0.06193485,25,-0.003029801,0.003029801,6
Systolic blood pressure_last25%_min,0.03701031,51,0.039880816,44,0.0028705075,0.0028705075,-7
Glascow coma scale eye opening_full_std,0.014286633,110,0.017124418,99,0.0028377855,0.0028377855,-11
Fraction inspired oxygen_last10%_max,0.054722495,28,0.051939316,32,-0.0027831793,0.0027831793,4
Sodium_last10%_std,0.016302854,100,0.018992208,92,0.0026893541,0.0026893541,-8
Creatinine_full_mean,0.01778229,95,0.020367382,89,0.0025850926,0.0025850926,-6
Glucose_last25%_mean,0.012248164,117,0.009674971,135,-0.002573193,0.002573193,18
Heart Rate_last10%_min,0.022522714,83,0.019976841,90,-0.0025458727,0.0025458727,7
Temperature_last25%_min,0.07452255,13,0.077003494,14,0.0024809465,0.0024809465,1
Temperature_last10%_max,0.020718686,90,0.023197338,79,0.0024786517,0.0024786517,-11
Glascow coma scale verbal response_full_std,0.048018042,36,0.0504945,34,0.0024764575,0.0024764575,-2
Glucose_last10%_min,0.04545434,40,0.047924645,37,0.002470307,0.002470307,-3
Platelets_full_min,0.01641992,99,0.014023387,112,-0.0023965323,0.0023965323,13
Fraction inspired oxygen_last25%_min,0.050114397,33,0.04772858,38,-0.0023858175,0.0023858175,5
Heart Rate_full_mean,0.030908737,63,0.03329392,57,0.0023851842,0.0023851842,-6
Oxygen saturation_last10%_max,0.03282233,57,0.035114825,55,0.0022924952,0.0022924952,-2
Creatinine_full_min,0.043927368,42,0.046099853,39,0.002172485,0.002172485,-3
Hematocrit_full_std,0.035253335,54,0.037381332,48,0.0021279976,0.0021279976,-6
