Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.4088855730588232
Glascow coma scale motor response_last10%_min,0.18969884223878233
White blood cell count_last10%_min,0.14505200584834663
Glascow coma scale verbal response_full_mean,0.1425885362913206
Glascow coma scale motor response_full_std,0.13402781763949573
Respiratory rate_last25%_mean,0.12785168101447744
Diastolic blood pressure_last10%_min,0.11661986044240424
Lactate_last10%_min,0.10764224235631722
Glascow coma scale eye opening_last10%_min,0.09976003477829251
White blood cell count_full_min,0.09208208790271931
Heart Rate_last10%_min,0.08668857963118003
Heart Rate_last10%_max,0.08531276602020271
Glascow coma scale verbal response_full_std,0.08263593859533928
Glascow coma scale eye opening_last10%_max,0.08166959330913437
Fraction inspired oxygen_last10%_min,0.07951771431078487
Weight_full_min,0.07681698993547435
Creatinine_last10%_min,0.07646456488406732
Temperature_last10%_min,0.07609793902562172
Glucose_full_min,0.0759475854663837
Glascow coma scale verbal response_full_max,0.07576175299124159
Hemoglobin_full_std,0.07556759364233634
Potassium_last10%_min,0.07402813340708815
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0706556671668266
White blood cell count_full_std,0.06979925494336481
Platelets_full_min,0.06708069724900609
Temperature_last25%_min,0.06377645872712812
Diastolic blood pressure_last25%_min,0.06359756047910507
Glascow coma scale motor response_full_max,0.05980285494383056
Glascow coma scale motor response_full_min,0.0590636135607529
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.05446907991043782
Hematocrit_full_max,0.05328098985729086
Fraction inspired oxygen_full_max,0.05183888248500306
Oxygen saturation_full_min,0.051115759039091595
Prothrombin time_last10%_min,0.05107635296383719
Fraction inspired oxygen_last10%_max,0.05064896520045258
Bilirubin_full_min,0.04938186745195948
Weight_full_mean,0.04754247414955998
Lactate_full_min,0.04562923311406136
Glascow coma scale motor response_full_mean,0.04544574009367641
Systolic blood pressure_full_mean,0.043509475660950085
Respiratory rate_full_min,0.04297606337917516
Sodium_full_min,0.04266448107277091
Diastolic blood pressure_full_min,0.040470258088217394
Oxygen saturation_last10%_min,0.039498493291519415
Respiratory rate_last10%_mean,0.038746150660190735
Sodium_full_max,0.038329433945357046
Systolic blood pressure_last25%_min,0.03699176727265505
Sodium_full_mean,0.035345481650204465
White blood cell count_full_max,0.03430290727364818
Creatinine_full_min,0.033857243714457856
Potassium_full_min,0.03274496629404065
Oxygen saturation_last25%_min,0.032326760717256466
Prothrombin time_full_mean,0.03094815663083753
Fraction inspired oxygen_last25%_max,0.02936583220775539
Sodium_last10%_min,0.028403418007268165
Prothrombin time_full_min,0.02831044039320025
Glascow coma scale motor response_last10%_std,0.02638691320749237
Lactate_full_mean,0.026252517249675162
Prothrombin time_full_max,0.02581886889387605
Systolic blood pressure_last10%_std,0.025174121909998334
Systolic blood pressure_last10%_max,0.024330835652605767
Glascow coma scale verbal response_full_min,0.023833105424694977
Systolic blood pressure_full_min,0.023193782732454156
ICU_Medical Intensive Care Unit (MICU),0.0221084922560193
Hematocrit_last25%_std,0.021527990631841996
Glascow coma scale eye opening_last25%_std,0.02019063598907109
Glascow coma scale eye opening_full_min,0.020034426841441834
Potassium_full_mean,0.01937646159060615
Fraction inspired oxygen_full_mean,0.018973805821233362
Platelets_last25%_std,0.01817109808831049
Glascow coma scale eye opening_full_max,0.017558010182460494
Creatinine_full_std,0.016405908950804307
Potassium_full_max,0.0159897759600606
Prothrombin time_full_std,0.015860517772587564
Lactate_full_max,0.015663608786482475
Glascow coma scale eye opening_full_std,0.015475748873251108
Glascow coma scale verbal response_last10%_std,0.015020742291038407
Heart Rate_full_mean,0.014660988620454323
Glascow coma scale eye opening_full_mean,0.014014497515372575
Lactate_full_std,0.013966622942661025
ICU_Neuro Intermediate,0.013813156730941792
Hemoglobin_last25%_std,0.013400770175542288
Glascow coma scale eye opening_last10%_std,0.012939780451203949
Respiratory rate_last25%_min,0.012746900408638188
Sodium_full_std,0.012376989625866395
