Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Weight,0.00012358733954381029,34,0.0008615720729576132,1,0.0007379847334138029,0.0007379847334138029,-33
Lactate,0.000296801176665537,13,0.00041777887995746404,4,0.00012097770329192706,0.00012097770329192706,-9
Creatinine,0.0005810460095464956,1,0.0006942622495350427,2,0.00011321623998854701,0.00011321623998854701,1
Glascow coma scale verbal response->No Response-ETT,0.0003202774933740988,7,0.0004000048078428975,5,7.972731446879869e-05,7.972731446879869e-05,-2
Fraction inspired oxygen,0.00030010899885317817,12,0.00037505577931645144,6,7.494678046327327e-05,7.494678046327327e-05,-6
Bilirubin,0.00030015256030064885,11,0.0003703357879398108,7,7.018322763916194e-05,7.018322763916194e-05,-4
Platelets,0.00016854512344855707,23,0.00023709523671558894,19,6.855011326703186e-05,6.855011326703186e-05,-4
mask->Temperature,0.00016316951258416157,25,0.0002289200907997649,20,6.575057821560333e-05,6.575057821560333e-05,-5
mask->Glascow coma scale verbal response,0.0001581489581002038,28,0.00022153745955428173,23,6.338850145407794e-05,6.338850145407794e-05,-5
mask->Sodium,0.00010230286849805217,35,0.00016030691695270645,29,5.800404845465428e-05,5.800404845465428e-05,-6
Potassium,0.00018856565106885112,20,0.0002445000858476015,18,5.593443477875041e-05,5.593443477875041e-05,-2
Hemoglobin,0.00017134584565233277,22,0.0002257961978149015,21,5.445035216256874e-05,5.445035216256874e-05,-1
Glascow coma scale eye opening->To Pain,6.210636886442513e-05,48,0.00011440722912261086,37,5.230086025818573e-05,5.230086025818573e-05,-11
Hematocrit,0.00014501388854791205,31,0.00019726417727076098,26,5.225028872284893e-05,5.225028872284893e-05,-5
Systolic blood pressure,0.0003086505081063837,10,0.00036041119331205944,9,5.176068520567576e-05,5.176068520567576e-05,-1
Heart Rate,0.00036419336283470403,4,0.0003131202834816312,14,-5.1073079353072836e-05,5.1073079353072836e-05,10
mask->Prothrombin time,7.711171640908066e-05,45,0.00012334409495293815,36,4.623237854385749e-05,4.623237854385749e-05,-9
Glascow coma scale verbal response->Oriented,0.0004698671626828462,2,0.0005144704012237825,3,4.4603238540936346e-05,4.4603238540936346e-05,1
mask->Glascow coma scale motor response,0.00014633807165394992,30,0.00019068109284855025,27,4.434302119460032e-05,4.434302119460032e-05,-3
Glascow coma scale motor response->Abnormal extension,8.172120124072535e-07,62,4.459425201882065e-05,55,4.3777040006413395e-05,4.3777040006413395e-05,-7
Glascow coma scale motor response->No response,0.00028630201370696823,14,0.0003267888446019769,11,4.048683089500867e-05,4.048683089500867e-05,-3
Glascow coma scale verbal response->No Response,8.873765806276689e-05,39,5.4584468081124714e-05,50,-3.4153189981642177e-05,3.4153189981642177e-05,11
Glascow coma scale motor response->Obeys Commands,0.00027911949202168217,16,0.00031221588047864216,16,3.3096388456959995e-05,3.3096388456959995e-05,0
Temperature,0.00038969374451470047,3,0.0003615449298780756,8,-2.8148814636624897e-05,2.8148814636624897e-05,5
Glascow coma scale motor response->Flex-withdraws,8.638442833109682e-05,42,5.831768172420491e-05,48,-2.806674660689191e-05,2.806674660689191e-05,6
Glascow coma scale motor response->Localizes Pain,0.00016393408221089572,24,0.00013822996754799162,34,-2.57041146629041e-05,2.57041146629041e-05,10
Glascow coma scale verbal response->Confused,0.00017557840284881091,21,0.00019879376005429902,25,2.3215357205488103e-05,2.3215357205488103e-05,4
mask->Glucose,0.0003525076633251996,5,0.00032951835570139623,10,-2.298930762380339e-05,2.298930762380339e-05,5
Glascow coma scale eye opening->To Speech,0.00019462142544987912,18,0.0001729132810519788,28,-2.1708144397900324e-05,2.1708144397900324e-05,10
Oxygen saturation,9.95411437045599e-05,36,7.794447584422039e-05,45,-2.1596667860339516e-05,2.1596667860339516e-05,9
