Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Weight,0.00012194474020226044,30,0.0009380281665139312,1,0.0008160834263116708,0.0008160834263116708,-29
Heart Rate,0.00035972013092344136,9,0.0002559797223540808,16,-0.00010374040856936059,0.00010374040856936059,7
Temperature,0.00048782771533308013,1,0.00038601297158980273,12,-0.0001018147437432774,0.0001018147437432774,11
Bilirubin,0.00037278897770602875,8,0.00046165183724655056,4,8.886285954052181e-05,8.886285954052181e-05,-4
Glascow coma scale motor response->No response,0.0003189419942868203,12,0.0003993003417099055,9,8.035834742308519e-05,8.035834742308519e-05,-3
Glascow coma scale eye opening->To Pain,7.730867933932436e-05,48,0.00015680311014703373,28,7.949443080770937e-05,7.949443080770937e-05,-20
Platelets,0.00016320180681593947,27,0.00022890144055425185,20,6.569963373831238e-05,6.569963373831238e-05,-7
Glascow coma scale verbal response->No Response,9.517115182015099e-05,39,2.9507031742843262e-05,56,-6.566412007730773e-05,6.566412007730773e-05,17
Glascow coma scale verbal response->No Response-ETT,0.0003928062734438479,7,0.000453437059436698,5,6.063078599285012e-05,6.063078599285012e-05,-2
Lactate,0.00034880441416920466,11,0.0004022493669752235,8,5.3444952806018856e-05,5.3444952806018856e-05,-3
mask->Temperature,0.00017583390557549528,26,0.0002251698696534617,23,4.9335964077966426e-05,4.9335964077966426e-05,-3
Glascow coma scale motor response->Abnormal extension,1.1996460671070964e-06,62,4.995567212366344e-05,52,4.8756026056556346e-05,4.8756026056556346e-05,-10
Fraction inspired oxygen,0.00040487522521666207,6,0.00045338096813468844,6,4.850574291802637e-05,4.850574291802637e-05,0
Creatinine,0.0004686584831783292,3,0.0005155360984079536,2,4.687761522962437e-05,4.687761522962437e-05,-1
mask->Glascow coma scale verbal response,0.00011946034944395241,32,0.00016441759883622912,27,4.495724939227671e-05,4.495724939227671e-05,-5
