Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.032179800967813914,1
Weight_full_min,0.023960476026862628,2
Weight_full_mean,0.016157287803020424,3
Respiratory rate_last25%_mean,0.008936551160054314,4
Hemoglobin_full_max,0.007715077121052569,5
White blood cell count_last10%_min,0.00757111123227989,6
Fraction inspired oxygen_last10%_max,0.006289591489042715,7
Platelets_last10%_min,0.0058962220966748465,8
Diastolic blood pressure_last10%_min,0.0058326698855603355,9
Creatinine_last10%_min,0.005557096235521097,10
Glascow coma scale motor response_last25%_max,0.00543453497082964,11
Bilirubin_full_min,0.004805843850733001,12
White blood cell count_full_min,0.004138323186109312,13
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.003961898610589807,14
Sodium_full_min,0.003649605615185215,15
Heart Rate_full_mean,0.003508373682264839,16
Creatinine_full_max,0.0034913294489174298,17
Potassium_last10%_min,0.0034668349358282125,18
Fraction inspired oxygen_full_mean,0.003179577096125371,19
Lactate_full_min,0.0029783266224419334,20
Hemoglobin_full_mean,0.0026875699575127543,21
Potassium_full_min,0.0024548745948894187,22
Temperature_last10%_min,0.0023875793407178046,23
Prothrombin time_last10%_min,0.0023873828825371644,24
Lactate_last25%_min,0.002178148619494485,25
Glascow coma scale motor response_full_min,0.002076269189236904,26
Sodium_full_std,0.0019981397509124944,27
Glascow coma scale motor response_full_max,0.001972232571029065,28
Glascow coma scale motor response_last25%_min,0.0019599161395947706,29
Heart Rate_full_min,0.0018822011215826248,30
Systolic blood pressure_full_mean,0.0017899734661413636,31
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.00177020633099284,32
Glascow coma scale motor response_full_std,0.001639257861870955,33
Glascow coma scale verbal response_full_std,0.0015279057787312372,34
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0015115179677721647,35
Hematocrit_full_min,0.001424523874074099,36
Glascow coma scale eye opening_full_max,0.001388544684807704,37
Hematocrit_last10%_min,0.0013262629144524354,38
Glascow coma scale motor response_full_mean,0.001271764759163263,39
Temperature_last25%_min,0.0012473330234618436,40
Lactate_full_mean,0.0012424916394960575,41
Hemoglobin_full_std,0.0012362789446434166,42
Oxygen saturation_full_min,0.0011328071104550054,43
Glascow coma scale verbal response_full_mean,0.001119268391057249,44
