Feature,Mean_Abs_SHAP,Rank
Glascow coma scale verbal response_last10%_min,0.44253284,1
Weight_full_max,0.22723368,2
Glascow coma scale motor response_last10%_max,0.19646572,3
Creatinine_last10%_min,0.19369073,4
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.14404328,5
White blood cell count_last10%_min,0.12863363,6
Glascow coma scale motor response_last25%_min,0.1281358,7
Weight_full_mean,0.114378385,8
Glascow coma scale motor response_last25%_max,0.10802442,9
Respiratory rate_last25%_mean,0.09974288,10
Prothrombin time_last10%_min,0.09445066,11
Weight_full_min,0.09379146,12
Temperature_full_max,0.0885335,13
Glascow coma scale motor response_full_std,0.08765048,14
Hemoglobin_full_max,0.081801474,15
Temperature_full_min,0.080611475,16
Temperature_last25%_min,0.073084466,17
Glascow coma scale eye opening_last10%_min,0.07053582,18
Diastolic blood pressure_last25%_mean,0.06630933,19
Bilirubin_full_std,0.06566594,20
Oxygen saturation_last25%_min,0.06561169,21
Lactate_last10%_min,0.06474984,22
White blood cell count_full_min,0.06302239,23
Bilirubin_full_min,0.060240615,24
Glascow coma scale eye opening_last10%_max,0.06014205,25
Prothrombin time_full_min,0.05949071,26
Glascow coma scale motor response_last10%_min,0.05892949,27
Diastolic blood pressure_last10%_mean,0.05808955,28
Heart Rate_last10%_mean,0.056525238,29
Oxygen saturation_last10%_min,0.056344453,30
Fraction inspired oxygen_last10%_max,0.055656932,31
Glucose_last25%_std,0.05400406,32
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.05223796,33
Glucose_last10%_min,0.052044537,34
Systolic blood pressure_full_mean,0.049670856,35
Heart Rate_last25%_mean,0.048762936,36
Creatinine_full_min,0.0486749,37
Fraction inspired oxygen_last25%_min,0.047467023,38
Glascow coma scale verbal response_full_std,0.046913866,39
Potassium_last10%_min,0.045513727,40
Sodium_full_max,0.045202717,41
Oxygen saturation_full_min,0.044970326,42
Platelets_full_max,0.04226744,43
Lactate_last25%_min,0.041163873,44
Systolic blood pressure_full_min,0.041069355,45
Glascow coma scale eye opening_last25%_max,0.041066892,46
Systolic blood pressure_last10%_mean,0.040732477,47
Oxygen saturation_last10%_max,0.037962526,48
Fraction inspired oxygen_last10%_min,0.037910014,49
Systolic blood pressure_last25%_min,0.036792085,50
Glucose_full_min,0.036367733,51
Respiratory rate_full_max,0.03571671,52
Prothrombin time_full_max,0.03343294,53
Platelets_full_mean,0.033283878,54
Glascow coma scale eye opening_full_mean,0.033093162,55
Hematocrit_full_std,0.032912698,56
Heart Rate_full_mean,0.032836057,57
Glascow coma scale verbal response_full_mean,0.03280362,58
Hemoglobin_full_std,0.031778663,59
Creatinine_full_std,0.030653676,60
Diastolic blood pressure_last25%_max,0.030647453,61
Heart Rate_full_max,0.030409347,62
Platelets_last10%_min,0.030375082,63
ICU_Neuro Intermediate,0.02925308,64
Heart Rate_last25%_max,0.028970541,65
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.028856762,66
Respiratory rate_full_min,0.02847236,67
Diastolic blood pressure_full_min,0.02830923,68
Diastolic blood pressure_last10%_min,0.028211463,69
Hemoglobin_full_mean,0.027995773,70
Hematocrit_last10%_min,0.027297417,71
Glascow coma scale eye opening_last10%_std,0.026607618,72
Glascow coma scale verbal response_full_max,0.026518635,73
Glascow coma scale motor response_full_max,0.025414186,74
Lactate_last25%_max,0.025352214,75
pH_last10%_mean,0.02512257,76
Heart Rate_full_min,0.025066737,77
Temperature_last10%_max,0.023899524,78
Temperature_last10%_min,0.02364649,79
Temperature_last25%_max,0.023442168,80
Systolic blood pressure_last25%_mean,0.023377886,81
Respiratory rate_last10%_mean,0.023267902,82
Heart Rate_last10%_max,0.023159048,83
Fraction inspired oxygen_last25%_max,0.022950267,84
Fraction inspired oxygen_full_min,0.022802765,85
Creatinine_full_max,0.022690218,86
White blood cell count_full_std,0.022514751,87
Hematocrit_full_mean,0.022479283,88
pH_last10%_max,0.021756953,89
Respiratory rate_last25%_min,0.019140745,90
Heart Rate_last10%_min,0.018370967,91
Sodium_last10%_std,0.01816905,92
Diastolic blood pressure_last10%_max,0.018058052,93
Heart Rate_last25%_min,0.018024314,94
Heart Rate_last25%_std,0.018006895,95
Glucose_last10%_std,0.017868022,96
pH_full_min,0.017801145,97
Creatinine_full_mean,0.017190093,98
pH_last10%_min,0.016948393,99
Fraction inspired oxygen_full_mean,0.016597426,100
Diastolic blood pressure_full_mean,0.016307684,101
Sodium_last10%_min,0.016298322,102
Glascow coma scale eye opening_last25%_std,0.01629086,103
Platelets_full_min,0.015887523,104
Glascow coma scale motor response_full_mean,0.015866803,105
Systolic blood pressure_last25%_std,0.015310162,106
Hemoglobin_full_min,0.015288705,107
Sodium_full_mean,0.015062463,108
Mean blood pressure_last10%_max,0.014602011,109
Potassium_last25%_max,0.014501365,110
Platelets_last25%_std,0.014306255,111
Glascow coma scale eye opening_full_std,0.013695918,112
Mean blood pressure_full_min,0.013246009,113
