Feature,Mean_Abs_SHAP_Reference,Rank_Reference,Mean_Abs_SHAP_Perturbed,Rank_Perturbed,SHAP_Change,Absolute_SHAP_Change,Rank_Change
Weight_full_max,0.05427401,27,0.22723368,2,0.17295967,0.17295967,-25
Weight_full_min,0.014149685,111,0.09379146,12,0.079641774,0.079641774,-99
Weight_full_mean,0.037984986,49,0.114378385,8,0.076393396,0.076393396,-41
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.18573175,4,0.14404328,5,-0.041688472,0.041688472,1
Bilirubin_full_min,0.04383964,41,0.060240615,24,0.016400974,0.016400974,-17
Lactate_last10%_min,0.0491547,34,0.06474984,22,0.015595138,0.015595138,-12
Glucose_last25%_std,0.06773887,16,0.05400406,32,-0.01373481,0.01373481,16
Prothrombin time_last10%_min,0.08157999,10,0.09445066,11,0.012870669,0.012870669,1
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.040227674,45,0.05223796,33,0.0120102875,0.0120102875,-12
White blood cell count_last10%_min,0.11731511,6,0.12863363,6,0.01131852,0.01131852,0
Respiratory rate_last25%_mean,0.110708915,7,0.09974288,10,-0.010966033,0.010966033,3
Heart Rate_last10%_mean,0.067325346,18,0.056525238,29,-0.010800108,0.010800108,11
Glascow coma scale motor response_last10%_max,0.18614075,2,0.19646572,3,0.01032497,0.01032497,1
Hemoglobin_full_max,0.071540914,14,0.081801474,15,0.01026056,0.01026056,1
Temperature_full_max,0.078320846,11,0.0885335,13,0.010212652,0.010212652,2
Glascow coma scale verbal response_last10%_min,0.45186,1,0.44253284,1,-0.009327173,0.009327173,0
Glascow coma scale eye opening_last25%_max,0.050107226,33,0.041066892,46,-0.009040333,0.009040333,13
Hemoglobin_full_std,0.04040751,44,0.031778663,59,-0.008628845,0.008628845,15
Hematocrit_full_mean,0.014350033,110,0.022479283,88,0.008129249,0.008129249,-22
Temperature_full_min,0.072885066,13,0.080611475,16,0.0077264085,0.0077264085,3
Glascow coma scale eye opening_full_mean,0.040781036,43,0.033093162,55,-0.007687874,0.007687874,12
Creatinine_last10%_min,0.18604447,3,0.19369073,4,0.0076462626,0.0076462626,1
Lactate_last25%_min,0.033578955,57,0.041163873,44,0.0075849183,0.0075849183,-13
Glascow coma scale motor response_last25%_max,0.10044609,8,0.10802442,9,0.0075783283,0.0075783283,1
Oxygen saturation_full_min,0.052389525,29,0.044970326,42,-0.0074191988,0.0074191988,13
Prothrombin time_full_max,0.026184265,70,0.03343294,53,0.0072486736,0.0072486736,-17
Hemoglobin_full_min,0.008055156,144,0.015288705,107,0.007233549,0.007233549,-37
ICU_Neuro Intermediate,0.03618515,52,0.02925308,64,-0.0069320686,0.0069320686,12
Hematocrit_last10%_min,0.03405934,56,0.027297417,71,-0.0067619216,0.0067619216,15
Glascow coma scale motor response_last25%_min,0.13473395,5,0.1281358,7,-0.006598145,0.006598145,2
pH_last10%_std,0.018503519,94,0.011985058,121,-0.006518461,0.006518461,27
Diastolic blood pressure_last10%_mean,0.06447325,19,0.05808955,28,-0.0063836984,0.0063836984,9
Glucose_last10%_min,0.045745403,36,0.052044537,34,0.0062991343,0.0062991343,-2
Prothrombin time_full_min,0.05326883,28,0.05949071,26,0.0062218793,0.0062218793,-2
Potassium_last10%_min,0.051628023,31,0.045513727,40,-0.0061142966,0.0061142966,9
Creatinine_full_max,0.016580172,99,0.022690218,86,0.006110046,0.006110046,-13
Sodium_last25%_std,0.004859629,159,0.010739813,131,0.0058801835,0.0058801835,-28
Systolic blood pressure_last25%_std,0.009462239,138,0.015310162,106,0.0058479225,0.0058479225,-32
Glucose_full_min,0.030684363,63,0.036367733,51,0.00568337,0.00568337,-12
Heart Rate_last25%_mean,0.054438636,26,0.048762936,36,-0.0056756996,0.0056756996,10
Heart Rate_last25%_min,0.023608038,77,0.018024314,94,-0.005583724,0.005583724,17
Glascow coma scale motor response_full_mean,0.021425296,86,0.015866803,105,-0.0055584926,0.0055584926,19
Hematocrit_full_std,0.03820925,48,0.032912698,56,-0.0052965507,0.0052965507,8
