Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.4619899023347932
Weight_full_min,0.3272681267358341
Glascow coma scale motor response_last10%_min,0.20327773777229347
Weight_full_mean,0.2005831868171426
Glascow coma scale verbal response_full_mean,0.1553723451794688
Glascow coma scale motor response_full_std,0.1389113119334673
Respiratory rate_last25%_mean,0.13082385180275527
White blood cell count_last10%_min,0.12252697375336125
Lactate_last10%_min,0.11926273814571445
Diastolic blood pressure_last10%_min,0.10952846067708212
Creatinine_last10%_min,0.1056518664629319
Glascow coma scale eye opening_last10%_min,0.10394669305923282
Fraction inspired oxygen_last10%_min,0.09226631980981247
Glascow coma scale verbal response_full_max,0.08934266639464669
Glucose_full_min,0.08579610815075657
Glascow coma scale eye opening_last10%_max,0.08576536614836543
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.08568276442925025
Heart Rate_last10%_min,0.08444362843647052
Glascow coma scale verbal response_full_std,0.08386048568557335
Heart Rate_last10%_max,0.0819019025305983
Temperature_last10%_min,0.08150737657946136
Potassium_last10%_min,0.07239832672094997
Hemoglobin_full_std,0.07093750143960281
Glascow coma scale motor response_full_max,0.0707849641527777
Hematocrit_full_max,0.06977064632392158
White blood cell count_full_min,0.06509430449443411
Prothrombin time_last10%_min,0.0648431131891555
White blood cell count_full_std,0.06362979180496908
Temperature_last25%_min,0.062365054048673145
Glascow coma scale motor response_full_min,0.0597065900822111
Diastolic blood pressure_last25%_min,0.0574291803764189
Bilirubin_full_min,0.05742445429498238
Fraction inspired oxygen_last10%_max,0.05589321530478089
Platelets_full_min,0.05582945823064389
Fraction inspired oxygen_full_max,0.05388547074856173
Glascow coma scale motor response_full_mean,0.05098548101514467
Lactate_full_min,0.04927791264707778
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.04809379162632458
Respiratory rate_full_min,0.047111762532144684
Systolic blood pressure_full_mean,0.04567000401072702
Sodium_full_min,0.04493593596859323
Diastolic blood pressure_full_min,0.04408276886293105
Weight_full_max,0.042840541508455746
Creatinine_full_min,0.04106130767455241
Respiratory rate_last10%_mean,0.04103097594264722
Oxygen saturation_full_min,0.04092276323908287
Prothrombin time_full_mean,0.04011691379711254
Systolic blood pressure_last25%_min,0.038063367815225256
Sodium_full_max,0.037820294091824254
Sodium_full_mean,0.036723795121389735
Oxygen saturation_last10%_min,0.035182464244668206
Potassium_full_min,0.03467948828545518
Prothrombin time_full_min,0.033225650282788864
Fraction inspired oxygen_last25%_max,0.032803041695878735
Prothrombin time_full_max,0.03064403411780129
Systolic blood pressure_last10%_std,0.030058343198735776
Lactate_full_mean,0.029483574207223057
Sodium_last10%_min,0.027970976176333477
Oxygen saturation_last25%_min,0.02763961035896158
Glascow coma scale motor response_last10%_std,0.02661634413998445
