Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.40856089398321094
Glascow coma scale motor response_last10%_min,0.16661604523818394
Glascow coma scale motor response_full_std,0.13844229455850782
Glascow coma scale verbal response_full_mean,0.13722934018192684
White blood cell count_last10%_min,0.1268620282793079
Respiratory rate_last25%_mean,0.12442976394043617
Diastolic blood pressure_last10%_min,0.11522688995066446
Lactate_last10%_min,0.10441812470038812
Glascow coma scale eye opening_last10%_min,0.09645318625168817
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.09548359943914106
Heart Rate_last10%_max,0.08802248714633651
Heart Rate_last10%_min,0.08703010589478176
Glascow coma scale verbal response_full_std,0.0842964065164563
Systolic blood pressure_full_max,0.08274736337922657
Glascow coma scale verbal response_full_max,0.07525386292777592
Hemoglobin_full_std,0.07519361687649456
Glascow coma scale eye opening_last10%_max,0.07463398965602541
Fraction inspired oxygen_last10%_min,0.07356925791890766
Creatinine_last10%_min,0.07350935043152629
Potassium_last10%_min,0.072274023240621
Temperature_last10%_min,0.07190016777294062
Glucose_full_min,0.07012129405161147
White blood cell count_full_min,0.06937060878611653
Systolic blood pressure_full_mean,0.06821684718208632
White blood cell count_full_std,0.06414550430659424
Diastolic blood pressure_last25%_min,0.06321701860804341
Temperature_last25%_min,0.05855752038010866
Glascow coma scale motor response_full_min,0.0582375965795246
Platelets_full_min,0.058000008215047597
Glascow coma scale motor response_full_max,0.055487861011266085
Prothrombin time_last10%_min,0.05433832824499082
Hematocrit_full_max,0.04962476493836366
Fraction inspired oxygen_full_max,0.0494761776940565
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.04926243516352657
Oxygen saturation_full_min,0.04865687502142984
Fraction inspired oxygen_last10%_max,0.04682899629686757
Bilirubin_full_min,0.04512005008246961
Sodium_full_min,0.045067372503526375
Lactate_full_min,0.043092819319431215
Glascow coma scale motor response_full_mean,0.04165033902180391
Diastolic blood pressure_full_min,0.04070599576079694
Respiratory rate_full_min,0.03983272195102696
Systolic blood pressure_last25%_min,0.03836011249379702
Sodium_full_max,0.03831137491790193
Respiratory rate_last10%_mean,0.03762436612299116
Oxygen saturation_last10%_min,0.036516212363801155
Sodium_full_mean,0.03645971642279143
Prothrombin time_full_mean,0.03566111964425444
Weight_full_min,0.03375175778105635
Creatinine_full_min,0.033362954099271015
Prothrombin time_full_min,0.02993510026360692
Potassium_full_min,0.029922147405830227
Oxygen saturation_last25%_min,0.029532811572883826
Sodium_last10%_min,0.028990114038191083
Prothrombin time_full_max,0.028687753155110674
Systolic blood pressure_last10%_std,0.027990676304164432
Fraction inspired oxygen_last25%_max,0.027237538057855983
White blood cell count_full_max,0.02699168875601062
Platelets_last25%_std,0.026343367126962676
Lactate_full_mean,0.025749396270611298
Systolic blood pressure_last10%_max,0.025174870321035697
Systolic blood pressure_full_min,0.023715660479673918
White blood cell count_last25%_std,0.02363768373780428
Glascow coma scale motor response_last10%_std,0.022902389740108022
Hematocrit_last25%_std,0.022768141528357995
Glascow coma scale verbal response_full_min,0.021888319855572973
Weight_full_mean,0.020622798139918592
Glascow coma scale eye opening_last25%_std,0.019685384965353086
Glascow coma scale eye opening_full_min,0.019458450288853943
ICU_Medical Intensive Care Unit (MICU),0.019366426914252752
Glascow coma scale eye opening_full_max,0.019359929701858295
Prothrombin time_full_std,0.01880898481118245
Potassium_full_mean,0.018632291243233214
Fraction inspired oxygen_full_mean,0.01842664040693878
Potassium_full_max,0.01661923387981564
Glascow coma scale verbal response_last10%_std,0.015853305624752307
Glascow coma scale eye opening_full_std,0.015677015851749285
Heart Rate_full_mean,0.014875917969134208
Glascow coma scale eye opening_last10%_std,0.014757796122694141
Lactate_full_max,0.014691776182588517
Hemoglobin_last25%_std,0.014396763453779032
Creatinine_full_std,0.014205113505353448
Lactate_full_std,0.014201973384164695
Sodium_full_std,0.014032608072914237
Glascow coma scale eye opening_full_mean,0.013926382640817482
ICU_Neuro Intermediate,0.012327462774209276
Systolic blood pressure_last25%_max,0.011732460237918197
Respiratory rate_last25%_min,0.011695134919757289
Fraction inspired oxygen_full_min,0.009978852359463893
ICU_Surgical Intensive Care Unit (SICU),0.00985314476886741
Hematocrit_full_std,0.008962201589268338
Respiratory rate_last10%_min,0.008107840587236593
Platelets_full_std,0.008021957716574797
Heart Rate_last10%_std,0.008002166091364565
Lactate_last25%_std,0.007966449877185078
Glascow coma scale verbal response_last25%_std,0.0072450426434759446
Glascow coma scale motor response_last25%_std,0.0064568020583648175
Respiratory rate_last10%_max,0.006333439390222041
Hematocrit_full_min,0.006112828909222929
Systolic blood pressure_last25%_std,0.005813892854899411
Diastolic blood pressure_full_max,0.00565420928129955
Systolic blood pressure_last10%_min,0.00492461136106626
Mean blood pressure_last25%_min,0.004771237520826731
Weight_last10%_std,0.0047683505909745195
Weight_full_max,0.004645030237734379
Temperature_full_min,0.0038557330561840644
ICU_Coronary Care Unit (CCU),0.0033644265798855196
Heart Rate_full_min,0.003360763654734213
Sodium_last25%_std,0.003302500973171508
ICU_Trauma SICU (TSICU),0.0029466791777214077
Diastolic blood pressure_last10%_max,0.002679739809994068
Respiratory rate_last25%_max,0.0024321789490557954
Hematocrit_last10%_std,0.0023880392154491995
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0022469456855606805
Bilirubin_full_std,0.0022281972106672015
Weight_last25%_std,0.0018653463148025776
Heart Rate_last25%_max,0.001769162291560985
Potassium_full_std,0.0017490699280927956
Temperature_last25%_max,0.001730476413959057
Glucose_last10%_min,0.001654403347196484
Diastolic blood pressure_last10%_mean,0.001556199083224283
Mean blood pressure_last10%_min,0.0013998460748531288
Platelets_last10%_std,0.0011756285590984279
White blood cell count_last10%_std,0.001155478740213133
Temperature_last10%_max,0.0008082847253825874
Glucose_last25%_max,0.0007079979952771281
Oxygen saturation_full_max,0.0006010716664950449
Height_full_min,0.0005678343323817418
Heart Rate_full_max,0.0004450489361623192
Temperature_full_max,0.00043134230920308596
pH_full_mean,0.0004144186699657133
ICU_Neuro Stepdown,0.00041023246186344366
Glucose_last25%_mean,0.0003669096845235987
Glucose_full_max,0.00033672267574936946
Mean blood pressure_last10%_max,0.00032987137677997275
pH_full_max,0.0003070946500572178
Glucose_full_mean,0.0003050946529494834
Glucose_last10%_max,0.00024478940117880505
Diastolic blood pressure_last25%_max,0.0002014903507994031
Sodium_last10%_std,0.00010384026542532416
Mean blood pressure_full_min,8.798431093069055e-05
pH_last10%_max,4.7025734140738386e-05
pH_last10%_min,4.598120960388571e-05
pH_last25%_min,3.9275261197414405e-05
Oxygen saturation_last10%_max,2.6018683978732394e-05
Glucose_last10%_std,2.4968595209900385e-05
pH_last25%_std,1.4138210825356305e-05
pH_last10%_std,3.998794108237503e-06
pH_full_min,3.7349061925218824e-06
Respiratory rate_full_max,1.4713630735668815e-06
ICU_Surgery/Vascular/Intermediate,1.1897041190037448e-06
Oxygen saturation_last25%_max,3.46125380883847e-07
ICU_Intensive Care Unit (ICU),0.0
ICU_Medicine,0.0
ICU_Neurology,0.0
ICU_PACU,0.0
ICU_Surgery/Trauma,0.0
