Feature,Reference,HighWeight,ReferenceRank,HighRank
Glascow coma scale verbal response_last10%_min,0.020244102509460047,0.014990332004663095,1.0,1.0
White blood cell count_last10%_min,0.005000980721691952,0.004642842565859829,2.0,4.0
Respiratory rate_last25%_mean,0.004496370784108211,0.002819488189702074,3.0,12.0
White blood cell count_full_min,0.004040085135670935,0.003502442253486856,4.0,7.0
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0036800210186665153,0.002731299229245737,5.0,13.0
Glascow coma scale motor response_last25%_max,0.0035410847884155194,0.0034342518165411877,6.0,9.0
Diastolic blood pressure_last10%_min,0.003405199136247268,0.002879376417415394,7.0,11.0
Hemoglobin_full_max,0.003393005340624349,0.003927754534647566,8.0,6.0
Creatinine_last10%_min,0.0031575494221885822,0.004553885133422616,9.0,5.0
Potassium_last10%_min,0.0028763250951439096,0.0020387364907458916,10.0,21.0
Platelets_last10%_min,0.0028235471118435765,0.003449988011682375,11.0,8.0
Fraction inspired oxygen_last10%_max,0.002591237130781356,0.002909950735610091,12.0,10.0
Bilirubin_full_min,0.0024472606214312846,0.002020861685961308,13.0,22.0
Systolic blood pressure_full_mean,0.002057105356741529,0.0018929950932409275,14.0,25.0
Fraction inspired oxygen_full_mean,0.001987587569465414,0.0016045925173400583,15.0,35.0
Glascow coma scale motor response_last25%_min,0.0019367184895574723,0.001813021669750121,16.0,28.0
Oxygen saturation_last10%_min,0.0018384111079824122,0.0006112002622985555,17.0,138.0
Prothrombin time_last10%_min,0.0017203621479747796,0.0015087424919666172,18.0,40.0
Sodium_full_min,0.001620351552903638,0.001397290150640629,19.0,47.0
Glascow coma scale motor response_full_max,0.0016109625596163542,0.0023681816082205833,20.0,15.0
Potassium_full_min,0.0016016252136531253,0.0021107001799038324,21.0,18.0
Hemoglobin_full_std,0.0015962559206802705,0.0006969457281635632,22.0,123.0
Sodium_full_max,0.0015859758907478844,0.0005272290220274919,23.0,148.0
Glascow coma scale motor response_last10%_max,0.0015355633277915235,0.0012593120861288116,24.0,56.0
Glascow coma scale motor response_last10%_min,0.0014791086473405703,0.0013873456274748062,25.0,48.0
Hemoglobin_full_mean,0.0014355664413281857,0.0019516273815318385,26.0,23.0
Lactate_last25%_min,0.0014209095357147036,0.002132128138728864,27.0,17.0
Diastolic blood pressure_last25%_min,0.0013984196699223818,0.0018402632097212544,28.0,26.0
Temperature_full_min,0.0013912218218557822,0.0007551293469418871,29.0,115.0
Heart Rate_full_mean,0.0013783666221397575,0.0020697263349336863,30.0,20.0
Heart Rate_full_min,0.0013396694829544192,0.0010806925049265759,31.0,76.0
Diastolic blood pressure_last10%_mean,0.001319661036951213,0.0015548806176799179,32.0,38.0
Sodium_full_std,0.001316858307319938,0.0015726836906064707,33.0,37.0
Lactate_full_mean,0.0012969873092530811,0.0007747307398505088,34.0,109.0
Oxygen saturation_full_min,0.0012780914721991987,0.0009197429701424411,35.0,94.0
Glascow coma scale motor response_full_std,0.0012715052727370194,0.0014670497443051908,36.0,41.0
Glascow coma scale verbal response_full_mean,0.00126851120269004,0.0012329625469135724,37.0,61.0
ICU_Neuro Intermediate,0.0012573226421185655,0.0014309095532572533,38.0,45.0
Temperature_last10%_min,0.001244015068629835,0.000967686001830056,39.0,88.0
Glascow coma scale eye opening_last25%_min,0.0012329457759253193,0.0008439122006239746,40.0,101.0
White blood cell count_last25%_std,0.0012232250102366372,0.0007632663148271492,41.0,112.0
Glascow coma scale eye opening_last10%_min,0.0012218307153888668,0.0024001603460401064,42.0,14.0
Platelets_full_mean,0.0012176352291905215,0.0012216360536280988,43.0,63.0
Mean blood pressure_last10%_min,0.0012159731636266229,0.0006979798790059515,44.0,122.0
Lactate_full_min,0.0012124472633285505,0.0017087715448751344,45.0,29.0
