Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.020244102509460047
White blood cell count_last10%_min,0.005000980721691952
Respiratory rate_last25%_mean,0.004496370784108211
White blood cell count_full_min,0.004040085135670935
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0036800210186665153
Glascow coma scale motor response_last25%_max,0.0035410847884155194
Diastolic blood pressure_last10%_min,0.003405199136247268
Hemoglobin_full_max,0.003393005340624349
Creatinine_last10%_min,0.0031575494221885822
Potassium_last10%_min,0.0028763250951439096
Platelets_last10%_min,0.0028235471118435765
Fraction inspired oxygen_last10%_max,0.002591237130781356
Bilirubin_full_min,0.0024472606214312846
Systolic blood pressure_full_mean,0.002057105356741529
Fraction inspired oxygen_full_mean,0.001987587569465414
Glascow coma scale motor response_last25%_min,0.0019367184895574723
Oxygen saturation_last10%_min,0.0018384111079824122
Prothrombin time_last10%_min,0.0017203621479747796
Sodium_full_min,0.001620351552903638
Glascow coma scale motor response_full_max,0.0016109625596163542
Potassium_full_min,0.0016016252136531253
Hemoglobin_full_std,0.0015962559206802705
Sodium_full_max,0.0015859758907478844
Glascow coma scale motor response_last10%_max,0.0015355633277915235
Glascow coma scale motor response_last10%_min,0.0014791086473405703
Hemoglobin_full_mean,0.0014355664413281857
Lactate_last25%_min,0.0014209095357147036
Diastolic blood pressure_last25%_min,0.0013984196699223818
Temperature_full_min,0.0013912218218557822
Heart Rate_full_mean,0.0013783666221397575
Heart Rate_full_min,0.0013396694829544192
Diastolic blood pressure_last10%_mean,0.001319661036951213
Sodium_full_std,0.001316858307319938
Lactate_full_mean,0.0012969873092530811
Oxygen saturation_full_min,0.0012780914721991987
Glascow coma scale motor response_full_std,0.0012715052727370194
Glascow coma scale verbal response_full_mean,0.00126851120269004
ICU_Neuro Intermediate,0.0012573226421185655
Temperature_last10%_min,0.001244015068629835
Glascow coma scale eye opening_last25%_min,0.0012329457759253193
White blood cell count_last25%_std,0.0012232250102366372
Glascow coma scale eye opening_last10%_min,0.0012218307153888668
Platelets_full_mean,0.0012176352291905215
Mean blood pressure_last10%_min,0.0012159731636266229
Lactate_full_min,0.0012124472633285505
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0012034924842172442
Lactate_last10%_min,0.0011871745254780942
Heart Rate_last25%_mean,0.0011526588564448295
ICU_Surgical Intensive Care Unit (SICU),0.0011498804675317094
Oxygen saturation_last25%_min,0.0011460967198045008
White blood cell count_full_std,0.0011353266238046016
Temperature_last25%_min,0.0011300239336216903
Prothrombin time_full_max,0.001101853491693289
Diastolic blood pressure_full_mean,0.0011006116560188964
Hematocrit_last10%_min,0.0010959055083603567
Glucose_full_min,0.001094573257717183
Hematocrit_last10%_std,0.001065765115714685
Respiratory rate_last10%_mean,0.0010655262556849914
Systolic blood pressure_last10%_min,0.0010644052928920457
Platelets_full_max,0.0010583773969582342
Hemoglobin_full_min,0.0010561846329314583
Diastolic blood pressure_full_min,0.0010380650769282029
Sodium_last10%_min,0.0010307329599848916
