Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.013028834943563336
Glascow coma scale motor response_last10%_min,0.012662974466540196
Glascow coma scale motor response_last10%_max,0.011532286698428608
Glascow coma scale motor response_last25%_max,0.011285255112533298
Glascow coma scale motor response_last25%_min,0.011056353338840566
Creatinine_last10%_min,0.007652402897667243
Glascow coma scale eye opening_last10%_min,0.006951568976453938
Glascow coma scale motor response_full_max,0.0068238294130487445
Creatinine_full_mean,0.006364884384966346
Glascow coma scale eye opening_last25%_max,0.0061668082389504065
Glascow coma scale eye opening_last10%_max,0.00570513440705109
Prothrombin time_last10%_min,0.005545824769016887
Glascow coma scale verbal response_full_mean,0.005417170284773345
Glascow coma scale motor response_full_mean,0.004997019612263251
Creatinine_full_min,0.004824826618754392
Prothrombin time_full_min,0.0047607587281675795
Glascow coma scale verbal response_full_max,0.004658680851527272
Prothrombin time_full_mean,0.004458386498853001
Creatinine_full_max,0.0043213259635020715
Glascow coma scale eye opening_full_max,0.0041328679099840605
Glascow coma scale eye opening_last25%_min,0.0036989685795714524
Prothrombin time_full_max,0.003645945010625298
Bilirubin_full_min,0.003360850072745331
White blood cell count_last10%_min,0.0033006170524287385
Respiratory rate_last25%_mean,0.0031542384346187995
White blood cell count_full_min,0.0028553122524997833
Fraction inspired oxygen_last10%_max,0.0028414505155108685
Glascow coma scale eye opening_full_mean,0.0028334345665418236
Fraction inspired oxygen_last25%_min,0.002582200038187876
Diastolic blood pressure_last10%_mean,0.0025717551065477856
Fraction inspired oxygen_last25%_max,0.0025128098984925837
Systolic blood pressure_last25%_min,0.0024537531773269642
Fraction inspired oxygen_last10%_min,0.0024195767233737876
Oxygen saturation_last25%_min,0.002317281729990583
Systolic blood pressure_last25%_mean,0.002300360844136095
Diastolic blood pressure_last25%_mean,0.002294560146110534
Respiratory rate_last10%_mean,0.002229475041339565
Fraction inspired oxygen_full_mean,0.002190138592952141
Lactate_last10%_min,0.0021623989424908326
Respiratory rate_last10%_min,0.0021111416464445784
Oxygen saturation_full_min,0.0021079883126831
Systolic blood pressure_full_mean,0.0020942731338891006
Temperature_last25%_min,0.0020811251211597793
Systolic blood pressure_full_min,0.0020692480041089277
Diastolic blood pressure_last10%_max,0.002046460761513354
Heart Rate_last25%_mean,0.002019397308806269
Systolic blood pressure_last10%_mean,0.002011429479467317
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.0019576765567747823
Weight_full_max,0.0019552015673696267
Lactate_last25%_min,0.0019101700602263292
Temperature_last10%_min,0.0018345327406670785
Heart Rate_last10%_mean,0.0018088468822424445
Systolic blood pressure_last10%_min,0.0018027341357485147
Oxygen saturation_last10%_min,0.0017736833379301694
pH_full_mean,0.00177120894907341
Diastolic blood pressure_last10%_min,0.001756881658605953
Weight_full_mean,0.0017497989238897584
Glucose_full_min,0.0017265350475824633
Glascow coma scale eye opening_last10%_std,0.0017147735128340313
Glascow coma scale motor response_full_std,0.0016299877949190326
Lactate_last25%_max,0.001607727621968539
Glascow coma scale motor response_full_min,0.001587376618687531
Glucose_last25%_mean,0.0015808596415702366
Glascow coma scale eye opening_full_min,0.0015725733670744555
Respiratory rate_last25%_min,0.0015589806732452774
Hemoglobin_full_max,0.0015362587034434276
Glucose_last10%_min,0.0015073927370939958
Temperature_last25%_max,0.0014972338688640763
Mean blood pressure_last25%_min,0.001488343581648456
Glucose_last10%_mean,0.0014807024011798
Bilirubin_full_std,0.0014775853891639242
Diastolic blood pressure_last25%_min,0.0014759403482550262
Mean blood pressure_full_min,0.0014678588897330384
Fraction inspired oxygen_full_min,0.001450173608843047
Respiratory rate_full_max,0.0014303182242655314
Heart Rate_last25%_max,0.001416364346322209
Mean blood pressure_last10%_min,0.0013946709408300087
Heart Rate_full_max,0.0013757509402286105
Systolic blood pressure_last10%_max,0.0013732568848531653
Temperature_full_min,0.0013682423910772652
Glascow coma scale verbal response_full_std,0.001356908224408991
Weight_full_min,0.0013518169502382072
White blood cell count_full_max,0.0013477302802812484
Diastolic blood pressure_full_min,0.0013328195004064366
Platelets_full_mean,0.0013243053938605208
Systolic blood pressure_last25%_max,0.0013219113946246843
Hemoglobin_full_mean,0.0013188311278614889
Diastolic blood pressure_last25%_max,0.0012965470591668128
Mean blood pressure_last10%_max,0.0012957695999897447
Platelets_full_max,0.0012792729041759018
Oxygen saturation_last10%_max,0.0012775625460323032
Platelets_last10%_min,0.0012652839474442418
Diastolic blood pressure_full_mean,0.0012651299693314825
Glascow coma scale eye opening_full_std,0.0012616707087061124
Temperature_full_max,0.0012530366410823598
Respiratory rate_last25%_max,0.0012429039486353479
Hematocrit_full_max,0.0012355204367276247
Heart Rate_full_mean,0.0012351087521243864
Creatinine_full_std,0.0012161126423737318
Sodium_full_max,0.0012052779457294794
Heart Rate_last10%_min,0.0011938799243637933
Glucose_full_mean,0.0011907223630467604
Potassium_last25%_max,0.0011791466237969675
pH_full_min,0.0011692521256672671
Lactate_full_min,0.0011669729840757823
Potassium_last10%_min,0.001147194790368128
Temperature_last10%_max,0.001142923461878122
pH_last10%_max,0.0011223923088602894
pH_last25%_min,0.0011115578683236155
Platelets_full_min,0.0011023346788690707
Hematocrit_full_std,0.001097511555142804
Hemoglobin_full_std,0.001094606739222539
Heart Rate_last10%_max,0.0010766693091817654
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0010542661625551502
Glucose_last10%_max,0.0010470089487761849
Hematocrit_full_mean,0.0010461489185122263
pH_last10%_min,0.0010293895415614076
Respiratory rate_last10%_max,0.0010238769137665771
Potassium_last25%_min,0.0010068136412482928
Heart Rate_last25%_min,0.0010056929818990632
Glascow coma scale verbal response_full_min,0.0010014437522404824
Potassium_full_mean,0.0009715004328433961
Heart Rate_full_min,0.0009560942795064181
Glascow coma scale motor response_last25%_std,0.0009371803357465471
pH_last10%_mean,0.0009196220315303874
White blood cell count_last25%_std,0.0009099185213731618
Sodium_full_min,0.0008996325387732089
pH_full_max,0.0008990665801925486
Sodium_full_mean,0.0008813080840223184
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0008768121467528922
Respiratory rate_full_min,0.0008738839115484131
Glucose_last25%_max,0.0008601581459546879
Glascow coma scale eye opening_last25%_std,0.0008598250665809594
Platelets_full_std,0.0007975609814845596
Hematocrit_last10%_min,0.000784823791756102
Sodium_last10%_min,0.0007827320851873992
Hematocrit_full_min,0.0007667057100032583
Systolic blood pressure_full_max,0.0007665583455002159
Potassium_full_min,0.0007637412685289782
Oxygen saturation_last25%_max,0.0007580446567970992
Systolic blood pressure_last25%_std,0.0007377125841148488
Heart Rate_last25%_std,0.0007341457646011188
Systolic blood pressure_last10%_std,0.0006915753539168176
Heart Rate_last10%_std,0.0006888832759012067
Prothrombin time_full_std,0.0006879973356969576
White blood cell count_full_std,0.0006860845214108428
Hemoglobin_full_min,0.0006846826301456634
Diastolic blood pressure_full_max,0.0006636474580260246
Fraction inspired oxygen_full_max,0.000661281344628942
Platelets_last25%_std,0.0006184362563141234
Glucose_full_max,0.0005862236680239138
Glucose_last25%_std,0.0005715555795152968
Potassium_full_max,0.0005703831155479705
Lactate_full_mean,0.0005594525227594153
Lactate_full_max,0.0005353932572521396
ICU_Medical Intensive Care Unit (MICU),0.0005259309482530686
Potassium_full_std,0.0005175026638772423
Sodium_last25%_std,0.0004895594288212923
Sodium_full_std,0.0004842766214039336
pH_full_std,0.00044652347726108503
Oxygen saturation_full_max,0.00043688830834823445
Sodium_last10%_std,0.0003800516035847129
pH_last25%_std,0.00037295455383288927
Lactate_full_std,0.00032524849312349683
Hemoglobin_last25%_std,0.0003012568445509994
Weight_last25%_std,0.00027662078370110823
pH_last10%_std,0.0002702558877640535
Lactate_last25%_std,0.0002678866243591583
Glascow coma scale verbal response_last25%_std,0.00025346864499918223
Glucose_last10%_std,0.00024947391235715684
Glascow coma scale motor response_last10%_std,0.00024121001239658154
Hematocrit_last25%_std,0.00023814339668755063
ICU_Coronary Care Unit (CCU),0.0001875094427030723
Weight_last10%_std,0.00018082005666903534
ICU_Neuro Intermediate,0.00017974008700422336
ICU_Surgical Intensive Care Unit (SICU),0.00016777838775839797
Glascow coma scale verbal response_last10%_std,0.00012162818332066886
ICU_Trauma SICU (TSICU),0.00010260085867380076
