Feature,MeanAbsSHAP
Glascow coma scale motor response_last10%_min,0.011516180280831482
Glascow coma scale verbal response_last10%_min,0.011232869387957138
Glascow coma scale motor response_last10%_max,0.010316596633180594
Glascow coma scale motor response_last25%_min,0.00993061494385406
Glascow coma scale motor response_last25%_max,0.009914979872430743
Creatinine_last10%_min,0.006588040009395635
Glascow coma scale eye opening_last10%_min,0.006287783190250718
Glascow coma scale motor response_full_max,0.006262058138605639
Glascow coma scale eye opening_last25%_max,0.00582743888369686
Creatinine_full_mean,0.005571396864368874
Glascow coma scale eye opening_last10%_max,0.005431752153415595
Glascow coma scale verbal response_full_mean,0.004738974569021386
Creatinine_full_min,0.004287136879512365
Prothrombin time_last10%_min,0.004275707596266071
Glascow coma scale verbal response_full_max,0.004264293701721867
Creatinine_full_max,0.004024841536552443
Glascow coma scale motor response_full_mean,0.003937800681337414
Glascow coma scale eye opening_full_max,0.0038667092428467578
Prothrombin time_full_min,0.003740009405519949
Prothrombin time_full_mean,0.0035585148925292524
Glascow coma scale eye opening_last25%_min,0.0034156779437411354
Prothrombin time_full_max,0.0029819322543158796
Respiratory rate_last25%_mean,0.0029376077746700465
White blood cell count_last10%_min,0.0028772575433688554
Glascow coma scale eye opening_full_mean,0.002693806613082311
Diastolic blood pressure_last10%_mean,0.0025313932219760025
Systolic blood pressure_last25%_min,0.0024468496654107144
Bilirubin_full_min,0.0024193883431175753
Diastolic blood pressure_last25%_mean,0.0024076808721879023
Fraction inspired oxygen_last10%_max,0.0023892778649020033
White blood cell count_full_min,0.002384953913796539
Temperature_last25%_min,0.0023087143777265097
Systolic blood pressure_last25%_mean,0.002245518324873315
Oxygen saturation_full_min,0.0022184850070184874
Respiratory rate_last10%_mean,0.002183620931879752
Oxygen saturation_last25%_min,0.002174506803224264
Heart Rate_last25%_mean,0.002168425438988581
Systolic blood pressure_full_mean,0.0021672161760513363
Fraction inspired oxygen_last25%_min,0.0021227538285954477
Diastolic blood pressure_last10%_max,0.002052962230770221
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.00204107929688511
Fraction inspired oxygen_last25%_max,0.0020193716339302926
Fraction inspired oxygen_last10%_min,0.0020012802528244548
Systolic blood pressure_last10%_mean,0.0019780067347904226
Respiratory rate_last10%_min,0.0019738826938128172
Heart Rate_last10%_mean,0.0018915158156392999
Fraction inspired oxygen_full_mean,0.0018590461381093161
Temperature_last10%_min,0.0018409048522447754
Systolic blood pressure_last10%_min,0.0018184644898680896
Systolic blood pressure_full_min,0.001769826460696384
Glascow coma scale eye opening_last10%_std,0.0016942867364265453
Lactate_last10%_min,0.0016775451956483791
Oxygen saturation_last10%_min,0.0016275751187590246
pH_full_mean,0.0016275264152103188
Hemoglobin_full_max,0.001601240681973605
Diastolic blood pressure_last10%_min,0.001580257553313177
Glascow coma scale motor response_full_min,0.001571185560078652
Temperature_last25%_max,0.0015438989422148892
Glucose_full_min,0.001527686144680963
Temperature_full_min,0.0015264364523277108
Glascow coma scale eye opening_full_min,0.0015061719832232835
Lactate_last25%_min,0.0014993544271541853
Respiratory rate_full_max,0.0014881619996628501
Glascow coma scale motor response_full_std,0.0014317379885536614
Respiratory rate_last25%_min,0.0014268663810698926
Lactate_last25%_max,0.0014214834541860903
Platelets_last10%_min,0.001421341507514013
Diastolic blood pressure_last25%_max,0.0014061540402812525
Platelets_full_mean,0.001392626916889968
Heart Rate_last25%_max,0.0013874073729961448
Platelets_full_max,0.0013751071280210375
Diastolic blood pressure_full_mean,0.0013620248079527213
Mean blood pressure_last10%_min,0.0013602262605101187
Respiratory rate_last25%_max,0.0013532127121188358
Glucose_last25%_mean,0.0013412832165027794
Heart Rate_full_max,0.0013353637318424426
Glascow coma scale verbal response_full_std,0.0013219449179187857
Glucose_last10%_min,0.0013162328268373296
Mean blood pressure_last25%_min,0.0012954924299258617
Platelets_full_min,0.0012939684978105276
Diastolic blood pressure_last25%_min,0.0012883892642667433
Glucose_last10%_mean,0.0012856601935071447
Hemoglobin_full_mean,0.001234758964362873
Temperature_last10%_max,0.0012281459231469464
Temperature_full_max,0.0012068731134663928
White blood cell count_full_max,0.001204704308887992
Mean blood pressure_last10%_max,0.001203489122241663
Glucose_full_mean,0.0011983173162389896
Fraction inspired oxygen_full_min,0.001196005985053492
Diastolic blood pressure_full_min,0.0011907271368334245
pH_full_min,0.0011853329266049042
Systolic blood pressure_last10%_max,0.0011793863739425169
Glascow coma scale eye opening_full_std,0.0011725002795853151
Hematocrit_full_max,0.0011716702866831478
Bilirubin_full_std,0.0011660941473386395
Mean blood pressure_full_min,0.0011568657717733238
Heart Rate_last10%_min,0.0011525438651745071
Heart Rate_last10%_max,0.0011492318943451432
Hematocrit_full_std,0.0011487167814136264
Heart Rate_full_mean,0.0011435612458009982
Systolic blood pressure_last25%_max,0.0011382362698265992
Weight_full_max,0.0011226423287832767
Sodium_full_max,0.001106212069125286
pH_last10%_max,0.0011039547729148412
Respiratory rate_last10%_max,0.0010989658341905649
Hemoglobin_full_std,0.001066788123951556
Creatinine_full_std,0.0010486192043985857
Respiratory rate_full_min,0.0010269355061056807
Heart Rate_last25%_min,0.0010021817101624757
Lactate_full_min,0.0010002436418693238
Glascow coma scale verbal response_full_min,0.0009683385501386053
White blood cell count_last25%_std,0.000963889469534776
pH_last25%_min,0.0009594980371789424
Potassium_last25%_max,0.0009438368866796717
Glucose_last10%_max,0.0009413425109154094
Potassium_last10%_min,0.000936506503652058
Heart Rate_full_min,0.0009298092833687505
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0009132806083320918
Weight_full_mean,0.0009024522411487614
Sodium_full_mean,0.0008796893819694646
pH_last10%_min,0.0008753309462547018
Systolic blood pressure_full_max,0.0008617631102693136
Glascow coma scale eye opening_last25%_std,0.0008597339316758992
Hematocrit_full_mean,0.0008499633458361978
pH_last10%_mean,0.0008295400401935573
Glascow coma scale motor response_last25%_std,0.0008207388003874921
Sodium_full_min,0.0008195673114546773
Weight_full_min,0.0008074723984209955
Platelets_full_std,0.0007958083948050106
pH_full_max,0.0007887338493524
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0007777932193003396
Glucose_last25%_max,0.0007732240197651203
Potassium_last25%_min,0.0007673957189569194
Sodium_last10%_min,0.0007653850849629853
Oxygen saturation_last10%_max,0.0007453171066799522
Diastolic blood pressure_full_max,0.0006955062433483299
Heart Rate_last25%_std,0.0006889808865241778
Systolic blood pressure_last25%_std,0.0006871098933569798
Potassium_full_mean,0.0006868236536950378
Hematocrit_last10%_min,0.0006818258915162151
White blood cell count_full_std,0.0006502802506517871
Fraction inspired oxygen_full_max,0.0006481327928476141
Systolic blood pressure_last10%_std,0.0006229038044538962
Hemoglobin_full_min,0.0006200867166193815
Platelets_last25%_std,0.0006045626525285676
Hematocrit_full_min,0.0005982095113618675
Heart Rate_last10%_std,0.0005953554736582129
Prothrombin time_full_std,0.0005753563097456226
Glucose_full_max,0.000554734326676019
Lactate_full_mean,0.0005379989524389823
Potassium_full_std,0.0005376815927981254
Glucose_last25%_std,0.0005211129639534042
Potassium_full_min,0.0005082095281989486
Potassium_full_max,0.0005048712652933236
Lactate_full_max,0.0004980392141609346
Sodium_full_std,0.00046707769643673433
ICU_Medical Intensive Care Unit (MICU),0.00045333650970203534
Sodium_last25%_std,0.00044583981830582795
pH_full_std,0.00044265423525213186
Oxygen saturation_last25%_max,0.0004073625423564504
pH_last25%_std,0.0003214656512870992
Sodium_last10%_std,0.000320628611879069
Lactate_full_std,0.00031353187597541544
Hemoglobin_last25%_std,0.00030142762229279515
Glascow coma scale verbal response_last25%_std,0.000299895410835056
pH_last10%_std,0.0002773932161005241
Oxygen saturation_full_max,0.0002503184802092694
Lactate_last25%_std,0.000248731913901062
Hematocrit_last25%_std,0.0002427221551219934
Glucose_last10%_std,0.00023204248043826617
Weight_last25%_std,0.0002284157313623313
Glascow coma scale motor response_last10%_std,0.00021558062136913807
ICU_Surgical Intensive Care Unit (SICU),0.00017591863969880977
ICU_Neuro Intermediate,0.00017548600933130052
ICU_Coronary Care Unit (CCU),0.00017439835688172017
White blood cell count_last10%_std,0.00016754968797087755
Weight_last10%_std,0.0001561007480042223
Glascow coma scale verbal response_last10%_std,0.00014031477577886392
ICU_Trauma SICU (TSICU),0.00011714687363604393
Platelets_last10%_std,9.958039322103118e-05
Hematocrit_last10%_std,7.599468268380458e-05
Height_full_min,4.525238908498144e-05
ICU_Surgery/Vascular/Intermediate,3.607904625333503e-06
ICU_Neuro Stepdown,2.1057527030185584e-06
ICU_Intensive Care Unit (ICU),1.086868903232229e-06
ICU_Medicine,0.0
ICU_Neurology,0.0
ICU_PACU,0.0
ICU_Surgery/Trauma,0.0
