Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.44253284
Weight_full_max,0.22723368
Glascow coma scale motor response_last10%_max,0.19646572
Creatinine_last10%_min,0.19369073
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.14404328
White blood cell count_last10%_min,0.12863363
Glascow coma scale motor response_last25%_min,0.1281358
Weight_full_mean,0.114378385
Glascow coma scale motor response_last25%_max,0.10802442
Respiratory rate_last25%_mean,0.09974288
Prothrombin time_last10%_min,0.09445066
Weight_full_min,0.09379146
Temperature_full_max,0.0885335
Glascow coma scale motor response_full_std,0.08765048
Hemoglobin_full_max,0.081801474
Temperature_full_min,0.080611475
Temperature_last25%_min,0.073084466
Glascow coma scale eye opening_last10%_min,0.07053582
Diastolic blood pressure_last25%_mean,0.06630933
Bilirubin_full_std,0.06566594
Oxygen saturation_last25%_min,0.06561169
Lactate_last10%_min,0.06474984
White blood cell count_full_min,0.06302239
Bilirubin_full_min,0.060240615
Glascow coma scale eye opening_last10%_max,0.06014205
Prothrombin time_full_min,0.05949071
Glascow coma scale motor response_last10%_min,0.05892949
Diastolic blood pressure_last10%_mean,0.05808955
Heart Rate_last10%_mean,0.056525238
Oxygen saturation_last10%_min,0.056344453
Fraction inspired oxygen_last10%_max,0.055656932
Glucose_last25%_std,0.05400406
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.05223796
Glucose_last10%_min,0.052044537
Systolic blood pressure_full_mean,0.049670856
Heart Rate_last25%_mean,0.048762936
Creatinine_full_min,0.0486749
Fraction inspired oxygen_last25%_min,0.047467023
Glascow coma scale verbal response_full_std,0.046913866
Potassium_last10%_min,0.045513727
Sodium_full_max,0.045202717
Oxygen saturation_full_min,0.044970326
Platelets_full_max,0.04226744
Lactate_last25%_min,0.041163873
Systolic blood pressure_full_min,0.041069355
Glascow coma scale eye opening_last25%_max,0.041066892
Systolic blood pressure_last10%_mean,0.040732477
Oxygen saturation_last10%_max,0.037962526
Fraction inspired oxygen_last10%_min,0.037910014
Systolic blood pressure_last25%_min,0.036792085
Glucose_full_min,0.036367733
Respiratory rate_full_max,0.03571671
Prothrombin time_full_max,0.03343294
Platelets_full_mean,0.033283878
Glascow coma scale eye opening_full_mean,0.033093162
Hematocrit_full_std,0.032912698
Heart Rate_full_mean,0.032836057
Glascow coma scale verbal response_full_mean,0.03280362
Hemoglobin_full_std,0.031778663
Creatinine_full_std,0.030653676
Diastolic blood pressure_last25%_max,0.030647453
Heart Rate_full_max,0.030409347
Platelets_last10%_min,0.030375082
ICU_Neuro Intermediate,0.02925308
Heart Rate_last25%_max,0.028970541
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.028856762
Respiratory rate_full_min,0.02847236
Diastolic blood pressure_full_min,0.02830923
Diastolic blood pressure_last10%_min,0.028211463
Hemoglobin_full_mean,0.027995773
Hematocrit_last10%_min,0.027297417
Glascow coma scale eye opening_last10%_std,0.026607618
Glascow coma scale verbal response_full_max,0.026518635
Glascow coma scale motor response_full_max,0.025414186
Lactate_last25%_max,0.025352214
pH_last10%_mean,0.02512257
Heart Rate_full_min,0.025066737
Temperature_last10%_max,0.023899524
Temperature_last10%_min,0.02364649
Temperature_last25%_max,0.023442168
Systolic blood pressure_last25%_mean,0.023377886
Respiratory rate_last10%_mean,0.023267902
Heart Rate_last10%_max,0.023159048
Fraction inspired oxygen_last25%_max,0.022950267
Fraction inspired oxygen_full_min,0.022802765
Creatinine_full_max,0.022690218
White blood cell count_full_std,0.022514751
Hematocrit_full_mean,0.022479283
pH_last10%_max,0.021756953
Respiratory rate_last25%_min,0.019140745
Heart Rate_last10%_min,0.018370967
Sodium_last10%_std,0.01816905
Diastolic blood pressure_last10%_max,0.018058052
Heart Rate_last25%_min,0.018024314
Heart Rate_last25%_std,0.018006895
Glucose_last10%_std,0.017868022
pH_full_min,0.017801145
Creatinine_full_mean,0.017190093
pH_last10%_min,0.016948393
Fraction inspired oxygen_full_mean,0.016597426
Diastolic blood pressure_full_mean,0.016307684
Sodium_last10%_min,0.016298322
Glascow coma scale eye opening_last25%_std,0.01629086
Platelets_full_min,0.015887523
Glascow coma scale motor response_full_mean,0.015866803
Systolic blood pressure_last25%_std,0.015310162
Hemoglobin_full_min,0.015288705
Sodium_full_mean,0.015062463
Mean blood pressure_last10%_max,0.014602011
Potassium_last25%_max,0.014501365
Platelets_last25%_std,0.014306255
Glascow coma scale eye opening_full_std,0.013695918
Mean blood pressure_full_min,0.013246009
Prothrombin time_full_mean,0.0132279545
Potassium_last25%_min,0.013200083
Fraction inspired oxygen_full_max,0.012966876
pH_full_max,0.012720683
White blood cell count_last25%_std,0.0126242265
Mean blood pressure_last10%_min,0.012136837
Glucose_full_max,0.012038487
pH_last10%_std,0.011985058
Glascow coma scale eye opening_last25%_min,0.011874161
Sodium_full_std,0.011849474
Glucose_last25%_mean,0.011344455
Systolic blood pressure_last10%_min,0.011159891
Respiratory rate_last25%_max,0.011117588
Glucose_last10%_mean,0.011097919
Systolic blood pressure_last25%_max,0.011040581
Platelets_full_std,0.010940226
Mean blood pressure_last25%_min,0.010815981
Sodium_last25%_std,0.010739813
Potassium_full_min,0.010735008
Heart Rate_last10%_std,0.010287108
Hematocrit_full_max,0.009861838
ICU_Surgical Intensive Care Unit (SICU),0.0095272
Potassium_full_std,0.009386221
Systolic blood pressure_last10%_max,0.009246144
Glucose_full_mean,0.009028867
Hematocrit_full_min,0.008628747
Glascow coma scale eye opening_full_min,0.008619636
Lactate_full_std,0.008347008
pH_last25%_min,0.008213855
