Feature,MeanAbsSHAP
Glascow coma scale verbal response_last10%_min,0.45186
Glascow coma scale motor response_last10%_max,0.18614075
Creatinine_last10%_min,0.18604447
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.18573175
Glascow coma scale motor response_last25%_min,0.13473395
White blood cell count_last10%_min,0.11731511
Respiratory rate_last25%_mean,0.110708915
Glascow coma scale motor response_last25%_max,0.10044609
Glascow coma scale motor response_full_std,0.08825866
Prothrombin time_last10%_min,0.08157999
Temperature_full_max,0.078320846
Temperature_last25%_min,0.07605939
Temperature_full_min,0.072885066
Hemoglobin_full_max,0.071540914
Glascow coma scale eye opening_last10%_min,0.06918251
Glucose_last25%_std,0.06773887
Diastolic blood pressure_last25%_mean,0.06757549
Heart Rate_last10%_mean,0.067325346
Diastolic blood pressure_last10%_mean,0.06447325
Bilirubin_full_std,0.06400635
Glascow coma scale eye opening_last10%_max,0.062548146
Oxygen saturation_last25%_min,0.062396646
White blood cell count_full_min,0.060738932
Oxygen saturation_last10%_min,0.060433365
Glascow coma scale motor response_last10%_min,0.054969586
Heart Rate_last25%_mean,0.054438636
Weight_full_max,0.05427401
Prothrombin time_full_min,0.05326883
Oxygen saturation_full_min,0.052389525
Fraction inspired oxygen_last10%_max,0.051727097
Potassium_last10%_min,0.051628023
Glascow coma scale verbal response_full_std,0.05040565
Glascow coma scale eye opening_last25%_max,0.050107226
Lactate_last10%_min,0.0491547
Fraction inspired oxygen_last25%_min,0.048671935
Glucose_last10%_min,0.045745403
Systolic blood pressure_full_mean,0.04567604
Sodium_full_max,0.045210823
Creatinine_full_min,0.04467952
Platelets_full_max,0.044462383
Bilirubin_full_min,0.04383964
Respiratory rate_full_max,0.04079298
Glascow coma scale eye opening_full_mean,0.040781036
Hemoglobin_full_std,0.04040751
ICU_Neuro Surgical Intensive Care Unit (Neuro SICU),0.040227674
Systolic blood pressure_last10%_mean,0.039708506
Systolic blood pressure_last25%_min,0.038980633
Hematocrit_full_std,0.03820925
Weight_full_mean,0.037984986
Fraction inspired oxygen_last10%_min,0.037839
Systolic blood pressure_full_min,0.036441583
ICU_Neuro Intermediate,0.03618515
Oxygen saturation_last10%_max,0.0349144
Glascow coma scale verbal response_full_mean,0.034484025
Platelets_full_mean,0.034442976
Hematocrit_last10%_min,0.03405934
Lactate_last25%_min,0.033578955
Diastolic blood pressure_last25%_max,0.033244934
