Feature,Reference,HighWeight,ReferenceRank,HighRank,SHAP_change
Weight,0.0001235635794538002,0.0008999492684156872,34.0,1.0,0.000776385688961887
Lactate,0.00030000135153581596,0.0004298413830757099,12.0,4.0,0.00012984003153989395
Creatinine,0.0005951611235007722,0.0006969484270170414,1.0,2.0,0.00010178730351626919
Hemoglobin,0.0001742887994698922,0.0002621835291383971,22.0,18.0,8.789472966850488e-05
Glascow coma scale verbal response->No Response-ETT,0.00031348567711428094,0.00039379339188064873,11.0,5.0,8.030771476636779e-05
mask->Temperature,0.00016437549105528248,0.0002340124263160548,26.0,21.0,6.963693526077232e-05
Fraction inspired oxygen,0.000299332775861697,0.0003671316190544553,13.0,7.0,6.779884319275828e-05
Platelets,0.0001733452192980299,0.00023747745043302626,23.0,20.0,6.413223113499637e-05
mask->Sodium,0.00010370350739802887,0.00016404480578314143,35.0,29.0,6.0341298385112554e-05
Hematocrit,0.00014838128990366257,0.00020806577404013131,31.0,24.0,5.968448413646874e-05
mask->Glascow coma scale verbal response,0.00016531616656639565,0.00022108742989219781,25.0,22.0,5.577126332580217e-05
Glascow coma scale eye opening->To Pain,6.172151315032677e-05,0.00011739037526652718,48.0,37.0,5.5668862116200406e-05
Glascow coma scale verbal response->Oriented,0.0004571909969213106,0.0005121167545938055,2.0,3.0,5.492575767249489e-05
Systolic blood pressure,0.00031395315788502445,0.00036803220869535686,10.0,6.0,5.4079050810332404e-05
Potassium,0.00019040682346501073,0.00023898755140533385,20.0,19.0,4.858072794032312e-05
mask->Prothrombin time,7.417769161499838e-05,0.00012058303918207553,45.0,36.0,4.640534756707716e-05
Glascow coma scale motor response->Abnormal extension,1.0828876414355666e-06,4.584262584709601e-05,62.0,55.0,4.475973820566044e-05
mask->Glascow coma scale motor response,0.00015235570595600176,0.00019121411320555424,30.0,26.0,3.885840724955248e-05
Bilirubin,0.00031496223684864303,0.0003522952914032211,9.0,9.0,3.733305455457805e-05
Glascow coma scale motor response->No response,0.00029125698640161413,0.00032266287419670665,14.0,14.0,3.1405887795092516e-05
Glascow coma scale motor response->Obeys Commands,0.00028227842410874585,0.0002994699234909574,16.0,16.0,1.7191499382211532e-05
mask->Potassium,6.744797128757895e-05,8.430568316950678e-05,47.0,42.0,1.6857711881927828e-05
mask->Creatinine,8.82040340573763e-05,0.00010368611569723318,40.0,38.0,1.5482081639856874e-05
mask->Lactate,0.00013433772000181514,0.00014948734935984565,32.0,32.0,1.5149629358030507e-05
mask->Bilirubin,4.2797814121867255e-05,5.585296267338817e-05,54.0,50.0,1.3055148551520914e-05
mask->Platelets,4.7890637388752486e-05,5.974148718419628e-05,51.0,49.0,1.1850849795443795e-05
mask->pH,0.00020819617540728867,0.00021642519510946238,17.0,23.0,8.229019702173709e-06
