Feature,Reference,HighWeight,ReferenceRank,HighRank
Temperature,0.00047024610055578083,0.000388259444143678,1.0,12.0
Glascow coma scale verbal response->Oriented,0.00046772224226538777,0.00046775231001713804,2.0,3.0
Creatinine,0.00045320191620991444,0.0005189882998368075,3.0,2.0
White blood cell count,0.0004330118754420309,0.0003994135551788229,4.0,10.0
mask->Fraction inspired oxygen,0.0004183830168008143,0.00041165909609845936,5.0,6.0
Fraction inspired oxygen,0.0003984020035407815,0.0004626299679163955,6.0,4.0
Glascow coma scale verbal response->No Response-ETT,0.0003912804635015719,0.000445703633286955,7.0,5.0
Bilirubin,0.00038587864329886294,0.0003960164027702552,8.0,11.0
Heart Rate,0.00035497161407154403,0.0002544233526253377,9.0,17.0
Lactate,0.00035404816808466244,0.00039971469159469315,10.0,8.0
Glascow coma scale motor response->Obeys Commands,0.00035286943204136575,0.0003995120490844492,11.0,9.0
Diastolic blood pressure,0.0003347253204508545,0.0003068139742268594,12.0,13.0
Glascow coma scale motor response->No response,0.0003218045216658187,0.0004104457284568281,13.0,7.0
Systolic blood pressure,0.00029147153061887497,0.0002706759135342159,14.0,15.0
Potassium,0.00027321334750031744,0.00027562307016026314,15.0,14.0
Sodium,0.00026894377632488215,0.0002438696955355757,16.0,19.0
mask->Glucose,0.00026258961052913585,0.00025968391657637944,17.0,16.0
mask->Hematocrit,0.00025811781707802393,0.0002443304480013924,18.0,18.0
Glascow coma scale eye opening->Spontaneously,0.00022889788877399896,0.00021870588102368787,19.0,23.0
mask->Glascow coma scale eye opening,0.00021912440719905354,0.00022907799490634077,20.0,20.0
mask->pH,0.0001982992981255745,0.00020500226590015807,21.0,24.0
Glascow coma scale verbal response->Confused,0.000196720946013762,0.00017624523587458067,22.0,26.0
Glascow coma scale eye opening->To Speech,0.00018135689279469432,0.0001488517805548469,23.0,29.0
mask->Temperature,0.00017834455483036287,0.00022077732792244526,24.0,22.0
Hemoglobin,0.00017515524756674282,0.00018283612803603706,25.0,25.0
Platelets,0.00017308786675046114,0.00022577473033702944,26.0,21.0
Glascow coma scale eye opening->4 Spontaneously,0.00017291026988103985,0.00015508250252511087,27.0,28.0
Glascow coma scale motor response->Localizes Pain,0.00013367928853905928,0.00011171924171950306,28.0,37.0
Prothrombin time,0.00012490238006703853,0.0001226294908606633,29.0,35.0
Weight,0.00012432217668238048,0.000956811907748912,30.0,1.0
mask->Lactate,0.00012104814122109185,0.0001291365834191212,31.0,33.0
mask->Glascow coma scale verbal response,0.00011782607048144238,0.0001679323166981204,32.0,27.0
mask->Glascow coma scale motor response,0.00011579545321508283,0.0001473205473606498,33.0,30.0
mask->Prothrombin time,0.00010624320564954858,0.0001364767362189233,34.0,32.0
Hematocrit,0.0001050798763257021,0.0001272997086897702,35.0,34.0
mask->Bilirubin,0.00010420071125743354,0.000109158547816061,36.0,38.0
mask->White blood cell count,9.866555377000273e-05,9.21222705806676e-05,37.0,41.0
Glascow coma scale motor response->Flex-withdraws,9.401508159491796e-05,6.128045043194734e-05,38.0,50.0
Glascow coma scale verbal response->No Response,9.34738726379431e-05,2.5478359093376195e-05,39.0,57.0
mask->Potassium,9.270164595770831e-05,0.00010110670482269401,40.0,40.0
mask->Hemoglobin,8.959527714406572e-05,8.872605746757547e-05,41.0,42.0
mask->Platelets,8.935691585703915e-05,8.395584584905405e-05,42.0,43.0
mask->Diastolic blood pressure,8.60576698743661e-05,7.453025361734882e-05,43.0,47.0
mask->Weight,8.47725821755626e-05,0.00010639413467443757,44.0,39.0
mask->Mean blood pressure,8.40671520462814e-05,7.72311234617627e-05,45.0,45.0
mask->Creatinine,8.202935100219092e-05,7.557894999509499e-05,46.0,46.0
Glascow coma scale eye opening->To Pain,8.101993552688767e-05,0.00014649389518072307,47.0,31.0
Oxygen saturation,7.922076514456236e-05,7.157309730300543e-05,48.0,48.0
Mean blood pressure,7.656135459170284e-05,7.931659890904737e-05,49.0,44.0
mask->Sodium,7.622853127903333e-05,0.00011542680104811136,50.0,36.0
mask->Oxygen saturation,7.235207598816948e-05,6.489306564228024e-05,51.0,49.0
mask->Systolic blood pressure,5.956426924025993e-05,5.4568749672020286e-05,52.0,52.0
mask->Heart Rate,4.826655747274742e-05,4.548552037972936e-05,53.0,54.0
mask->Respiratory rate,4.5744595414226794e-05,4.588910582471063e-05,54.0,53.0
Respiratory rate,4.1536907521103524e-05,4.426842989359053e-05,55.0,55.0
Glascow coma scale verbal response->Incomprehensible sounds,2.7967987257669915e-05,1.30105809411426e-05,56.0,60.0
Glascow coma scale verbal response->5 Oriented,2.4234709046996774e-05,2.79794624501505e-05,57.0,56.0
Glucose,2.2145263742256864e-05,1.992959894249998e-05,58.0,59.0
Glascow coma scale motor response->6 Obeys Commands,1.6010118992043863e-05,2.3215582999830538e-05,59.0,58.0
Glascow coma scale verbal response->Inappropriate Words,1.5135395378445698e-05,3.866248158607653e-06,60.0,61.0
Glascow coma scale motor response->Abnormal Flexion,2.420191682782994e-06,1.519711472610652e-06,61.0,62.0
Glascow coma scale motor response->Abnormal extension,1.2264849162117268e-06,5.589813088590745e-05,62.0,51.0
pH,2.3024451364412652e-08,1.8104502225204907e-08,63.0,65.0
Glascow coma scale eye opening->3 To speech,0.0,0.0,80.0,81.0
Glascow coma scale total->14,0.0,0.0,80.0,81.0
Glascow coma scale total->15,0.0,0.0,80.0,81.0
Glascow coma scale total->12,0.0,0.0,80.0,81.0
Glascow coma scale total->13,0.0,0.0,80.0,81.0
Glascow coma scale total->10,0.0,0.0,80.0,81.0
Glascow coma scale total->11,0.0,0.0,80.0,81.0
Glascow coma scale motor response->2 Abnorm extensn,0.0,0.0,80.0,81.0
Glascow coma scale motor response->5 Localizes Pain,0.0,0.0,80.0,81.0
Glascow coma scale motor response->4 Flex-withdraws,0.0,0.0,80.0,81.0
Capillary refill rate->1.0,0.0,0.0,80.0,81.0
Capillary refill rate->0.0,0.0,0.0,80.0,81.0
Glascow coma scale eye opening->1 No Response,0.0,0.0,80.0,81.0
Glascow coma scale eye opening->None,0.0,0.0,80.0,81.0
Glascow coma scale eye opening->2 To pain,0.0,0.0,80.0,81.0
Glascow coma scale motor response->1 No Response,0.0,0.0,80.0,81.0
Glascow coma scale motor response->3 Abnorm flexion,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->3 Inapprop words,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->2 Incomp sounds,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->4 Confused,0.0,0.0,80.0,81.0
Height,0.0,4.2879260543286315e-07,80.0,63.0
Glascow coma scale total->7,0.0,0.0,80.0,81.0
Glascow coma scale total->4,0.0,0.0,80.0,81.0
Glascow coma scale total->5,0.0,0.0,80.0,81.0
Glascow coma scale total->3,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->1 No Response,0.0,0.0,80.0,81.0
Glascow coma scale total->8,0.0,0.0,80.0,81.0
Glascow coma scale total->9,0.0,0.0,80.0,81.0
Glascow coma scale total->6,0.0,0.0,80.0,81.0
Glascow coma scale verbal response->1.0 ET/Trach,0.0,0.0,80.0,81.0
mask->Capillary refill rate,0.0,0.0,80.0,81.0
mask->Glascow coma scale total,0.0,0.0,80.0,81.0
mask->Height,0.0,1.4511162589769812e-07,80.0,64.0
